# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.001 2122.62 90 30 60 0.0163916 -0.0167477 0.0260007 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.019 2122.17 90.005 29.9951 60.0078 0.302451 -0.31305 0.532813 14.0625 14.0625 14.0625 15.9439 1 1 2006.78 0
160.051 2122.87 90.0149 29.9856 60.0284 0.301379 -0.293142 0.763567 14.0625 14.0625 14.0625 15.9456 1 1 2008.52 0
160.092 2122.5 90.0274 29.9734 60.065 0.307877 -0.291589 1.03498 15 14.0625 15 15.9447 1.06667 1 2013.67 0
160.14 2122.65 90.0417 29.9595 60.1198 0.300422 -0.294117 1.31462 15 15 15 15.9451 1 1 2014.37 0
160.19 2122.7 90.0572 29.9448 60.1932 0.307747 -0.289526 1.6068 15 15 15 15.9452 1 1 2023.68 0
160.243 2122.73 90.0736 29.9295 60.2849 0.312897 -0.289033 1.88151 15 15 15 15.9453 1 1 2025.48 0
160.297 2122.8 90.0908 29.9138 60.3933 0.321655 -0.286943 2.14091 15 15 15 15.9455 1 1 2031.05 0
160.352 2122.89 90.1089 29.898 60.5174 0.332877 -0.284982 2.3816 15 15 15 15.9457 1 1 2032.59 0
160.407 2123.03 90.1276 29.8823 60.6544 0.342095 -0.282861 2.58403 15 15 15 15.946 1 1 2026.74 0
160.463 2123.09 90.1473 29.8664 60.8061 0.354741 -0.28082 2.77777 15 15 15 15.9462 1 1 2022.8 0
160.519 2123.18 90.1677 29.8506 60.9686 0.368715 -0.27953 2.95603 15 15 14.0625 15.9464 1.06667 1 2025.96 0
160.575 2123.26 90.1887 29.8351 61.1407 0.378123 -0.275326 3.11042 15 15 15 15.9466 1 1 2023.79 0
160.631 2123.33 90.2101 29.8199 61.3208 0.389039 -0.270923 3.24636 15 15 15 15.9468 1 1 2032.95 0
160.687 2123.39 90.232 29.805 61.5076 0.397934 -0.26598 3.35661 15 15 15 15.9469 1 1 2030.4 0
160.743 2123.42 90.2544 29.7903 61.7004 0.406856 -0.264113 3.45079 15 15 15 15.947 1 1 2026.57 0
160.798 2123.5 90.2775 29.7758 61.8982 0.416972 -0.255931 3.52466 15 15 14.0625 15.9472 1.06667 1 2028.81 0
160.854 2123.54 90.3012 29.7616 62.0997 0.430936 -0.247778 3.57945 15 15 15 15.9473 1 1 2025.7 0
160.91 2123.68 90.3256 29.7479 62.3042 0.441327 -0.240637 3.62712 15 15 15 15.9477 1 1 2028.82 0
160.966 2123.79 90.3507 29.7346 62.5112 0.456261 -0.237928 3.66614 15 15 14.0625 15.9479 1.06667 1 2027.94 0
161.022 2123.91 90.3768 29.7214 62.72 0.479571 -0.238712 3.6861 15 15 14.0625 15.9482 1.06667 1 2032.14 0
161.079 2124 90.404 29.7083 62.9299 0.496092 -0.231542 3.69403 15 15 14.0625 15.9485 1.06667 1 2035.01 0
161.135 2123.98 90.4325 29.6956 63.1404 0.520846 -0.224338 3.6949 15 15 14.0625 15.9484 1.06667 1 2026.6 0
