# t dissipation energy Reynolds eta
160.001 0.638488 9.85919 23.5903 1.75566
160.003 0.654665 9.87535 23.3352 1.74472
160.006 0.648176 9.87488 23.4506 1.74907
160.009 0.643194 9.87439 23.54 1.75244
160.014 0.638732 9.87386 23.6209 1.7555
160.019 0.636236 9.87348 23.6662 1.75722
160.024 0.634566 9.87327 23.6969 1.75837
160.03 0.633492 9.87331 23.717 1.75912
160.037 0.632731 9.87334 23.7314 1.75964
160.044 0.632243 9.8735 23.7409 1.75998
160.051 0.631877 9.87361 23.748 1.76024
160.059 0.631651 9.87382 23.7528 1.7604
160.067 0.631491 9.87397 23.7561 1.76051
160.075 0.631385 9.87412 23.7585 1.76058
160.084 0.631348 9.87433 23.7597 1.76061
160.092 0.63137 9.87457 23.7599 1.76059
160.101 0.631722 9.8749 23.7541 1.76035
160.111 0.631553 9.87511 23.7577 1.76046
160.12 0.631649 9.87542 23.7567 1.7604
160.13 0.631801 9.87576 23.7546 1.76029
160.14 0.63368 9.87649 23.7212 1.75899
160.149 0.632457 9.87659 23.7443 1.75983
160.159 0.634235 9.87724 23.7126 1.7586
160.17 0.632996 9.87748 23.7363 1.75946
160.18 0.633106 9.8779 23.7353 1.75938
160.19 0.63335 9.87841 23.7319 1.75921
160.2 0.633613 9.87882 23.728 1.75903
160.211 0.633955 9.87939 23.723 1.75879
160.222 0.634297 9.87998 23.718 1.75856
160.232 0.634646 9.88056 23.7128 1.75831
160.243 0.634984 9.88114 23.7079 1.75808
160.254 0.63535 9.88179 23.7027 1.75783
160.264 0.635716 9.88243 23.6974 1.75757
160.275 0.636128 9.88315 23.6914 1.75729
160.286 0.636497 9.88379 23.6861 1.75704
160.297 0.636883 9.88452 23.6807 1.75677
160.308 0.637291 9.88528 23.6749 1.75649
160.319 0.637663 9.88598 23.6697 1.75623
160.33 0.638067 9.88676 23.664 1.75595
160.341 0.638431 9.88749 23.659 1.7557
160.352 0.638862 9.8883 23.653 1.75541
160.363 0.63927 9.8891 23.6474 1.75513
160.374 0.639664 9.88993 23.642 1.75486
160.385 0.640031 9.89069 23.6371 1.7546
160.396 0.640428 9.89152 23.6317 1.75433
160.407 0.640814 9.89234 23.6266 1.75407
160.418 0.64119 9.89317 23.6216 1.75381
160.429 0.641565 9.89402 23.6168 1.75356
160.44 0.641929 9.89487 23.6121 1.75331
160.451 0.64232 9.89573 23.607 1.75304
160.463 0.642696 9.89656 23.602 1.75278
160.474 0.643021 9.89736 23.598 1.75256
160.485 0.643359 9.89817 23.5937 1.75233
160.496 0.643675 9.89895 23.5898 1.75212
160.507 0.644006 9.89977 23.5857 1.75189
160.519 0.644321 9.9006 23.5819 1.75168
160.53 0.644625 9.90142 23.5783 1.75147
160.541 0.644892 9.90221 23.5753 1.75129
160.552 0.645139 9.90295 23.5725 1.75112
160.563 0.645393 9.9037 23.5697 1.75095
160.575 0.645655 9.90452 23.5668 1.75077
160.586 0.645884 9.90523 23.5644 1.75062
160.597 0.646125 9.90597 23.5617 1.75045
160.608 0.646366 9.90675 23.5592 1.75029
160.619 0.646575 9.90748 23.5571 1.75015
160.631 0.646771 9.90822 23.5553 1.75002
160.642 0.646975 9.90899 23.5534 1.74988
160.653 0.647133 9.90967 23.5521 1.74977
160.664 0.647325 9.91044 23.5505 1.74964
160.675 0.647508 9.91118 23.5489 1.74952
160.687 0.647659 9.91183 23.5477 1.74942
160.698 0.647829 9.91255 23.5463 1.7493
160.709 0.647955 9.91322 23.5456 1.74922
160.72 0.648109 9.91392 23.5445 1.74911
160.731 0.648272 9.91463 23.5432 1.749
160.743 0.648478 9.9154 23.5413 1.74886
160.754 0.648677 9.91613 23.5394 1.74873
160.765 0.648876 9.91682 23.5375 1.74859
160.776 0.649018 9.9175 23.5365 1.7485
160.787 0.649217 9.91824 23.5347 1.74837
160.798 0.649351 9.91889 23.5338 1.74827
160.81 0.649515 9.91961 23.5325 1.74816
160.821 0.649637 9.92029 23.5319 1.74808
160.832 0.649783 9.92097 23.5308 1.74798
160.843 0.64992 9.92167 23.53 1.74789
160.854 0.650075 9.92234 23.5288 1.74779
160.866 0.650207 9.92298 23.528 1.7477
160.877 0.650386 9.92369 23.5264 1.74758
160.888 0.650533 9.92434 23.5253 1.74748
160.899 0.65078 9.9251 23.5226 1.74731
160.91 0.650965 9.92575 23.5208 1.74719
160.922 0.651193 9.92651 23.5185 1.74704
160.933 0.651391 9.92719 23.5165 1.7469
160.944 0.651626 9.92794 23.5141 1.74675
160.955 0.651829 9.92869 23.5122 1.74661
160.966 0.652045 9.92944 23.5101 1.74647
160.978 0.652223 9.93018 23.5086 1.74635
160.989 0.652443 9.93096 23.5065 1.7462
161 0.652647 9.93169 23.5046 1.74606
161.011 0.652858 9.93241 23.5025 1.74592
161.022 0.653025 9.9331 23.5011 1.74581
161.034 0.653281 9.93389 23.4983 1.74564
161.045 0.653458 9.93451 23.4966 1.74552
161.056 0.653658 9.93521 23.4947 1.74539
161.067 0.653853 9.93586 23.4927 1.74526
161.079 0.65408 9.93662 23.4904 1.74511
161.09 0.654293 9.93733 23.4883 1.74496
161.101 0.654531 9.93804 23.4857 1.74481
161.112 0.65478 9.93877 23.483 1.74464
161.124 0.65509 9.93956 23.4793 1.74443
161.135 0.655345 9.94024 23.4763 1.74426
161.146 0.655563 9.94082 23.4738 1.74412
161.157 0.655808 9.9415 23.471 1.74396
161.169 0.656058 9.94226 23.4683 1.74379
161.18 0.656281 9.94297 23.466 1.74364
161.191 0.656546 9.94369 23.463 1.74347
161.202 0.656821 9.9444 23.4597 1.74328
161.213 0.657048 9.945 23.4571 1.74313
161.225 0.657382 9.94586 23.4532 1.74291
161.236 0.657668 9.94654 23.4497 1.74272
161.247 0.65793 9.94722 23.4466 1.74255
161.258 0.658197 9.9479 23.4434 1.74237
161.27 0.658507 9.94868 23.4398 1.74217
161.281 0.658803 9.94943 23.4363 1.74197
161.292 0.659122 9.9502 23.4324 1.74176
161.303 0.659466 9.951 23.4282 1.74153
161.315 0.65976 9.95175 23.4247 1.74134
161.326 0.660012 9.95238 23.4217 1.74117
161.337 0.660312 9.95309 23.4181 1.74097
161.348 0.660589 9.95379 23.4148 1.74079
161.36 0.660838 9.95442 23.4119 1.74063
161.371 0.661108 9.95507 23.4086 1.74045
161.382 0.661366 9.95574 23.4056 1.74028
161.393 0.661655 9.95643 23.4022 1.74009
161.404 0.661961 9.95717 23.3985 1.73989
161.416 0.662197 9.95779 23.3958 1.73973
161.427 0.66248 9.95845 23.3923 1.73955
161.438 0.662817 9.95915 23.388 1.73933
161.449 0.663122 9.95988 23.3844 1.73913
161.461 0.663392 9.9605 23.3811 1.73895
161.472 0.663669 9.96114 23.3777 1.73877
161.483 0.663953 9.96183 23.3743 1.73858
161.494 0.664245 9.96249 23.3707 1.73839
161.506 0.664554 9.9632 23.3669 1.73819
161.517 0.664844 9.96391 23.3635 1.738
161.528 0.665099 9.96455 23.3605 1.73783
161.539 0.665422 9.96533 23.3567 1.73762
161.551 0.665713 9.96601 23.3532 1.73743
161.562 0.666014 9.96671 23.3495 1.73724
161.573 0.666357 9.96748 23.3453 1.73701
161.584 0.666648 9.96811 23.3417 1.73682
161.596 0.666952 9.9688 23.338 1.73662
161.607 0.667277 9.96948 23.3339 1.73641
161.618 0.667581 9.97019 23.3303 1.73622
161.629 0.667865 9.97084 23.3268 1.73603
161.64 0.6682 9.97161 23.3228 1.73581
161.652 0.668487 9.97231 23.3194 1.73563
161.663 0.668793 9.97303 23.3157 1.73543
161.674 0.669116 9.9738 23.3119 1.73522
161.685 0.669357 9.97442 23.3092 1.73506
161.697 0.669584 9.97499 23.3065 1.73492
161.708 0.669911 9.97574 23.3026 1.7347
161.719 0.670205 9.97641 23.2991 1.73451
161.73 0.670521 9.97704 23.295 1.73431
161.742 0.670765 9.97754 23.292 1.73415
161.753 0.67101 9.97819 23.2893 1.73399
161.764 0.671231 9.9788 23.2868 1.73385
161.775 0.671468 9.97935 23.284 1.7337
161.787 0.671714 9.97998 23.2812 1.73354
161.798 0.671951 9.98061 23.2786 1.73339
161.809 0.67219 9.9812 23.2758 1.73323
161.82 0.672463 9.98188 23.2727 1.73306
161.831 0.672716 9.98247 23.2697 1.73289
161.843 0.672982 9.98308 23.2665 1.73272
161.854 0.673134 9.98358 23.265 1.73262
161.865 0.673352 9.98415 23.2626 1.73248
161.876 0.673569 9.9848 23.2603 1.73234
161.888 0.673757 9.98538 23.2585 1.73222
161.899 0.673993 9.98601 23.2559 1.73207
161.91 0.674196 9.98656 23.2536 1.73194
161.921 0.674412 9.98713 23.2512 1.7318
161.933 0.674592 9.98763 23.2493 1.73169
161.944 0.674837 9.98824 23.2465 1.73153
161.955 0.675013 9.98876 23.2447 1.73142
161.966 0.675154 9.98923 23.2433 1.73133
161.978 0.675395 9.98981 23.2405 1.73117
161.989 0.675601 9.99037 23.2383 1.73104
162 0.675815 9.99087 23.2358 1.7309
162.011 0.676064 9.99143 23.2328 1.73074
162.022 0.676264 9.99194 23.2305 1.73062
162.034 0.676448 9.99243 23.2285 1.7305
162.045 0.6767 9.99299 23.2255 1.73034
162.056 0.676878 9.99348 23.2236 1.73022
162.067 0.676995 9.99387 23.2225 1.73015
162.079 0.677118 9.99431 23.2214 1.73007
162.09 0.677202 9.9947 23.2209 1.73002
162.101 0.677339 9.99514 23.2196 1.72993
162.112 0.677536 9.99566 23.2174 1.7298
162.124 0.677658 9.99606 23.2162 1.72972
162.135 0.677843 9.99649 23.2141 1.72961
162.146 0.678085 9.99705 23.2112 1.72945
162.157 0.678267 9.99755 23.2093 1.72934
162.169 0.678388 9.99798 23.2082 1.72926
162.18 0.678572 9.99842 23.2061 1.72914
162.191 0.678678 9.99883 23.2052 1.72907
162.202 0.678837 9.9993 23.2036 1.72897
162.213 0.678975 9.99976 23.2023 1.72889
162.225 0.679066 10.0001 23.2016 1.72883
162.236 0.67913 10.0005 23.2013 1.72879
162.247 0.67923 10.0009 23.2005 1.72872
162.258 0.679288 10.0012 23.2002 1.72869
162.27 0.679378 10.0015 23.1995 1.72863
162.281 0.679518 10.0019 23.198 1.72854
162.292 0.679611 10.0023 23.1973 1.72848
162.303 0.679721 10.0026 23.1961 1.72841
162.315 0.679852 10.003 23.1947 1.72833
162.326 0.679966 10.0033 23.1937 1.72826
162.337 0.6801 10.0038 23.1923 1.72817
162.348 0.680219 10.0041 23.1912 1.72809
162.36 0.680301 10.0045 23.1905 1.72804
162.371 0.680396 10.0048 23.1898 1.72798
162.382 0.680498 10.0052 23.1888 1.72792
162.393 0.680526 10.0055 23.1891 1.7279
162.404 0.680618 10.0058 23.1883 1.72784
162.416 0.680844 10.0064 23.1858 1.7277
162.427 0.680971 10.0068 23.1845 1.72762
162.438 0.681147 10.0072 23.1826 1.72751
162.449 0.681275 10.0076 23.1813 1.72742
162.461 0.681408 10.0081 23.1801 1.72734
162.472 0.681499 10.0085 23.1795 1.72728
162.483 0.681607 10.0089 23.1786 1.72721
162.494 0.681672 10.0092 23.1783 1.72717
162.506 0.681788 10.0097 23.1774 1.7271
162.517 0.681917 10.0101 23.1762 1.72702
162.528 0.681956 10.0104 23.1762 1.72699
162.539 0.682019 10.0107 23.1759 1.72695
162.551 0.682113 10.0111 23.1751 1.72689
162.562 0.682206 10.0115 23.1745 1.72683
162.573 0.682275 10.0119 23.1741 1.72679
162.584 0.682364 10.0123 23.1736 1.72673
162.596 0.682456 10.0127 23.1729 1.72668
162.607 0.682587 10.013 23.1715 1.72659
162.618 0.682754 10.0135 23.1698 1.72649
162.629 0.682829 10.0138 23.1692 1.72644
162.64 0.68298 10.0143 23.1678 1.72635
162.652 0.683152 10.0147 23.1659 1.72624
162.663 0.683316 10.0152 23.1642 1.72613
162.674 0.683468 10.0157 23.1627 1.72604
162.685 0.683598 10.0161 23.1614 1.72595
162.697 0.683712 10.0165 23.1605 1.72588
162.708 0.683842 10.0169 23.1593 1.7258
162.719 0.683971 10.0174 23.1581 1.72572
162.73 0.684029 10.0178 23.158 1.72568
162.742 0.684157 10.0182 23.1568 1.7256
162.753 0.684265 10.0186 23.1559 1.72553
162.764 0.684364 10.019 23.1552 1.72547
162.775 0.68446 10.0194 23.1545 1.72541
162.787 0.684614 10.0198 23.1528 1.72531
162.798 0.684718 10.0202 23.1519 1.72525
162.809 0.684887 10.0206 23.15 1.72514
162.82 0.685031 10.021 23.1485 1.72505
162.831 0.685146 10.0214 23.1475 1.72498
162.843 0.685286 10.0218 23.1462 1.72489
162.854 0.685441 10.0222 23.1445 1.72479
162.865 0.685464 10.0226 23.1448 1.72478
162.876 0.685575 10.023 23.1439 1.72471
162.888 0.685729 10.0234 23.1422 1.72461
162.899 0.685867 10.0238 23.1409 1.72453
162.91 0.686103 10.0243 23.138 1.72438
162.921 0.686297 10.0247 23.1357 1.72426
162.933 0.686446 10.025 23.134 1.72416
162.944 0.686612 10.0255 23.1323 1.72406
162.955 0.686845 10.0261 23.1298 1.72391
162.966 0.68697 10.0265 23.1287 1.72383
162.978 0.68708 10.027 23.1278 1.72376
162.989 0.687227 10.0275 23.1264 1.72367
163 0.687325 10.0279 23.1257 1.72361
163.011 0.687439 10.0283 23.1248 1.72354
163.022 0.687569 10.0287 23.1235 1.72346
163.034 0.687612 10.029 23.1235 1.72343
163.045 0.68773 10.0293 23.1223 1.72336
