# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 30 90 60 0.0949452 -0.0757459 -0.05238 14.0625 14.0625 14.0625 15.65 1
160.019 2013.98 30.0599 89.9478 59.9696 4.38865 -3.59877 -1.95533 15 15 14.0625 15.6682 1.06667
160.051 2022.35 30.2178 89.8306 59.9111 4.3934 -3.6164 -1.59545 15 15 15 15.6899 1
160.092 2029.23 30.3861 89.6825 59.853 4.35303 -3.65202 -1.18377 15 15 15 15.7076 1
160.14 2031.58 30.5987 89.4975 59.8019 4.28646 -3.69486 -0.749032 15 15 15 15.7137 1
160.19 2024.9 30.8125 89.3222 59.772 4.21569 -3.7437 -0.298761 15 15 15 15.6964 1
160.243 2021.23 31.04 89.1133 59.7705 4.14119 -3.7965 0.118594 15 15.9375 15 15.687 1.0625
160.297 2027.57 31.2523 88.9125 59.7777 4.05203 -3.83839 0.50467 15 15 15 15.7034 1
160.352 2029.23 31.4749 88.7056 59.8007 3.95901 -3.88428 0.862949 15 15 15 15.7076 1
160.407 2029.79 31.6985 88.4819 59.859 3.85693 -3.9324 1.19506 15 15 15 15.7091 1
160.463 2020.95 31.9162 88.2676 59.9184 3.75774 -3.97105 1.51345 15.9375 15 14.0625 15.6862 1.13333
160.519 2026.5 32.1151 88.0507 60.0001 3.64186 -3.99588 1.77593 15 15.9375 14.0625 15.7006 1.13333
160.575 2032.2 32.319 87.8279 60.0988 3.53287 -4.02695 1.99798 15 15 14.0625 15.7153 1.06667
160.631 2033.47 32.5062 87.5948 60.2008 3.42883 -4.05303 2.19361 15 15 14.0625 15.7186 1.06667
160.687 2029.95 32.6989 87.3771 60.3095 3.32136 -4.08701 2.37969 15.9375 15 15 15.7095 1.0625
160.743 2021.88 32.8947 87.1478 60.4527 3.19202 -4.11636 2.54986 15.9375 15.9375 15 15.6886 1.0625
160.798 2031.54 33.0602 86.9062 60.6041 3.07346 -4.15316 2.65917 15 15 15 15.7136 1
160.854 2034.24 33.2292 86.6735 60.7359 2.96355 -4.19135 2.7599 15 15 14.0625 15.7205 1.06667
160.91 2031.16 33.3749 86.4453 60.877 2.85285 -4.2258 2.86512 15 15 14.0625 15.7126 1.06667
160.966 2029.7 33.5502 86.1947 61.0415 2.72782 -4.26614 2.93094 15.9375 15.9375 14.0625 15.7088 1.13333
161.022 2030.64 33.6999 85.9556 61.1865 2.60994 -4.30679 2.96689 15.9375 15 14.0625 15.7113 1.13333
161.079 2028.9 33.8632 85.7306 61.3485 2.49887 -4.34773 2.99563 15.9375 15 15 15.7068 1.0625
161.135 2025.77 34.0098 85.4929 61.5062 2.37088 -4.39003 3.03613 15 15.9375 14.0625 15.6987 1.13333
161.191 2030.98 34.1104 85.2335 61.665 2.23876 -4.42 3.03119 15 15.9375 14.0625 15.7122 1.13333
161.247 2029 34.2225 84.9843 61.8221 2.09025 -4.44145 3.00682 15.9375 15 14.0625 15.707 1.13333
161.303 2030.38 34.3443 84.7482 61.9903 1.93371 -4.48366 2.98163 15.9375 15 14.0625 15.7106 1.13333
161.36 2036.27 34.4563 84.4929 62.1534 1.75409 -4.5116 2.92307 15.9375 15.9375 14.0625 15.7258 1.13333
161.416 2030.73 34.547 84.2199 62.2974 1.57749 -4.53562 2.91083 15.9375 15.9375 13.125 15.7115 1.21429
161.472 2030.36 34.6381 83.9706 62.4402 1.41468 -4.55041 2.88426 15.9375 15 13.125 15.7106 1.21429
161.528 2029.23 34.7242 83.7224 62.585 1.25182 -4.56667 2.83262 15.9375 15.9375 14.0625 15.7076 1.13333
161.584 2029.35 34.7869 83.4615 62.7341 1.07377 -4.58871 2.79128 15.9375 15.9375 14.0625 15.708 1.13333
161.64 2028.5 34.8449 83.2043 62.8825 0.893934 -4.60805 2.76001 15.9375 15.9375 14.0625 15.7057 1.13333
161.697 2032.61 34.8965 82.9531 63.0345 0.723011 -4.62249 2.72589 15.9375 15 14.0625 15.7164 1.13333
161.753 2033.48 34.9354 82.6984 63.1587 0.552617 -4.63999 2.68765 15.9375 15.9375 13.125 15.7186 1.21429
161.809 2030.42 34.9723 82.4342 63.2954 0.365551 -4.64873 2.66811 15.9375 15.9375 13.125 15.7107 1.21429
161.865 2022.04 34.985 82.1543 63.4371 0.169372 -4.66596 2.65412 15.9375 15.9375 13.125 15.6891 1.21429
161.921 2022.27 34.9927 81.9167 63.5575 0.000700906 -4.66401 2.59556 16.875 15.9375 13.125 15.6897 1.28571
161.978 2020.98 34.9884 81.6486 63.6873 -0.187643 -4.65459 2.5591 16.875 15.9375 14.0625 15.6863 1.2
162.034 2024.36 34.9833 81.375 63.8212 -0.364605 -4.65086 2.49851 16.875 15.9375 14.0625 15.6951 1.2
162.09 2026.95 34.9566 81.1405 63.954 -0.532502 -4.62399 2.45214 16.875 15 14.0625 15.7018 1.2
162.146 2029.53 34.9281 80.8797 64.0722 -0.696451 -4.61194 2.38724 15.9375 15.9375 13.125 15.7084 1.21429
162.202 2028.79 34.8824 80.6096 64.2001 -0.858389 -4.59849 2.32781 15.9375 15.9375 13.125 15.7065 1.21429
162.258 2030.4 34.8359 80.3574 64.2948 -1.02229 -4.57528 2.26384 15.9375 15.9375 13.125 15.7107 1.21429
162.315 2031.71 34.788 80.0945 64.4116 -1.1743 -4.5494 2.20647 15.9375 15.9375 13.125 15.714 1.21429
162.371 2029.63 34.7099 79.8424 64.5053 -1.30938 -4.52603 2.13801 15.9375 15.9375 13.125 15.7087 1.21429
162.427 2030.08 34.6369 79.6007 64.6144 -1.45306 -4.50261 2.0847 15.9375 15.9375 14.0625 15.7098 1.13333
162.483 2025.09 34.5543 79.3315 64.7356 -1.60428 -4.46108 2.0568 15.9375 15.9375 14.0625 15.6969 1.13333
162.539 2028.67 34.4634 79.095 64.8246 -1.72849 -4.42681 1.99003 15.9375 15.9375 14.0625 15.7062 1.13333
162.596 2032.23 34.3702 78.8411 64.9254 -1.85343 -4.39928 1.94288 15.9375 15.9375 13.125 15.7154 1.21429
162.652 2030.41 34.2648 78.5861 65.0098 -1.96632 -4.35857 1.92118 15.9375 15.9375 13.125 15.7107 1.21429
