# t frame_uz frame_z ub_dans_repere
160.006 0.00228275 8.26536e-06 0.483982
160.03 0.0172404 0.000272406 0.713858
160.067 0.0518947 0.00162308 1.0941
160.111 0.11046 0.00539593 1.48679
160.159 0.195184 0.0131735 1.89972
160.211 0.305275 0.0265544 2.28947
160.264 0.438775 0.0470286 2.64034
160.319 0.592139 0.075853 2.9282
160.374 0.760236 0.113875 3.1421
160.429 0.939742 0.161882 3.30237
160.485 1.12917 0.220815 3.43349
160.541 1.32459 0.290562 3.52511
160.597 1.52504 0.371414 3.62123
160.653 1.73133 0.46368 3.72973
160.709 1.94379 0.5677 3.83782
160.765 2.16341 0.683848 3.97499
160.821 2.39022 0.81253 4.10602
160.877 2.62478 0.954168 4.24167
160.933 2.86648 1.10918 4.36608
160.989 3.11412 1.27792 4.45918
161.045 3.36694 1.46125 4.52855
161.101 3.62287 1.65902 4.56924
161.157 3.87985 1.87121 4.57051
161.213 4.13535 2.09781 4.52902
161.27 4.3878 2.33866 4.46736
161.326 4.63635 2.59356 4.39392
161.382 4.8802 2.86227 4.29835
161.438 5.1184 3.14449 4.20174
161.494 5.35098 3.43991 4.10118
161.551 5.57816 3.74821 4.00413
161.607 5.79994 4.06909 3.91002
161.663 6.01586 4.40223 3.80139
161.719 6.22592 4.74731 3.69323
161.775 6.42947 5.10397 3.57487
161.831 6.62675 5.47185 3.47108
161.888 6.81853 5.85063 3.37604
161.944 7.00511 6.24001 3.28459
162 7.18731 6.63971 3.21437
162.056 7.36562 7.04952 3.1527
162.112 7.5413 7.46925 3.11372
162.169 7.71507 7.89878 3.08203
162.225 7.88673 8.33801 3.03708
162.281 8.05523 8.78678 2.97981
162.337 8.22032 9.2449 2.91114
162.393 8.3809 9.71215 2.82066
162.449 8.53541 10.1882 2.69913
162.506 8.68137 10.6727 2.52577
162.562 8.81661 11.165 2.32488
162.618 8.93919 11.6645 2.08685
162.674 9.04803 12.1705 1.82767
162.73 9.14141 12.682 1.55002
162.787 9.21878 13.1983 1.26031
162.843 9.27992 13.7183 0.971262
162.899 9.32539 14.2413 0.704622
162.955 9.35566 14.7662 0.43747
163.011 9.37242 15.2925 0.209522
163.067 9.37693 15.8192 -0.00184456
163.124 9.37101 16.3458 -0.166383
163.18 9.35776 16.8719 -0.281414
163.236 9.33868 17.397 -0.366674
163.292 9.31666 17.9209 -0.40496
163.348 9.29338 18.4435 -0.418396
163.404 9.27004 18.9648 -0.404484
163.461 9.24813 19.4849 -0.371295
163.517 9.22955 20.0038 -0.302123
163.573 9.21492 20.5218 -0.240651
163.629 9.20364 21.0391 -0.166647
163.685 9.19743 21.5559 -0.0803717
163.742 9.19398 22.0725 -0.0379986
163.798 9.19255 22.5889 -0.0144326
163.854 9.19243 23.1054 -0.00283329
163.91 9.19142 23.6218 -0.0335228
163.966 9.1872 24.138 -0.0968147
164.022 9.17955 24.6539 -0.175836
164.079 9.1665 25.1692 -0.273042
164.135 9.14702 25.6836 -0.395482
164.191 9.12106 26.1966 -0.51276
164.247 9.08771 26.7079 -0.643361
164.303 9.04696 27.2171 -0.778526
164.36 8.99965 27.7238 -0.879689
164.416 8.94677 28.2276 -0.979607
164.472 8.88892 28.7283 -1.05755
164.528 8.82802 29.2257 -1.10098
164.584 8.76567 29.7195 -1.11255
164.64 8.70344 30.2099 -1.10323
164.697 8.6427 30.6968 -1.06248
164.753 8.58493 31.1804 -1.00297
164.809 8.53154 31.6608 -0.911029
164.865 8.48396 32.1385 -0.804041
164.921 8.44226 32.6137 -0.687289
164.978 8.40722 33.0868 -0.577895
165.034 8.37885 33.5581 -0.452772
165.09 8.35728 34.0281 -0.340777
165.146 8.34163 34.497 -0.23996
165.202 8.33098 34.9653 -0.155445
165.258 8.32467 35.4331 -0.0853383
165.315 8.32118 35.9006 -0.051036
165.371 8.31938 36.368 -0.0235575
165.427 8.31797 36.8354 -0.0281042
165.483 8.31569 37.3026 -0.0470327
165.539 8.3116 37.7697 -0.0922319
165.596 8.30453 38.2364 -0.146662
165.652 8.29447 38.7026 -0.207821
165.708 8.28038 39.1681 -0.280998
165.764 8.26213 39.6327 -0.355445
165.82 8.23935 40.0961 -0.432838
165.876 8.21303 40.5582 -0.490741
165.933 8.18273 41.0186 -0.56302
165.989 8.14938 41.4771 -0.616667
166.045 8.1127 41.9338 -0.679071
166.101 8.07273 42.3882 -0.730797
166.157 8.02978 42.8403 -0.78586
166.213 7.98391 43.2899 -0.84107
166.27 7.9346 43.7368 -0.901684
166.326 7.88152 44.1807 -0.97408
166.382 7.82415 44.6216 -1.05134
166.438 7.76252 45.0591 -1.12252
166.494 7.69592 45.493 -1.23574
166.551 7.62277 45.9229 -1.35079
