# i t cells coeurs_suggere(~100k/coeur)
13960 160.009 1046627 11
13980 160.17 1047495 11
14000 160.385 1050939 11
14020 160.608 1052780 11
14040 160.832 1052024 11
14060 161.056 1047537 11
14080 161.281 1043106 11
14100 161.506 1034062 11
14120 161.73 1028980 11
14140 161.955 1021959 11
14160 162.18 1015981 11
14180 162.404 1013426 11
14200 162.629 1012593 11
14220 162.854 1013300 11
14240 163.079 1015176 11
14260 163.303 1018683 11
14280 163.528 1022316 11
14300 163.753 1020811 11
14320 163.978 1017808 11
14340 164.202 1019705 11
14360 164.427 1022694 11
14380 164.652 1024486 11
14400 164.876 1028259 11
14420 165.101 1034874 11
14440 165.326 1037107 11
14460 165.551 1038941 11
14480 165.775 1041188 11
14500 166 1039893 11
14520 166.225 1032900 11
14540 166.449 1028651 11
14560 166.674 1025753 11
14580 166.899 1022967 11
14600 167.124 1021574 11
14620 167.348 1022659 11
14640 167.573 1025921 11
14660 167.798 1028609 11
14680 168.022 1027559 11
14700 168.247 1025256 11
14720 168.472 1027783 11
14740 168.697 1027286 11
14760 168.921 1025998 11
14780 169.146 1027489 11
14800 169.371 1029855 11
14820 169.596 1031850 11
14840 169.82 1031402 11
14860 170.045 1034300 11
14880 170.27 1038661 11
14900 170.494 1041503 11
14920 170.719 1046529 11
14940 170.944 1052535 11
14960 171.169 1056637 11
14980 171.393 1057477 11
15000 171.618 1059808 11
15020 171.843 1063700 11
15040 172.067 1066437 11
15060 172.292 1066843 11
15080 172.517 1069363 11
15100 172.742 1068733 11
15120 172.966 1068124 11
15140 173.191 1068285 11
15160 173.416 1068222 11
15180 173.64 1061782 11
15200 173.865 1056749 11
15220 174.09 1052843 11
15240 174.315 1049140 11
15260 174.539 1048188 11
15280 174.764 1048020 11
15300 174.989 1052024 11
15320 175.213 1057995 11
15340 175.438 1065142 11
15360 175.663 1067886 11
15380 175.888 1069209 11
15400 176.112 1067970 11
15420 176.337 1069755 11
15440 176.562 1070399 11
15460 176.787 1068054 11
15480 177.011 1065086 11
15500 177.236 1059836 11
15520 177.461 1059521 11
15540 177.685 1055916 11
15560 177.91 1057176 11
15580 178.135 1057043 11
15600 178.36 1056679 11
15620 178.584 1057029 11
15640 178.809 1058303 11
15660 179.034 1056679 11
15680 179.258 1053851 11
15700 179.483 1054208 11
15720 179.708 1053515 11
15740 179.933 1051625 11
15760 180.157 1050715 11
15780 180.382 1048853 11
15800 180.607 1050407 11
15820 180.831 1050078 11
15840 181.056 1051331 11
15860 181.281 1049609 11
15880 181.506 1049119 11
15900 181.73 1048776 11
15920 181.955 1047607 11
15940 182.18 1048531 11
15960 182.404 1049406 11
15980 182.629 1052038 11
16000 182.854 1054908 11
16020 183.079 1054236 11
16040 183.303 1052108 11
16060 183.528 1049420 11
16080 183.753 1045024 11
16100 183.978 1042595 11
16120 184.202 1033964 11
16140 184.427 1031689 11
16160 184.652 1028364 11
16180 184.876 1031899 11
16200 185.101 1034678 11
16220 185.326 1039620 11
16240 185.551 1042161 11
16260 185.775 1044275 11
16280 186 1049749 11
16300 186.225 1052969 11
16320 186.449 1055993 11
16340 186.674 1058142 11
16360 186.899 1056896 11
16380 187.124 1054761 11
16400 187.348 1051415 11
16420 187.573 1048664 11
16440 187.798 1042385 11
16460 188.022 1036204 11
16480 188.247 1033544 11
16500 188.472 1030492 11
16520 188.697 1029099 11
16540 188.921 1027349 11
16560 189.146 1026278 11
16580 189.371 1026313 11
16600 189.596 1028028 11
16620 189.82 1025844 11
16640 190.045 1024143 11
16660 190.27 1018998 11
16680 190.494 1014588 11
16700 190.719 1014294 11
16720 190.944 1016499 11
16740 191.169 1022477 11
16760 191.393 1024696 11
16780 191.618 1027223 11
16800 191.843 1028028 11
16820 192.067 1029778 11
16840 192.292 1032438 11
16860 192.517 1034335 11
16880 192.742 1033873 11
16900 192.966 1035084 11
16920 193.191 1036792 11
16940 193.416 1041167 11
16960 193.64 1044569 11
16980 193.865 1047131 11
17000 194.09 1050043 11
17020 194.315 1050022 11
17040 194.539 1050911 11
17060 194.764 1051023 11
17080 194.989 1052941 11
17100 195.213 1051625 11
17120 195.438 1053935 11
17140 195.663 1057008 11
17160 195.888 1057533 11
17180 196.112 1055006 11
17200 196.337 1049791 11
17220 196.562 1042140 11
17240 196.787 1043764 11
17260 197.011 1045437 11
17280 197.236 1049301 11
17300 197.461 1052206 11
17320 197.685 1051233 11
17340 197.91 1048797 11
17360 198.13 1043561 11
17380 198.348 1038437 11
17400 198.572 1035147 11
17420 198.797 1033180 11
17440 199.022 1031647 11
17460 199.247 1030625 11
17480 199.472 1026467 11
17500 199.697 1019901 11
17520 199.921 1011795 11
17540 200.146 1001715 11
17560 200.371 999846 10
17580 200.596 999104 10
17600 200.82 1002527 11
17620 201.045 1007028 11
17640 201.27 1014784 11
17660 201.494 1015589 11
17680 201.719 1021749 11
17700 201.944 1024283 11
17720 202.169 1032466 11
17740 202.393 1037121 11
17760 202.618 1039928 11
17780 202.843 1036358 11
17800 203.067 1030856 11
17820 203.292 1023933 11
17840 203.512 1020076 11
17860 203.727 1016107 11
17880 203.945 1013398 11
17900 204.169 1012894 11
17920 204.393 1012572 11
17940 204.618 1015407 11
17960 204.843 1023184 11
17980 205.067 1031374 11
18000 205.292 1038605 11
18020 205.517 1043813 11
18040 205.742 1048034 11
18060 205.966 1050813 11
18080 206.191 1050316 11
18100 206.416 1052892 11
18120 206.64 1056007 11
18140 206.865 1058611 11
18160 207.09 1063602 11
18180 207.315 1066108 11
18200 207.539 1067935 11
18220 207.764 1069895 11
18240 207.989 1072751 11
18260 208.213 1076055 11
18280 208.438 1077609 11
18300 208.663 1081634 11
18320 208.888 1086317 11
18340 209.112 1093149 11
18360 209.337 1094451 11
18380 209.562 1094815 11
18400 209.787 1092547 11
18420 210.011 1090160 11
18440 210.236 1094108 11
18460 210.461 1095242 11
18480 210.685 1094248 11
18500 210.91 1093779 11
18520 211.135 1091427 11
18540 211.36 1089327 11
18560 211.584 1085505 11
18580 211.809 1081585 11
18600 212.034 1081620 11
18620 212.258 1079030 11
18640 212.483 1073731 11
18660 212.708 1071750 11
18680 212.933 1069552 11
18700 213.157 1066976 11
18720 213.382 1067655 11
18740 213.607 1068208 11
18760 213.831 1074382 11
18780 214.056 1076580 11
18800 214.281 1083188 11
18820 214.506 1088340 11
18840 214.73 1088746 11
18860 214.955 1089054 11
18880 215.18 1084196 11
18900 215.404 1075663 11
18920 215.629 1070672 11
18940 215.854 1066290 11
18960 216.079 1064288 11
18980 216.303 1064596 11
19000 216.528 1064393 11
19020 216.753 1066297 11
19040 216.978 1067823 11
19060 217.202 1067739 11
19080 217.427 1070882 11
19100 217.652 1067466 11
19120 217.876 1070105 11
19140 218.101 1069475 11
19160 218.326 1070693 11
19180 218.551 1069223 11
19200 218.775 1068929 11
19220 219 1066892 11
19240 219.225 1064932 11
19260 219.449 1065135 11
19280 219.674 1063091 11
19300 219.899 1066150 11
19320 220.124 1063378 11
19340 220.348 1063945 11
19360 220.573 1062048 11
19380 220.798 1059773 11
19400 221.022 1058457 11
19420 221.247 1060662 11
19440 221.472 1062615 11
19460 221.697 1058926 11
19480 221.921 1058002 11
19500 222.146 1054208 11
19520 222.371 1047236 11
19540 222.596 1046571 11
19560 222.82 1048083 11
19580 223.045 1045514 11
19600 223.27 1043323 11
19620 223.494 1039578 11
19640 223.719 1036274 11
19660 223.944 1034041 11
19680 224.169 1034888 11
19700 224.393 1036148 11
19720 224.618 1037793 11
19740 224.843 1036470 11
19760 225.067 1037695 11
19780 225.292 1037247 11
19800 225.517 1031955 11
19820 225.742 1027755 11
19840 225.966 1019558 11
19860 226.191 1014259 11
19880 226.416 1010899 11
19900 226.64 1011508 11
19920 226.865 1010276 11
19940 227.09 1011004 11
19960 227.315 1013293 11
19980 227.539 1013174 11
20000 227.764 1014728 11
20020 227.989 1017374 11
20040 228.213 1023863 11
20060 228.438 1030464 11
20080 228.663 1036057 11
20100 228.888 1038878 11
20120 229.112 1041580 11
20140 229.337 1042266 11
20160 229.562 1039634 11
20180 229.787 1038213 11
20200 230.011 1038598 11
20220 230.236 1038409 11
20240 230.461 1038297 11
20260 230.685 1039053 11
20280 230.91 1037919 11
20300 231.135 1040488 11
20320 231.36 1041741 11
20340 231.584 1044450 11
20360 231.809 1044828 11
20380 232.034 1044702 11
20400 232.258 1044037 11
20420 232.483 1045234 11
20440 232.708 1042231 11
20460 232.933 1040488 11
20480 233.157 1036827 11
20500 233.382 1035385 11
20520 233.607 1034370 11
20540 233.831 1038843 11
20560 234.056 1043652 11
20580 234.281 1046641 11
20600 234.506 1050715 11
20620 234.73 1052024 11
20640 234.955 1051548 11
20660 235.18 1050120 11
20680 235.404 1046564 11
20700 235.629 1043701 11
20720 235.854 1042959 11
20740 236.079 1043029 11
20760 236.303 1042966 11
20780 236.528 1044989 11
20800 236.753 1045346 11
20820 236.978 1044401 11
20840 237.202 1038654 11
20860 237.427 1035616 11
20880 237.652 1030100 11
20900 237.876 1025074 11
20920 238.101 1023961 11
20940 238.326 1020153 11
20960 238.551 1017164 11
20980 238.775 1012873 11
21000 239 1006104 11
21020 239.225 1003759 11
21040 239.449 1003507 11
21060 239.674 1003885 11
21080 239.899 1005859 11
21100 240.124 1010297 11
21120 240.348 1012320 11
21140 240.573 1017731 11
21160 240.798 1023240 11
21180 241.022 1027790 11
21200 241.247 1032634 11
21220 241.472 1035014 11
21240 241.697 1040593 11
21260 241.921 1047831 11
21280 242.146 1052339 11
21300 242.371 1057323 11
21320 242.596 1062314 11
21340 242.82 1060452 11
21360 243.045 1059199 11
21380 243.27 1056994 11
21400 243.494 1054453 11
21420 243.719 1056126 11
21440 243.944 1052346 11
21460 244.169 1054138 11
21480 244.393 1052773 11
21500 244.618 1052808 11
21520 244.843 1055405 11
21540 245.067 1056854 11
21560 245.292 1064043 11
21580 245.517 1067655 11
21600 245.742 1071470 11
21620 245.966 1076440 11
21640 246.191 1082026 11
21660 246.416 1087570 11
21680 246.64 1092652 11
21700 246.865 1096936 11
21720 247.09 1099022 11
21740 247.315 1102655 12
21760 247.539 1105420 12
21780 247.764 1102809 12
21800 247.989 1101955 12
21820 248.213 1103908 12
21840 248.438 1104678 12
21860 248.663 1105476 12
21880 248.888 1108948 12
21900 249.112 1112357 12
21920 249.337 1113638 12
21940 249.562 1113666 12
21960 249.787 1110173 12
21980 250.011 1107891 12
22000 250.236 1105231 12
22020 250.461 1103103 12
22040 250.685 1099967 11
22060 250.91 1095865 11
22080 251.135 1093877 11
22100 251.36 1089978 11
22120 251.584 1088445 11
22140 251.809 1088774 11
22160 252.034 1090622 11
22180 252.258 1091882 11
22200 252.483 1092463 11
22220 252.708 1092435 11
22240 252.933 1089271 11
22260 253.157 1082607 11
22280 253.382 1074403 11
22300 253.607 1072114 11
22320 253.831 1069048 11
22340 254.056 1065737 11
22360 254.281 1061880 11
22380 254.506 1057239 11
22400 254.73 1054215 11
22420 254.955 1048405 11
22440 255.18 1041671 11
22460 255.404 1031717 11
22480 255.629 1026558 11
22500 255.854 1024094 11
22520 256.079 1021581 11
22540 256.303 1023492 11
22560 256.528 1023058 11
22580 256.753 1021217 11
22600 256.978 1020027 11
22620 257.202 1019236 11
22640 257.427 1015337 11
22660 257.652 1012187 11
22680 257.876 1012817 11
22700 258.101 1015141 11
22720 258.326 1016394 11
22740 258.551 1019502 11
22760 258.775 1018431 11
22780 259 1018431 11
22800 259.225 1018452 11
22820 259.449 1020566 11
22840 259.674 1022498 11
22860 259.899 1027034 11
22880 260.124 1028693 11
22900 260.348 1027909 11
22920 260.573 1024969 11
22940 260.798 1024360 11
22960 261.022 1020650 11
22980 261.247 1019488 11
23000 261.472 1016744 11
23020 261.697 1015533 11
23040 261.921 1014651 11
23060 262.146 1012334 11
23080 262.371 1011270 11
23100 262.596 1008876 11
23120 262.82 1005957 11
23140 263.045 1005159 11
23160 263.27 1002961 11
23180 263.494 996836 10
23200 263.719 992818 10
23220 263.944 990242 10
23240 264.169 988961 10
23260 264.393 989031 10
23280 264.618 989626 10
23300 264.843 986791 10
23320 265.067 987946 10
23340 265.292 986350 10
23360 265.517 987407 10
23380 265.742 987533 10
23400 265.966 986336 10
23420 266.191 982129 10
23440 266.416 978475 10
23460 266.64 972287 10
23480 266.865 969837 10
23500 267.09 967394 10
23520 267.315 965791 10
23540 267.539 966197 10
23560 267.764 965266 10
23580 267.989 965574 10
23600 268.213 967758 10
23620 268.438 971468 10
23640 268.663 974443 10
23660 268.888 978496 10
23680 269.112 977880 10
23700 269.337 978139 10
23720 269.562 982073 10
23740 269.787 978573 10
23760 270.011 979938 10
23780 270.236 979833 10
23800 270.461 980764 10
23820 270.685 985279 10
23840 270.91 990067 10
23860 271.135 996962 10
23880 271.36 1001995 11
23900 271.584 1007721 11
23920 271.809 1009485 11
23940 272.034 1008176 11
23960 272.258 1007455 11
23980 272.483 1008393 11
24000 272.708 1010626 11
24020 272.933 1014819 11
24040 273.157 1019201 11
24060 273.369 1024297 11
24080 273.587 1025837 11
24100 273.81 1031066 11
24120 274.034 1033495 11
24140 274.258 1036953 11
24160 274.483 1042490 11
24180 274.708 1049112 11
24200 274.933 1054558 11
24220 275.157 1060095 11
24240 275.379 1064603 11
24260 275.597 1071687 11
24280 275.815 1074144 11
24300 276.022 1078085 11
24320 276.246 1082782 11
24340 276.471 1086156 11
24360 276.696 1090888 11
24380 276.921 1094101 11
24400 277.146 1092960 11
24420 277.371 1093443 11
24440 277.596 1093674 11
24460 277.82 1096810 11
24480 278.045 1098924 11
24500 278.258 1100835 12
24520 278.474 1101535 12
24540 278.698 1099036 11
24560 278.898 1100975 12
24580 279.085 1102494 12
24600 279.306 1105112 12
24620 279.53 1106540 12
24640 279.754 1108311 12
24660 279.978 1110488 12
