# t dissipation energy Reynolds eta
76.001 1.27667 14.5107 24.5537 1.47642
76.003 1.2712 14.5197 24.6218 1.47801
76.0077 1.2739 14.5523 24.6508 1.47722
76.0148 1.27811 14.6018 24.6939 1.476
76.0242 1.28361 14.6667 24.7505 1.47442
76.0357 1.29027 14.7458 24.8197 1.47251
76.0489 1.29797 14.8368 24.8986 1.47032
76.0637 1.30668 14.9391 24.9867 1.46787
76.0802 1.31627 15.0519 25.0833 1.46519
76.0979 1.32657 15.173 25.1868 1.46234
76.1171 1.33774 15.3041 25.2982 1.45927
76.1371 1.34944 15.441 25.4136 1.4561
76.1582 1.36164 15.5841 25.534 1.45283
76.1803 1.37451 15.7343 25.6591 1.44941
76.2031 1.38771 15.8882 25.7865 1.44595
76.2265 1.40135 16.0464 25.9162 1.44242
76.2507 1.41534 16.2089 26.049 1.43885
76.2757 1.42979 16.3763 26.1847 1.4352
76.3015 1.44481 16.5493 26.3235 1.43145
76.3274 1.45978 16.7218 26.461 1.42777
76.3543 1.47528 16.9005 26.603 1.424
76.3812 1.49088 17.079 26.7429 1.42026
76.4081 1.50651 17.257 26.881 1.41656
76.4363 1.52272 17.4424 27.0248 1.41278
76.4645 1.53915 17.6277 27.1658 1.40899
76.4927 1.55546 17.8123 27.3061 1.40529
76.5209 1.5718 17.9965 27.4446 1.40162
76.549 1.58817 18.1801 27.5814 1.39799
76.5772 1.60454 18.3631 27.7166 1.39441
76.6054 1.62101 18.5459 27.8499 1.39086
76.6336 1.63742 18.7281 27.9822 1.38736
76.6618 1.65378 18.9095 28.1132 1.38392
76.69 1.67029 19.0907 28.2419 1.38048
76.7182 1.68663 19.2711 28.3703 1.37713
76.7463 1.70304 19.4511 28.497 1.3738
76.7745 1.71948 19.6306 28.6222 1.3705
76.8027 1.73589 19.8096 28.7464 1.36725
76.8309 1.75237 19.9883 28.869 1.36403
76.8591 1.76888 20.1664 28.99 1.36083
76.8873 1.7854 20.3441 29.1098 1.35767
76.9154 1.80201 20.5215 29.228 1.35454
76.9436 1.81858 20.6982 29.3451 1.35144
76.9718 1.83514 20.8746 29.4612 1.34838
77 1.85179 21.0506 29.5758 1.34534
77.0312 1.87029 21.2451 29.7011 1.342
77.0625 1.88865 21.4388 29.8258 1.33873
77.0938 1.90726 21.6323 29.9479 1.33545
77.125 1.92575 21.8252 30.0695 1.33223
77.1562 1.94439 22.0177 30.189 1.32903
77.1875 1.96293 22.2094 30.3077 1.32588
77.2188 1.98162 22.4007 30.4242 1.32274
77.25 2.00032 22.5915 30.5396 1.31964
77.2812 2.01902 22.7818 30.6539 1.31657
77.3125 2.03775 22.9716 30.7669 1.31354
77.3438 2.05655 23.1607 30.8781 1.31052
77.375 2.07535 23.3496 30.9886 1.30754
77.4062 2.09431 23.5382 31.0971 1.30458
77.4375 2.11325 23.7263 31.2048 1.30164
77.4688 2.13224 23.9138 31.3112 1.29874
77.5 2.1513 24.1009 31.4159 1.29585
77.5312 2.17038 24.2875 31.5197 1.29299
77.5625 2.18953 24.4737 31.6222 1.29015
77.5938 2.2088 24.6596 31.7231 1.28733
77.625 2.22789 24.8445 31.8237 1.28456
77.6562 2.2473 25.0296 31.9221 1.28178
77.6875 2.26672 25.214 32.0192 1.27903
77.7188 2.28615 25.398 32.1155 1.2763
77.75 2.30562 25.5816 32.2108 1.2736
77.7812 2.32501 25.7642 32.3052 1.27093
77.8125 2.3448 25.9473 32.3972 1.26825
77.8438 2.36455 26.1299 32.4886 1.26559
77.875 2.38428 26.3118 32.5792 1.26296
77.9062 2.40386 26.493 32.6697 1.26038
77.9375 2.42356 26.674 32.7588 1.25781
77.9688 2.44337 26.8547 32.8469 1.25526
78 2.4634 27.0352 32.9329 1.2527
78.0312 2.48315 27.2148 33.0196 1.2502
78.0625 2.50326 27.3944 33.1037 1.24768
78.0938 2.52338 27.5734 33.1869 1.24519
78.125 2.54346 27.752 33.2698 1.24272
78.1562 2.56355 27.9301 33.3518 1.24028
78.1875 2.58374 28.1078 33.4327 1.23785
78.2188 2.60414 28.2855 33.5119 1.23542
78.25 2.62457 28.4627 33.5903 1.23301
78.2812 2.64498 28.6394 33.6683 1.23062
78.3125 2.66529 28.8154 33.7459 1.22827
78.3438 2.68598 28.9915 33.8211 1.2259
78.375 2.7066 29.167 33.8959 1.22355
78.4062 2.72717 29.3422 33.9707 1.22124
78.4359 2.74707 29.5086 34.0394 1.21902
78.4656 2.76693 29.6746 34.1078 1.21683
78.4953 2.78694 29.8408 34.1755 1.21464
78.525 2.80683 30.006 34.2427 1.21248
78.5547 2.82686 30.1711 34.3089 1.21033
78.5844 2.84695 30.3359 34.3743 1.20819
78.6141 2.86727 30.5005 34.4382 1.20604
78.6437 2.88756 30.6648 34.5018 1.20392
78.6734 2.90771 30.8283 34.5654 1.20183
78.7031 2.92824 30.992 34.627 1.19971
78.7328 2.94853 31.1551 34.6892 1.19765
78.7625 2.96907 31.3181 34.7498 1.19557
78.7922 2.98981 31.4807 34.809 1.19349
78.8219 3.01046 31.643 34.8682 1.19144
78.8473 3.02876 31.7833 34.9168 1.18963
78.8728 3.04677 31.9226 34.966 1.18787
78.8982 3.06499 32.0619 35.0141 1.1861
78.9237 3.08305 32.2009 35.0627 1.18436
78.9491 3.10144 32.3398 35.1094 1.1826
78.9746 3.11977 32.4786 35.1564 1.18086
79 3.13829 32.6174 35.2023 1.17912
79.0286 3.15874 32.772 35.2545 1.1772
79.0571 3.17916 32.926 35.3062 1.17531
79.0857 3.19982 33.0802 35.3568 1.17341
79.1143 3.22042 33.2339 35.4073 1.17152
79.1429 3.24133 33.3877 35.4563 1.16963
