# i t cells coeurs_suggere(~100k/coeur)
10180 76.2265 720805 8
10200 76.7745 713994 8
10220 77.369 729695 8
10240 77.9239 759116 8
10260 78.4367 785387 8
10280 78.9078 815641 9
10300 79.346 843991 9
10320 79.7245 869611 9
10340 80.069 894531 9
10360 80.4184 917911 10
10380 80.7804 942075 10
10400 81.1523 968654 10
10420 81.516 995079 10
10440 81.8745 1016324 11
10460 82.2297 1041419 11
10480 82.5748 1062279 11
10500 82.915 1086429 11
10520 83.2506 1109921 12
10540 83.5526 1128527 12
10560 83.8412 1146720 12
10580 84.1122 1161252 12
10600 84.386 1178507 12
10620 84.6589 1200305 13
10640 84.9318 1219905 13
10660 85.2054 1241836 13
10680 85.4747 1258734 13
10700 85.7387 1267778 13
10720 85.9876 1272223 13
10740 86.2423 1276864 13
10760 86.5068 1279020 13
10780 86.7734 1282352 13
10800 87.0421 1288001 13
10820 87.3145 1295442 13
10840 87.5833 1305179 14
10860 87.8521 1317646 14
10880 88.1214 1332696 14
10900 88.3795 1342405 14
10920 88.6328 1342237 14
10940 88.8777 1337064 14
10960 89.1266 1339101 14
10980 89.3853 1337617 14
11000 89.6469 1337470 14
11020 89.9084 1348824 14
11040 90.1806 1358960 14
11060 90.452 1363951 14
11080 90.7133 1365652 14
11100 90.9739 1370167 14
11120 91.2315 1367696 14
11140 91.4911 1368991 14
11160 91.765 1367437 14
11180 92.0423 1364637 14
11200 92.3222 1363804 14
11220 92.5944 1365806 14
11240 92.8648 1370902 14
11260 93.1163 1381717 14
11280 93.3658 1389837 14
11300 93.612 1388689 14
11320 93.8623 1387345 14
11340 94.1233 1396438 14
11360 94.3901 1401569 15
11380 94.6496 1403438 15
11400 94.9092 1399847 14
11420 95.1538 1399665 14
11440 95.4146 1400687 15
11460 95.6915 1403914 15
11480 95.9609 1412300 15
11500 96.2221 1416563 15
11520 96.4698 1412573 15
11540 96.7164 1407512 15
11560 96.963 1408919 15
11580 97.2233 1415975 15
11600 97.4819 1420875 15
11620 97.7286 1420728 15
11640 97.9753 1415240 15
11660 98.2246 1408240 15
11680 98.4747 1405979 15
11700 98.7249 1399161 14
11720 98.975 1396172 14
11740 99.2348 1391426 14
11760 99.495 1387485 14
11780 99.7218 1386701 14
11800 99.929 1382151 14
11820 100.14 1376509 14
11840 100.367 1368102 14
11860 100.609 1363342 14
11880 100.84 1364028 14
11900 101.07 1365687 14
11920 101.308 1365813 14
11940 101.558 1369005 14
11960 101.81 1372897 14
11980 102.066 1380065 14
12000 102.327 1389536 14
12020 102.588 1397852 14
12040 102.854 1399539 14
12060 103.121 1393680 14
12080 103.388 1388836 14
12100 103.66 1386736 14
12120 103.922 1386764 14
12140 104.194 1390789 14
12160 104.472 1397033 14
12180 104.748 1398832 14
12200 105.013 1394268 14
12220 105.274 1391293 14
12240 105.521 1391167 14
12260 105.767 1392798 14
12280 106.013 1392378 14
12300 106.281 1387212 14
12320 106.557 1375956 14
12340 106.834 1367507 14
12360 107.114 1368802 14
12380 107.398 1365540 14
12400 107.667 1367696 14
12420 107.923 1369348 14
12440 108.186 1374717 14
12460 108.456 1383439 14
12480 108.722 1394793 14
12500 108.975 1398755 14
12520 109.233 1402367 15
12540 109.483 1400414 15
12560 109.726 1395619 14
12580 109.964 1396907 14
12600 110.209 1402423 15
12620 110.461 1407092 15
12640 110.717 1405293 15
12660 110.963 1403942 15
12680 111.218 1403347 15
12700 111.474 1396774 14
12720 111.731 1388969 14
12740 111.976 1382564 14
12760 112.218 1384958 14
12780 112.455 1386120 14
12800 112.692 1384685 14
12820 112.929 1378133 14
12840 113.171 1371203 14
12860 113.418 1358533 14
12880 113.661 1346815 14
12900 113.881 1341761 14
12920 114.097 1340256 14
12940 114.31 1340662 14
12960 114.512 1342475 14
12980 114.708 1342209 14
13000 114.903 1338695 14
13020 115.103 1335517 14
13040 115.318 1333067 14
13060 115.539 1334425 14
13080 115.764 1334908 14
13100 115.989 1336315 14
13120 116.218 1330386 14
13140 116.444 1328300 14
13160 116.671 1329959 14
13180 116.898 1335902 14
13200 117.129 1340564 14
13220 117.37 1344267 14
13240 117.615 1345289 14
13260 117.856 1340375 14
13280 118.099 1335895 14
13300 118.349 1340172 14
13320 118.601 1340046 14
13340 118.85 1333739 14
13360 119.102 1326207 14
13380 119.362 1320243 14
13400 119.62 1315343 14
13420 119.872 1315735 14
13440 120.109 1306999 14
13460 120.345 1296772 13
13480 120.579 1292355 13
13500 120.813 1286090 13
13520 121.049 1278887 13
13540 121.298 1268170 13
13560 121.549 1256298 13
13580 121.8 1248206 13
13600 122.05 1245273 13
13620 122.292 1247744 13
13640 122.538 1248087 13
13660 122.781 1252567 13
13680 123.026 1254506 13
13700 123.288 1257355 13
13720 123.547 1260862 13
13740 123.806 1267750 13
13760 124.068 1270221 13
13780 124.338 1278726 13
13800 124.601 1289191 13
13820 124.858 1291970 13
13840 125.116 1283906 13
13860 125.372 1285579 13
13880 125.629 1291494 13
13900 125.885 1286482 13
13920 126.151 1278656 13
13940 126.429 1272825 13
13960 126.697 1268436 13
13980 126.961 1270046 13
14000 127.23 1274253 13
14020 127.494 1276164 13
14040 127.741 1282793 13
14060 127.988 1296583 13
14080 128.247 1309295 14
14100 128.506 1311528 14
14120 128.766 1308602 14
14140 129.026 1301931 14
14160 129.295 1304115 14
14180 129.559 1315448 14
14200 129.812 1329140 14
14220 130.065 1331975 14
14240 130.33 1337281 14
14260 130.602 1340571 14
14280 130.877 1342853 14
14300 131.151 1339283 14
14320 131.425 1338016 14
14340 131.696 1331702 14
14360 131.96 1328832 14
14380 132.236 1326767 14
14400 132.502 1326466 14
14420 132.751 1327509 14
14440 133 1326872 14
14460 133.261 1331660 14
14480 133.506 1342153 14
14500 133.742 1353129 14
14520 133.977 1360962 14
14540 134.223 1362572 14
14560 134.476 1367332 14
14580 134.725 1364784 14
14600 134.975 1361865 14
14620 135.235 1365211 14
14640 135.499 1363363 14
14660 135.754 1356384 14
14680 136 1352233 14
14700 136.257 1354746 14
14720 136.523 1359226 14
14740 136.795 1364357 14
14760 137.051 1368445 14
14780 137.304 1368970 14
14800 137.552 1372358 14
14820 137.789 1379736 14
14840 138.024 1377125 14
14860 138.272 1379855 14
14880 138.526 1385126 14
14900 138.785 1394268 14
14920 139.039 1395906 14
