# t frame_uz frame_z ub_dans_repere
160.009 -0.0546859 -0.000310597 -6.50943
160.037 -0.231624 -0.0047133 -6.43699
160.075 -0.473158 -0.0191972 -6.19996
160.12 -0.744981 -0.0479929 -5.88787
160.17 -1.02437 -0.0931187 -5.50561
160.222 -1.29698 -0.154899 -5.07431
160.275 -1.55323 -0.232817 -4.57911
160.33 -1.78573 -0.325371 -4.03923
160.385 -1.98881 -0.430312 -3.46299
160.44 -2.16134 -0.54671 -2.86835
160.496 -2.30212 -0.672567 -2.28192
160.552 -2.41055 -0.80521 -1.71824
160.608 -2.48984 -0.942927 -1.22406
160.664 -2.54318 -1.0842 -0.779704
160.72 -2.5735 -1.22767 -0.389947
160.776 -2.58338 -1.37214 -0.0441844
160.832 -2.57473 -1.51654 0.289613
160.888 -2.54742 -1.65982 0.616923
160.944 -2.502 -1.80097 0.941716
161 -2.43783 -1.93896 1.28173
161.056 -2.35417 -2.07318 1.62841
161.112 -2.25057 -2.20203 1.98463
161.169 -2.12734 -2.3244 2.33076
161.225 -1.98561 -2.43922 2.64649
161.281 -1.82654 -2.54548 2.94834
161.337 -1.65145 -2.64227 3.23123
161.393 -1.4606 -2.72868 3.50424
161.449 -1.25571 -2.80389 3.73392
161.506 -1.03865 -2.86717 3.94131
161.562 -0.811717 -2.91791 4.09916
161.618 -0.577036 -2.95563 4.22442
161.674 -0.337303 -2.97998 4.28934
161.73 -0.0948446 -2.99077 4.33247
161.787 0.149226 -2.98787 4.34853
161.843 0.392912 -2.97127 4.32698
161.899 0.634904 -2.94103 4.28909
161.955 0.874248 -2.89728 4.2387
162.011 1.1097 -2.8402 4.1529
162.067 1.33961 -2.77009 4.05238
162.124 1.56326 -2.68726 3.92949
162.18 1.77949 -2.59211 3.79344
162.236 1.98697 -2.4851 3.62354
162.292 2.18394 -2.36679 3.42774
162.348 2.36886 -2.2378 3.20177
162.404 2.54095 -2.09886 2.96269
162.461 2.69815 -1.95074 2.68823
162.517 2.83948 -1.79432 2.39516
162.573 2.96362 -1.63053 2.08565
162.629 3.06959 -1.46038 1.75141
162.685 3.15646 -1.28492 1.40814
162.742 3.2238 -1.10523 1.06143
162.798 3.2721 -0.922406 0.723128
162.854 3.30153 -0.737505 0.392054
162.91 3.31262 -0.551571 0.0702337
162.966 3.30643 -0.365604 -0.226601
163.022 3.28393 -0.180536 -0.511697
163.079 3.24688 0.00276457 -0.751744
163.135 3.1976 0.183562 -0.954062
163.191 3.13836 0.361244 -1.11131
163.247 3.07269 0.535364 -1.20127
163.303 3.00362 0.705667 -1.23976
163.36 2.9347 0.872077 -1.21035
163.416 2.86928 1.03472 -1.12591
163.472 2.81062 1.1939 -0.982874
163.528 2.76132 1.35009 -0.800586
163.584 2.7235 1.50389 -0.584099
163.64 2.69824 1.65599 -0.358935
163.697 2.68581 1.8071 -0.13136
163.753 2.68588 1.95794 0.0838952
163.809 2.69655 2.10914 0.258922
163.865 2.71575 2.26125 0.391259
163.921 2.74114 2.41465 0.488367
163.978 2.77032 2.56962 0.53446
164.034 2.80094 2.72629 0.545488
164.09 2.83137 2.88467 0.533745
164.146 2.85993 3.04472 0.485101
164.202 2.88468 3.20624 0.411065
164.258 2.90546 3.36902 0.344607
164.315 2.92311 3.53285 0.290749
164.371 2.93703 3.69756 0.223052
164.427 2.94733 3.86292 0.158987
164.483 2.95394 4.02874 0.0952151
164.539 2.95697 4.19482 0.0228121
164.596 2.95655 4.36094 -0.0295023
164.652 2.95329 4.52694 -0.0769053
164.708 2.94782 4.69268 -0.108308
164.764 2.94118 4.85807 -0.122885
164.82 2.93462 5.02308 -0.111135
164.876 2.9294 5.18776 -0.0760493
164.933 2.9268 5.35223 -0.0207939
164.989 2.92783 5.51667 0.0482883
165.045 2.93355 5.68132 0.141416
165.101 2.94429 5.84647 0.227944
165.157 2.9601 6.01239 0.316683
165.213 2.98033 6.17935 0.388223
165.27 3.00364 6.34756 0.425067
165.326 3.02749 6.51711 0.418732
165.382 3.04878 6.68793 0.346157
165.438 3.06461 6.85978 0.229924
165.494 3.07185 7.03224 0.0569967
165.551 3.06748 7.20472 -0.172163
165.607 3.04851 7.37649 -0.451786
165.663 3.01313 7.54663 -0.748564
