# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.001 2122.62 30 90 60 -0.306969 0.386736 -0.750124 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.019 2122.36 29.8971 90.1003 59.8088 -6.27804 6.09156 -11.156 15 15 15 15.9444 1 1 2023.1 0
160.051 2122.57 29.6919 90.3017 59.459 -6.38072 6.30727 -10.0551 15 15 15 15.9449 1 1 2027.7 0
160.092 2122.54 29.4245 90.568 59.0594 -6.45216 6.50036 -8.70499 15 15 15.9375 15.9448 1.0625 1 2025.84 0
160.14 2122.64 29.1194 90.8808 58.6716 -6.45599 6.69962 -7.24215 14.0625 15.9375 15.9375 15.945 1.13333 1 2023.04 0
160.19 2122.59 28.7946 91.2257 58.3313 -6.35509 6.84179 -5.74783 14.0625 15 15.9375 15.9449 1.13333 1 2026.14 0
160.243 2122.74 28.4623 91.5927 58.055 -6.15531 6.99089 -4.30737 15 15 15.9375 15.9453 1.0625 1 2022.88 0
160.297 2122.92 28.1369 91.9768 57.8488 -5.83006 7.1689 -2.99786 14.0625 14.0625 16.875 15.9458 1.2 1 2024.6 0
160.352 2123.1 27.8247 92.3795 57.7083 -5.43473 7.41847 -1.8934 14.0625 15 16.875 15.9462 1.2 1 2036.14 0
160.407 2123.27 27.536 92.7963 57.6228 -4.98103 7.72134 -1.05725 15 15 16.875 15.9466 1.125 1 2019.31 0
160.463 2123.53 27.2702 93.2381 57.5754 -4.48391 8.02501 -0.532091 14.0625 15 15.9375 15.9473 1.13333 1 2028.27 0
160.519 2123.91 27.0321 93.6968 57.5495 -3.9415 8.30736 -0.363037 14.0625 15 15.9375 15.9482 1.13333 1 2033.86 0
160.575 2124.04 26.823 94.1724 57.5276 -3.47716 8.59991 -0.43119 15 15 15 15.9486 1 1 2033.86 0
160.631 2124.21 26.6393 94.6628 57.4977 -3.08588 8.85925 -0.624299 15 15 15 15.949 1 1 2029.09 0
160.687 2124.13 26.4747 95.1689 57.4582 -2.76024 9.12807 -0.777813 15.9375 15 14.0625 15.9488 1.13333 1 2024.27 0
160.741 2124.21 26.3307 95.6771 57.4129 -2.49139 9.36829 -0.862769 15.9375 15.9375 13.125 15.949 1.21429 1 2030.19 0
160.795 2124.29 26.2027 96.191 57.3655 -2.27017 9.6187 -0.915826 15.9375 15 13.125 15.9492 1.21429 1 2034.13 0
160.849 2124.31 26.0851 96.7182 57.3174 -2.06313 9.83915 -0.912785 16.875 15.9375 13.125 15.9492 1.28571 1 2029.44 0
160.903 2124.17 25.9783 97.2553 57.2696 -1.88043 10.0245 -0.885038 16.875 16.875 13.125 15.9489 1.28571 1 2023.82 0
160.957 2124.45 25.8818 97.8024 57.223 -1.71624 10.2072 -0.870725 16.875 15.9375 13.125 15.9496 1.28571 1 2026.31 0
161.011 2124.65 25.7926 98.3618 57.1777 -1.54799 10.3164 -0.823717 15.9375 16.875 14.0625 15.9501 1.2 1 2020.87 0
161.067 2124.93 25.71 98.9442 57.1341 -1.39546 10.3675 -0.766035 15.9375 16.875 14.0625 15.9508 1.2 1 2025.11 0
161.124 2124.99 25.6367 99.5298 57.0946 -1.21423 10.3838 -0.687935 16.875 15.9375 13.125 15.9509 1.28571 1 2025.05 0
161.18 2125.12 25.5723 100.116 57.0606 -1.04127 10.3972 -0.583877 16.875 16.875 13.125 15.9513 1.28571 1 2029.87 0
161.236 2125.22 25.5184 100.699 57.0323 -0.856236 10.3405 -0.459937 16.875 15.9375 13.125 15.9515 1.28571 1 2024.78 0
161.292 2125.27 25.4757 101.281 57.0107 -0.656658 10.2814 -0.345197 15.9375 15.9375 13.125 15.9516 1.21429 1 2026.77 0
