# i t cells coeurs_suggere(~100k/coeur)
15120 160.092 1294112 13
15140 160.297 1291963 13
15160 160.519 1290577 13
15180 160.741 1289576 13
15200 160.957 1292103 13
15220 161.18 1290234 13
15240 161.404 1287980 13
15260 161.629 1284326 13
15280 161.854 1279405 13
15300 162.079 1278551 13
15320 162.303 1279433 13
15340 162.528 1273560 13
15360 162.753 1269640 13
15380 162.978 1268394 13
15400 163.202 1269871 13
15420 163.427 1268436 13
15440 163.652 1268030 13
15460 163.876 1273259 13
15480 164.101 1272601 13
15500 164.326 1269437 13
15520 164.551 1264950 13
15540 164.775 1259336 13
15560 165 1259455 13
15580 165.225 1261527 13
15600 165.449 1259840 13
15620 165.674 1257495 13
15640 165.899 1251895 13
15660 166.124 1245063 13
15680 166.348 1245518 13
15700 166.573 1240303 13
15720 166.798 1235543 13
15740 167.022 1229656 13
15760 167.232 1227318 13
15780 167.451 1224462 13
15800 167.675 1229530 13
15820 167.899 1233898 13
15840 168.124 1238238 13
15860 168.348 1241164 13
15880 168.573 1243530 13
15900 168.788 1242767 13
15920 169 1244223 13
15940 169.225 1243593 13
15960 169.449 1239512 13
15980 169.674 1239526 13
16000 169.883 1244265 13
16020 170.101 1245077 13
16040 170.326 1241507 13
16060 170.551 1236761 13
16080 170.775 1231973 13
16100 170.989 1233555 13
16120 171.213 1234087 13
16140 171.438 1236355 13
16160 171.661 1235956 13
16180 171.88 1232043 13
16200 172.101 1227479 13
16220 172.326 1222005 13
16240 172.551 1221718 13
16260 172.775 1220668 13
16280 173 1220003 13
16300 173.225 1212723 13
16320 173.449 1207123 13
16340 173.674 1203273 13
16360 173.899 1208684 13
16380 174.124 1217049 13
16400 174.348 1220976 13
16420 174.573 1224791 13
16440 174.798 1222824 13
16460 175.022 1222782 13
16480 175.247 1226135 13
16500 175.472 1225848 13
16520 175.697 1225939 13
16540 175.921 1224287 13
16560 176.146 1223181 13
16580 176.371 1229866 13
16600 176.596 1236831 13
16620 176.82 1238462 13
16640 177.045 1240968 13
16660 177.27 1245217 13
16680 177.486 1247121 13
16700 177.702 1251706 13
16720 177.915 1249935 13
16740 178.133 1251706 13
16760 178.355 1248598 13
16780 178.577 1245672 13
16800 178.8 1244209 13
16820 179.022 1242060 13
16840 179.247 1240590 13
16860 179.461 1238910 13
16880 179.673 1238217 13
16900 179.891 1238749 13
16920 180.11 1238021 13
16940 180.327 1241171 13
16960 180.544 1243705 13
16980 180.751 1241269 13
17000 180.958 1238924 13
17020 181.179 1232057 13
17040 181.404 1227808 13
17060 181.629 1223412 13
17080 181.854 1218554 13
17100 182.079 1218155 13
17120 182.293 1216090 13
17140 182.514 1219800 13
17160 182.735 1219261 13
17180 182.956 1216839 13
17200 183.18 1215523 13
17220 183.404 1211687 13
17240 183.629 1208544 13
17260 183.854 1208656 13
17280 184.079 1207130 13
17300 184.303 1205513 13
17320 184.528 1208621 13
17340 184.753 1208964 13
17360 184.978 1214746 13
17380 185.202 1220514 13
