# t dissipation energy Reynolds eta
160.001 15.083 75.0979 36.9702 0.796356
160.003 15.1148 75.1357 36.9498 0.795937
160.006 15.0935 75.1365 36.9764 0.796219
160.009 15.0836 75.1392 36.9898 0.796349
160.014 15.0753 75.1422 37.0014 0.796458
160.019 15.068 75.1455 37.0121 0.796555
160.024 15.0649 75.1494 37.0177 0.796595
160.03 15.0563 75.1519 37.0295 0.796709
160.037 15.0548 75.1562 37.0335 0.796729
160.044 15.0464 75.1586 37.0451 0.796841
160.051 15.0456 75.1626 37.048 0.796851
160.059 15.0433 75.1667 37.0529 0.796882
160.067 15.0339 75.1694 37.0658 0.797006
160.075 15.0286 75.1724 37.0737 0.797076
160.084 15.0358 75.1781 37.0678 0.796981
160.092 15.0416 75.1841 37.0636 0.796905
160.101 15.0279 75.1857 37.0812 0.797086
160.111 15.0363 75.1919 37.074 0.796975
160.12 15.022 75.1934 37.0923 0.797164
160.13 15.0193 75.1971 37.0975 0.7972
160.14 15.0288 75.2031 37.0887 0.797073
160.149 15.015 75.2051 37.1067 0.797256
160.159 15.0119 75.2092 37.1125 0.797298
160.17 15.0113 75.2133 37.1153 0.797306
160.18 15.0022 75.2154 37.1276 0.797426
160.19 14.9946 75.2176 37.1382 0.797528
160.2 14.9896 75.2207 37.1458 0.797594
160.211 14.9853 75.224 37.1528 0.797651
160.221 14.9817 75.2272 37.1588 0.797699
160.232 14.9778 75.2305 37.1653 0.797752
160.242 14.9743 75.234 37.1714 0.797798
160.253 14.9701 75.2373 37.1782 0.797853
160.264 14.9655 75.2407 37.1856 0.797915
160.275 14.9612 75.2439 37.1926 0.797973
160.285 14.9591 75.2477 37.1971 0.798001
160.296 14.9542 75.2508 37.2046 0.798066
160.307 14.9498 75.2537 37.2116 0.798125
160.318 14.9534 75.2587 37.2096 0.798077
160.329 14.9439 75.2615 37.2228 0.798203
160.34 14.9391 75.2648 37.2304 0.798268
160.351 14.935 75.268 37.2371 0.798322
160.362 14.9345 75.2719 37.2396 0.798329
160.373 14.9481 75.2781 37.2258 0.798148
160.384 14.9293 75.2791 37.2497 0.798399
160.395 14.9234 75.2826 37.2587 0.798477
160.406 14.9205 75.286 37.2641 0.798516
160.417 14.9171 75.2894 37.2701 0.798562
160.428 14.9151 75.2932 37.2744 0.798589
160.439 14.9107 75.2959 37.2813 0.798647
160.451 14.9078 75.299 37.2864 0.798686
160.462 14.9047 75.3021 37.2918 0.798727
160.473 14.9037 75.3058 37.2949 0.798741
160.484 14.8992 75.3087 37.302 0.798802
160.495 14.8966 75.3122 37.307 0.798837
160.507 14.8948 75.3156 37.3109 0.79886
160.518 14.8906 75.3183 37.3175 0.798917
160.529 14.8883 75.3211 37.3218 0.798948
160.54 14.8851 75.3235 37.3269 0.79899
160.551 14.8829 75.3262 37.3311 0.79902
160.563 14.8806 75.3288 37.3352 0.799051
160.574 14.8801 75.3315 37.3373 0.799058
160.585 14.8774 75.3343 37.342 0.799094
160.596 14.8765 75.3372 37.3446 0.799106
160.608 14.8757 75.34 37.3469 0.799116
160.619 14.8725 75.3418 37.3519 0.79916
160.63 14.8705 75.3443 37.3556 0.799187
160.641 14.8685 75.3463 37.3591 0.799214
160.652 14.8669 75.3489 37.3623 0.799235
160.664 14.8759 75.3526 37.3529 0.799113
160.675 14.8704 75.3545 37.3608 0.799188
160.686 14.866 75.3564 37.3673 0.799248
160.697 14.8646 75.3588 37.3702 0.799266
160.708 14.8676 75.362 37.3681 0.799226
160.72 14.8651 75.3639 37.3721 0.79926
160.731 14.8625 75.3659 37.3764 0.799295
160.742 14.8645 75.3688 37.3753 0.799267
160.753 14.8682 75.3718 37.3721 0.799217
160.765 14.8625 75.3733 37.38 0.799294
160.776 14.8608 75.3753 37.3832 0.799317
160.787 14.8601 75.3776 37.3852 0.799326
160.798 14.8603 75.3803 37.3863 0.799324
160.809 14.86 75.3826 37.3877 0.799327
160.821 14.86 75.3852 37.3891 0.799328
160.832 14.8627 75.3881 37.3871 0.799292
160.843 14.8604 75.3906 37.3912 0.799322
160.854 14.8595 75.3926 37.3933 0.799334
160.865 14.8599 75.3951 37.3941 0.799329
160.877 14.8602 75.3976 37.395 0.799325
160.888 14.8612 75.4005 37.3951 0.799312
160.899 14.8624 75.4035 37.3952 0.799296
160.91 14.8636 75.4062 37.395 0.79928
160.922 14.8643 75.409 37.3955 0.799271
160.933 14.8729 75.4131 37.3866 0.799154
160.944 14.8682 75.4147 37.3933 0.799217
160.955 14.8711 75.4177 37.3912 0.799179
160.966 14.8686 75.4196 37.3953 0.799212
160.978 14.8696 75.4226 37.3955 0.799199
160.989 14.8705 75.4257 37.396 0.799187
161 14.8723 75.4289 37.3953 0.799163
161.011 14.8727 75.4313 37.3959 0.799157
161.022 14.8736 75.4345 37.3963 0.799144
161.034 14.8753 75.4377 37.3958 0.799122
161.045 14.8823 75.4417 37.3891 0.799028
161.056 14.8793 75.4441 37.394 0.799068
161.067 14.8798 75.4473 37.395 0.799062
161.079 14.8805 75.4503 37.3956 0.799052
161.09 14.8824 75.4537 37.3949 0.799027
161.101 14.884 75.457 37.3945 0.799005
