# i t cells coeurs_suggere(~100k/coeur)
10180 76.2265 721022 8
10200 76.7745 709661 8
10220 77.375 712461 8
10240 78 729170 8
10260 78.6141 745725 8
10280 79.1714 765892 8
10300 79.7087 786822 8
10320 80.1605 805771 9
10340 80.5957 826463 9
10360 81.0217 843795 9
10380 81.4724 862583 9
10400 81.9312 886670 9
10420 82.3524 909945 10
10440 82.7841 928656 10
10460 83.2222 948340 10
10480 83.6606 967821 10
10500 84.087 989864 10
10520 84.5108 1013685 11
10540 84.9185 1022407 11
10560 85.3211 1034118 11
10580 85.6849 1048860 11
10600 86.0172 1066983 11
10620 86.3621 1087752 11
10640 86.7069 1107744 12
10660 87.0529 1130487 12
10680 87.3911 1143591 12
10700 87.713 1146790 12
10720 88.0328 1145411 12
10740 88.3641 1143059 12
10760 88.7133 1137844 12
10780 89.0748 1137109 12
10800 89.4524 1140301 12
10820 89.8301 1150038 12
10840 90.1837 1162638 12
10860 90.5414 1173012 12
10880 90.8942 1186690 12
10900 91.2456 1196028 12
10920 91.5965 1210693 13
10940 91.9474 1220136 13
10960 92.3148 1223902 13
10980 92.6737 1220157 13
11000 93.0175 1214473 13
11020 93.3747 1215068 13
11040 93.7425 1210427 13
11060 94.088 1203819 13
11080 94.4289 1206416 13
11100 94.7545 1213808 13
11120 95.0625 1218162 13
11140 95.375 1220143 13
11160 95.6807 1214550 13
11180 95.9713 1211365 13
11200 96.2647 1214158 13
11220 96.5588 1221382 13
11240 96.8627 1229838 13
11260 97.1746 1230391 13
11280 97.4981 1231042 13
11300 97.8219 1231189 13
11320 98.1576 1238903 13
11340 98.5086 1245378 13
11360 98.8596 1242319 13
11380 99.2109 1241227 13
11400 99.554 1246442 13
11420 99.8971 1253505 13
11440 100.239 1255682 13
11460 100.563 1252385 13
11480 100.876 1254002 13
11500 101.188 1254590 13
11520 101.506 1251482 13
11540 101.835 1252035 13
11560 102.178 1255353 13
11580 102.528 1255682 13
11600 102.878 1259924 13
11620 103.226 1257516 13
11640 103.563 1260897 13
11660 103.899 1264663 13
11680 104.208 1265181 13
11700 104.519 1267190 13
11720 104.838 1267022 13
11740 105.169 1266693 13
11760 105.508 1274323 13
11780 105.847 1278754 13
11800 106.193 1280868 13
11820 106.544 1284172 13
11840 106.895 1286594 13
11860 107.246 1283360 13
11880 107.596 1278971 13
11900 107.934 1272734 13
11920 108.264 1268996 13
11940 108.591 1260659 13
11960 108.918 1262234 13
11980 109.242 1267232 13
12000 109.565 1265664 13
12020 109.883 1265181 13
12040 110.184 1265755 13
12060 110.482 1274547 13
12080 110.778 1282618 13
12100 111.076 1288967 13
12120 111.384 1297668 13
12140 111.705 1299068 13
12160 112.016 1304920 14
12180 112.332 1311325 14
12200 112.642 1310289 14
12220 112.953 1312389 14
12240 113.279 1325717 14
12260 113.597 1336413 14
12280 113.907 1336938 14
12300 114.231 1336476 14
12320 114.558 1339059 14
12340 114.864 1342069 14
12360 115.147 1340564 14
12380 115.436 1339745 14
12400 115.718 1336077 14
12420 116 1335300 14
12440 116.299 1331709 14
12460 116.608 1329840 14
12480 116.922 1327740 14
12500 117.242 1317548 14
12520 117.549 1310079 14
12540 117.85 1308679 14
12560 118.161 1302596 14
12580 118.47 1293090 13
12600 118.766 1285642 13
12620 119.042 1280504 13
12640 119.324 1275856 13
12660 119.6 1272545 13
12680 119.867 1270018 13
12700 120.14 1274260 13
12720 120.434 1277214 13
12740 120.735 1277774 13
12760 121.03 1274134 13
12780 121.335 1263438 13
12800 121.641 1258902 13
12820 121.929 1265510 13
12840 122.197 1269927 13
12860 122.487 1268261 13
12880 122.789 1271495 13
12900 123.098 1267008 13
12920 123.418 1262290 13
12940 123.726 1259756 13
12960 124.015 1260624 13
12980 124.305 1258510 13
13000 124.594 1254226 13
13020 124.884 1253946 13
13040 125.194 1252938 13
13060 125.523 1246463 13
13080 125.852 1237419 13
13100 126.193 1235970 13
13120 126.544 1242669 13
13140 126.895 1248143 13
13160 127.25 1249186 13
13180 127.602 1241822 13
13200 127.937 1242333 13
13220 128.278 1234528 13
13240 128.63 1229194 13
13260 128.968 1221739 13
13280 129.313 1212282 13
13300 129.665 1207613 13
13320 130.018 1209174 13
13340 130.358 1211708 13
13360 130.696 1213766 13
13380 131.034 1219807 13
13400 131.37 1221606 13
13420 131.693 1222705 13
13440 132.017 1223545 13
13460 132.361 1223874 13
13480 132.71 1236054 13
13500 133.051 1246302 13
13520 133.394 1255591 13
13540 133.739 1253981 13
13560 134.069 1250859 13
13580 134.414 1249228 13
13600 134.754 1249802 13
13620 135.088 1251573 13
13640 135.443 1258328 13
13660 135.776 1264950 13
13680 136.1 1264985 13
13700 136.437 1263781 13
13720 136.768 1263158 13
13740 137.105 1262262 13
13760 137.456 1259924 13
13780 137.807 1251755 13
13800 138.159 1247793 13
13820 138.509 1248997 13
13840 138.86 1247912 13
13860 139.215 1247982 13
13880 139.575 1242879 13
13900 139.929 1249641 13
13920 140.258 1262738 13
13940 140.595 1267736 13
13960 140.933 1270851 13
13980 141.261 1273021 13
14000 141.575 1268331 13
14020 141.89 1266049 13
14040 142.226 1265699 13
14060 142.574 1257747 13
14080 142.9 1256907 13
14100 143.21 1252623 13
14120 143.539 1245931 13
14140 143.868 1245784 13
14160 144.2 1246603 13
14180 144.533 1239372 13
14200 144.867 1234423 13
14220 145.211 1221193 13
14240 145.576 1213409 13
14260 145.932 1209510 13
14280 146.266 1213955 13
