# t dissipation energy Reynolds eta
76.001 1.27667 14.5107 24.5537 1.47642
76.003 1.27222 14.5314 24.6317 1.47771
76.0077 1.27733 14.5917 24.6844 1.47623
76.0148 1.28522 14.6835 24.7634 1.47396
76.0242 1.29556 14.804 24.8667 1.47101
76.0357 1.30813 14.951 24.9927 1.46746
76.0489 1.32264 15.1201 25.1363 1.46342
76.0637 1.33899 15.3101 25.2963 1.45893
76.0802 1.35703 15.5197 25.4716 1.45406
76.0979 1.37645 15.7449 25.6583 1.4489
76.1171 1.39749 15.9888 25.8588 1.44342
76.1371 1.41953 16.2433 26.0658 1.43778
76.1582 1.44253 16.5095 26.2808 1.43202
76.1803 1.46685 16.789 26.5034 1.42605
76.2031 1.49177 17.0755 26.7295 1.42005
76.2265 1.51748 17.3697 26.9588 1.414
76.2507 1.54394 17.6724 27.1924 1.4079
76.2757 1.57125 17.9841 27.4305 1.40174
76.3015 1.59967 18.3063 27.6727 1.39547
76.3274 1.62801 18.6275 27.9122 1.38936
76.3543 1.65746 18.9606 28.1577 1.38315
76.3812 1.68704 19.293 28.3991 1.37704
76.4081 1.71662 19.6245 28.6371 1.37107
76.4363 1.74771 19.9707 28.882 1.36494
76.4645 1.77875 20.3161 29.124 1.35894
76.4927 1.80984 20.6604 29.3621 1.35307
76.5209 1.8411 21.0042 29.5961 1.34729
76.549 1.87238 21.3468 29.8267 1.34162
76.5772 1.90373 21.6889 30.054 1.33607
76.6054 1.93512 22.0299 30.278 1.33062
76.6336 1.9666 22.3702 30.4986 1.32526
76.6618 1.99814 22.7096 30.716 1.32
76.69 2.02962 23.048 30.931 1.31485
76.7182 2.06121 23.3857 31.1427 1.30978
76.7463 2.09297 23.7227 31.3509 1.30478
76.7745 2.12468 24.0587 31.5569 1.29989
76.8027 2.15668 24.3946 31.7591 1.29504
76.8309 2.1886 24.7291 31.959 1.29029
76.8591 2.22081 25.0636 32.1555 1.28559
76.8873 2.253 25.397 32.3497 1.28097
76.9154 2.28518 25.7297 32.5419 1.27644
76.9436 2.31779 26.0621 32.7296 1.27192
76.9718 2.35029 26.3938 32.9161 1.2675
77 2.38293 26.7248 33.0999 1.26314
77.0312 2.41923 27.0907 33.3005 1.25838
77.0625 2.45554 27.4558 33.4987 1.2537
77.0938 2.49201 27.8199 33.6937 1.24909
77.125 2.52876 28.1835 33.8852 1.24452
77.1562 2.56554 28.5463 34.0744 1.24004
77.1875 2.60256 28.9086 34.2606 1.2356
77.2188 2.63962 29.2698 34.4443 1.23124
77.2488 2.67543 29.6164 34.618 1.2271
77.2788 2.71158 29.963 34.789 1.22299
77.3089 2.74772 30.3087 34.9582 1.21895
77.3389 2.78412 30.654 35.1245 1.21495
77.369 2.82088 30.999 35.2876 1.21097
77.399 2.85743 31.3429 35.4503 1.20708
77.4291 2.89422 31.6864 35.6103 1.20323
77.4576 2.92966 32.0127 35.7587 1.19957
77.4862 2.96504 32.3382 35.9062 1.19597
77.5147 3.00085 32.6636 36.0503 1.19239
77.5433 3.03655 32.9881 36.1939 1.18887
77.5718 3.07253 33.3122 36.3349 1.18537
77.6004 3.10867 33.636 36.4741 1.18191
77.6289 3.14491 33.959 36.6116 1.17849
77.6575 3.18169 34.2824 36.746 1.17507
77.686 3.21842 34.6049 36.8795 1.17171
77.7145 3.25505 34.9266 37.0123 1.1684
77.7431 3.292 35.2481 37.1427 1.1651
77.7716 3.32902 35.5692 37.2721 1.16185
77.797 3.36221 35.8548 37.3855 1.15897
77.8224 3.39578 36.1406 37.4967 1.1561
77.8478 3.42922 36.4255 37.6076 1.15327
77.8731 3.46287 36.71 37.7168 1.15046
77.8985 3.49695 36.9945 37.8234 1.14764
77.9239 3.53091 37.2786 37.9301 1.14487
77.9493 3.56508 37.5622 38.0351 1.14212
77.9746 3.59947 37.8457 38.1387 1.13938
78 3.63413 38.129 38.2405 1.13666
78.027 3.67084 38.4297 38.3488 1.1338
78.0541 3.70783 38.7302 38.4555 1.13097
78.0811 3.74496 39.0303 38.5608 1.12815
78.1073 3.78154 39.3221 38.6608 1.12541
78.1336 3.8179 39.613 38.7609 1.12272
78.1598 3.85425 39.9034 38.8604 1.12007
78.1861 3.89088 40.1936 38.9583 1.11742
78.2115 3.92678 40.4745 39.0509 1.11486
78.237 3.96267 40.7552 39.1432 1.11233
78.2624 3.99885 41.0357 39.234 1.1098
78.2878 4.03529 41.3162 39.3233 1.10729
78.3133 4.07179 41.596 39.4118 1.1048
78.3387 4.10827 41.8755 39.5001 1.10234
78.3632 4.14415 42.1453 39.5822 1.09994
78.3877 4.1797 42.4138 39.6646 1.0976
78.4122 4.21558 42.6829 39.746 1.09525
78.4367 4.25144 42.9512 39.8268 1.09294
78.4612 4.28797 43.22 39.9049 1.0906
78.4857 4.3243 43.4879 39.9833 1.0883
78.5102 4.36133 43.7563 40.0589 1.08599
78.5346 4.39839 44.0242 40.134 1.08369
78.5591 4.43513 44.2915 40.2101 1.08144
78.5836 4.47229 44.5584 40.2839 1.07919
78.6081 4.50986 44.8253 40.3562 1.07693
78.6312 4.54553 45.0774 40.4236 1.07481
78.6542 4.58093 45.3284 40.4913 1.07273
78.6773 4.61692 45.5799 40.5569 1.07064
78.7003 4.65279 45.8309 40.6227 1.06857
78.7234 4.68893 46.0817 40.6874 1.0665
78.7464 4.72532 46.3327 40.7512 1.06444
78.7695 4.7619 46.5836 40.8142 1.06239
78.7925 4.79835 46.8336 40.8771 1.06037
78.8156 4.83508 47.0839 40.9391 1.05835
78.8386 4.87173 47.3335 41.001 1.05635
78.8617 4.90861 47.5828 41.0619 1.05436
78.8847 4.94587 47.8322 41.1213 1.05237
78.9078 4.98316 48.0811 41.1804 1.0504
78.9308 5.02065 48.3299 41.2386 1.04843
78.9539 5.05822 48.5784 41.2964 1.04648
78.9769 5.09595 48.8269 41.3538 1.04454
79 5.13376 49.075 41.4105 1.04261
