# t dissipation energy Reynolds eta
160.001 0.0192757 0.743587 10.2399 4.21189
160.003 0.0391015 0.747851 7.23081 3.52924
160.006 0.0255577 0.745682 8.91786 3.92508
160.009 0.0223194 0.745179 9.53647 4.06031
160.014 0.0208102 0.744907 9.87262 4.132
160.019 0.019969 0.744699 10.0756 4.17485
160.024 0.019471 0.744547 10.2015 4.20129
160.03 0.0191743 0.744434 10.2786 4.21745
160.037 0.0189978 0.744339 10.3249 4.22721
160.044 0.0188953 0.744264 10.3518 4.23293
160.051 0.0188416 0.744203 10.3658 4.23594
160.059 0.0188217 0.744154 10.3705 4.23706
160.067 0.0188247 0.744116 10.3692 4.23689
160.075 0.0188428 0.744085 10.3638 4.23587
160.084 0.0188722 0.744064 10.3554 4.23422
160.092 0.0189115 0.744052 10.3445 4.23202
160.101 0.0189611 0.744052 10.3309 4.22925
160.111 0.0190199 0.744067 10.3152 4.22598
160.12 0.0190892 0.744098 10.2968 4.22214
160.13 0.0191675 0.744147 10.2765 4.21782
160.14 0.0192565 0.744214 10.2536 4.21294
160.149 0.0193554 0.744299 10.2286 4.20755
160.159 0.0194639 0.744402 10.2014 4.20167
160.17 0.0195806 0.744519 10.1726 4.1954
160.18 0.0197053 0.744652 10.1421 4.18874
160.19 0.0198363 0.744796 10.1106 4.18181
160.2 0.0199763 0.744959 10.0773 4.17447
160.211 0.0201247 0.74514 10.0425 4.16675
160.222 0.0202788 0.745333 10.0068 4.15881
160.232 0.0204422 0.745544 9.9696 4.15048
160.243 0.0206095 0.745767 9.93202 4.14202
160.254 0.0207864 0.74601 9.89289 4.13319
160.264 0.0209715 0.746268 9.85254 4.12404
160.275 0.0211782 0.746568 9.8083 4.11394
160.286 0.0213857 0.746869 9.7645 4.10392
160.297 0.0215927 0.747181 9.72166 4.09405
160.308 0.021807 0.747509 9.67802 4.08395
160.319 0.0220259 0.747853 9.63423 4.07377
160.33 0.0222496 0.748211 9.59026 4.06349
160.341 0.0224777 0.74858 9.54619 4.05314
160.352 0.0227117 0.748966 9.50178 4.04266
160.363 0.0229548 0.749368 9.45642 4.03191
160.374 0.0232004 0.749784 9.41146 4.0212
160.385 0.0234439 0.750208 9.36773 4.01072
160.396 0.0236936 0.750646 9.32368 4.00011
160.407 0.023946 0.751092 9.27994 3.98953
160.418 0.0242099 0.751566 9.23504 3.97861
160.429 0.0244765 0.752047 9.19047 3.96773
160.44 0.0247394 0.75254 9.14751 3.95715
160.451 0.0250091 0.753048 9.1042 3.94644
160.463 0.0252851 0.753567 9.06061 3.93562
160.474 0.0255644 0.754096 9.01732 3.92483
160.485 0.0258467 0.754636 8.97436 3.91407
160.496 0.026133 0.755188 8.93159 3.9033
160.507 0.0264239 0.755758 8.88898 3.89252
160.519 0.0267004 0.756307 8.84927 3.8824
160.53 0.0269942 0.756889 8.80775 3.87179
160.541 0.0272941 0.757476 8.76602 3.86111
160.552 0.027596 0.758073 8.72481 3.85051
160.563 0.0278944 0.758675 8.68491 3.84017
160.575 0.0281906 0.759282 8.64607 3.83004
160.586 0.0284901 0.7599 8.60752 3.81994
160.597 0.028793 0.760525 8.56916 3.80985
160.608 0.0290916 0.761154 8.53212 3.80004
160.619 0.0293944 0.761795 8.49521 3.79021
160.631 0.0297071 0.762457 8.45771 3.7802
160.642 0.0300228 0.763132 8.42057 3.77022
160.653 0.0303401 0.763817 8.38395 3.76032
160.664 0.0306611 0.764514 8.34757 3.75044
160.675 0.0309779 0.765207 8.31229 3.74082
160.687 0.0312971 0.765906 8.27735 3.73124
160.698 0.03162 0.766608 8.24252 3.72168
160.709 0.0319413 0.767319 8.20857 3.71229
160.72 0.0322606 0.76803 8.17542 3.70307
160.731 0.0325871 0.768753 8.14201 3.69375
160.743 0.0329125 0.769475 8.10928 3.68459
160.754 0.0332243 0.7702 8.07874 3.67592
160.765 0.0335322 0.770927 8.04915 3.66745
160.776 0.0338392 0.771656 8.02014 3.6591
160.787 0.0341405 0.772374 7.99209 3.651
160.798 0.0344493 0.773108 7.96376 3.64279
160.81 0.0347561 0.77384 7.93604 3.63473
160.821 0.0350652 0.774575 7.90849 3.62669
160.832 0.0353408 0.775234 7.88428 3.6196
160.843 0.0356638 0.776033 7.85659 3.61138
160.854 0.0359827 0.776782 7.82925 3.60335
160.866 0.0362917 0.777539 7.80345 3.59565
160.877 0.0365911 0.778288 7.77895 3.58827
