# t dissipation energy Reynolds eta
76.001 1.27667 14.5107 24.5537 1.47642
76.003 1.26978 14.5034 24.6079 1.47842
76.0077 1.26911 14.4972 24.6039 1.47861
76.0148 1.26818 14.4877 24.5967 1.47889
76.0242 1.26693 14.475 24.5873 1.47925
76.0357 1.26533 14.4593 24.5761 1.47972
76.0489 1.26354 14.4414 24.5631 1.48024
76.0637 1.26157 14.4213 24.5481 1.48082
76.0802 1.25937 14.3991 24.5317 1.48146
76.0979 1.25698 14.3751 24.514 1.48217
76.1171 1.25441 14.3492 24.4949 1.48293
76.1371 1.25173 14.3221 24.4749 1.48372
76.1582 1.24887 14.2938 24.4544 1.48457
76.1803 1.24589 14.2639 24.4325 1.48546
76.2031 1.24282 14.2333 24.41 1.48637
76.2265 1.2397 14.2019 24.3868 1.4873
76.2507 1.23643 14.1695 24.3633 1.48829
76.2757 1.23307 14.1361 24.339 1.4893
76.3015 1.22962 14.1016 24.3137 1.49035
76.3274 1.22614 14.0672 24.2888 1.4914
76.3543 1.2225 14.0315 24.2631 1.49251
76.3812 1.21885 13.9958 24.2377 1.49363
76.4081 1.21528 13.9604 24.2119 1.49472
76.4363 1.21153 13.9234 24.185 1.49588
76.4645 1.20775 13.8864 24.1585 1.49705
76.4927 1.20402 13.8496 24.1317 1.49821
76.5209 1.20031 13.813 24.1051 1.49936
76.549 1.19658 13.7764 24.0787 1.50053
76.5772 1.19293 13.7401 24.052 1.50167
76.6054 1.18921 13.7038 24.0259 1.50285
76.6336 1.18555 13.6677 23.9995 1.50401
76.6618 1.18194 13.6317 23.9729 1.50515
76.69 1.17829 13.5958 23.9467 1.50632
76.7182 1.17459 13.5599 23.9211 1.5075
76.7463 1.17095 13.5242 23.8952 1.50867
76.7745 1.16723 13.4883 23.8698 1.50987
76.8027 1.16357 13.4528 23.8443 1.51106
76.8309 1.15997 13.4175 23.8185 1.51223
76.8591 1.15633 13.3822 23.7933 1.51342
76.8873 1.15266 13.3469 23.7683 1.51462
76.9154 1.14904 13.3119 23.7433 1.51581
