# i t cells coeurs_suggere(~100k/coeur)
12880 160.092 144859 2
12900 160.297 144327 2
12920 160.519 144334 2
12940 160.743 144446 2
12960 160.966 144278 2
12980 161.191 144747 2
13000 161.416 143585 2
13020 161.64 142283 2
13040 161.865 141968 2
13060 162.09 141478 2
13080 162.315 139378 2
13100 162.539 139427 2
13120 162.764 139343 2
13140 162.989 138412 2
13160 163.213 138412 2
13180 163.438 137838 2
13200 163.663 138223 2
13220 163.888 138104 2
13240 164.112 138517 2
13260 164.337 139777 2
13280 164.562 139007 2
13300 164.787 139357 2
13320 165.011 139805 2
13340 165.236 138769 2
13360 165.461 139427 2
13380 165.685 139784 2
13400 165.91 139721 2
13420 166.135 139826 2
13440 166.36 140267 2
13460 166.584 140050 2
13480 166.809 140253 2
13500 167.034 140533 2
13520 167.258 140750 2
13540 167.483 140855 2
13560 167.708 140463 2
13580 167.933 139889 2
13600 168.157 139203 2
13620 168.382 139224 2
13640 168.607 138972 2
13660 168.831 138895 2
13680 169.056 139441 2
13700 169.281 139784 2
13720 169.506 139637 2
13740 169.73 140337 2
13760 169.955 140918 2
13780 170.18 141240 2
13800 170.404 140799 2
13820 170.629 141240 2
13840 170.854 142073 2
13860 171.079 142367 2
13880 171.303 143130 2
13900 171.528 143900 2
13920 171.753 144593 2
13940 171.978 145517 2
13960 172.202 146399 2
13980 172.427 147757 2
14000 172.652 148870 2
14020 172.876 151390 2
14040 173.101 152825 2
14060 173.326 154778 2
14080 173.551 156150 2
14100 173.775 158236 2
14120 174 159629 2
14140 174.225 160245 2
14160 174.449 161813 2
14180 174.674 162954 2
14200 174.899 163577 2
14220 175.124 164123 2
14240 175.348 165824 2
14260 175.573 165936 2
14280 175.798 166482 2
14300 176.022 166538 2
14320 176.247 166307 2
14340 176.472 166188 2
14360 176.697 166713 2
14380 176.921 167035 2
14400 177.146 166916 2
14420 177.371 168015 2
14440 177.596 168526 2
14460 177.82 168561 2
14480 178.045 168085 2
14500 178.27 168407 2
14520 178.494 168897 2
14540 178.719 169149 2
14560 178.944 168701 2
14580 179.169 167504 2
14600 179.393 167497 2
14620 179.618 167609 2
14640 179.843 167217 2
14660 180.067 167364 2
14680 180.292 167343 2
14700 180.517 166650 2
14720 180.742 166433 2
14740 180.966 166790 2
14760 181.191 166944 2
14780 181.416 166888 2
14800 181.64 167735 2
14820 181.865 167224 2
14840 182.09 167518 2
14860 182.315 167805 2
14880 182.539 168330 2
14900 182.764 167560 2
14920 182.989 168253 2
14940 183.213 169387 2
14960 183.438 169240 2
14980 183.663 169863 2
15000 183.888 170829 2
15020 184.112 170472 2
15040 184.337 171676 2
15060 184.562 171445 2
15080 184.787 170955 2
15100 185.011 170395 2
15120 185.236 170444 2
15140 185.461 170150 2
15160 185.685 170290 2
15180 185.91 171018 2
15200 186.135 170780 2
15220 186.36 171655 2
15240 186.584 171585 2
15260 186.809 171620 2
15280 187.034 171767 2
15300 187.258 171676 2
15320 187.483 172425 2
15340 187.708 172565 2
15360 187.933 172943 2
15380 188.157 173125 2
15400 188.382 173055 2
15420 188.607 173223 2
15440 188.831 173797 2
15460 189.056 173510 2
15480 189.281 173776 2
15500 189.506 173237 2
15520 189.73 172768 2
15540 189.955 172957 2
15560 190.18 173300 2
15580 190.404 172936 2
15600 190.629 172306 2
15620 190.854 171956 2
15640 191.079 171095 2
15660 191.303 170472 2
15680 191.528 169065 2
15700 191.753 168582 2
15720 191.978 167658 2
15740 192.202 167252 2
15760 192.427 166741 2
15780 192.652 166034 2
15800 192.876 165873 2
15820 193.101 165572 2
15840 193.326 165768 2
15860 193.551 165642 2
15880 193.775 164123 2
15900 194 163577 2
15920 194.225 162366 2
15940 194.449 161302 2
15960 194.674 159489 2
15980 194.899 157795 2
16000 195.124 156843 2
16020 195.348 155709 2
16040 195.573 154211 2
16060 195.798 153063 2
16080 196.022 151740 2
16100 196.247 150522 2
16120 196.472 148800 2
16140 196.697 147715 2
16160 196.921 146308 2
16180 197.146 144523 2
16200 197.371 143459 2
16220 197.596 142766 2
16240 197.82 142675 2
16260 198.045 141548 2
16280 198.27 141660 2
16300 198.494 141807 2
16320 198.719 141814 2
16340 198.944 141961 2
16360 199.169 141569 2
16380 199.393 142423 2
16400 199.618 142360 2
16420 199.843 142899 2
16440 200.067 143543 2
16460 200.292 144565 2
16480 200.517 146322 2
16500 200.742 147183 2
16520 200.966 148891 2
16540 201.191 150298 2
16560 201.416 151145 2
16580 201.64 152174 2
16600 201.865 153693 2
16620 202.09 154260 2
16640 202.315 156129 2
16660 202.539 156689 2
16680 202.764 156689 2
16700 202.989 157263 2
16720 203.213 157921 2
16740 203.438 158313 2
16760 203.663 158691 2
16780 203.888 159076 2
16800 204.112 158817 2
16820 204.337 159195 2
16840 204.562 158257 2
16860 204.787 158733 2
16880 205.011 158152 2
16900 205.236 158089 2
16920 205.461 157445 2
16940 205.685 156409 2
16960 205.91 156689 2
16980 206.135 156906 2
17000 206.36 157662 2
17020 206.584 157669 2
17040 206.809 156794 2
17060 207.034 156507 2
17080 207.258 155506 2
17100 207.483 154827 2
17120 207.708 154295 2
17140 207.933 154372 2
17160 208.157 154302 2
17180 208.382 155380 2
17200 208.607 155863 2
17220 208.831 155702 2
