# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.001 2122.62 90 90 60 0.0101425 -0.0756052 -0.00275822 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.019 2122.16 90.002 89.9785 60.0016 0.107224 -1.31767 0.155649 14.0625 14.0625 14.0625 15.9439 1 1 2006.7 0
160.051 2122.71 90.0059 89.9361 60.0102 0.118748 -1.30345 0.405757 14.0625 15 14.0625 15.9452 1.06667 1 2016.21 0
160.092 2122.24 90.0105 89.8813 60.0318 0.105471 -1.32503 0.676071 14.0625 15 14.0625 15.9441 1.06667 1 2017.69 0
160.14 2122.47 90.0152 89.8184 60.0699 0.0889049 -1.35467 0.965828 14.0625 15 15 15.9446 1.06667 1 2022.17 0
160.19 2122.49 90.0198 89.7502 60.1258 0.0829467 -1.35773 1.26704 14.0625 15 15 15.9447 1.06667 1 2026.61 0
160.243 2122.51 90.0238 89.6781 60.1995 0.0682912 -1.37813 1.54412 14.0625 15 15 15.9447 1.06667 1 2029.2 0
160.297 2122.55 90.0274 89.6034 60.2896 0.0576077 -1.39086 1.80602 14.0625 15 15 15.9448 1.06667 1 2030.84 0
160.352 2122.58 90.0302 89.5263 60.3955 0.0422823 -1.40681 2.05123 14.0625 15 15 15.9449 1.06667 1 2026.13 0
160.407 2122.64 90.0324 89.4482 60.5142 0.0303018 -1.42767 2.27495 14.0625 15 15 15.9451 1.06667 1 2028.99 0
160.463 2122.72 90.034 89.3675 60.6472 0.0228904 -1.44541 2.46923 14.0625 15 15 15.9453 1.06667 1 2029.17 0
160.519 2122.85 90.0353 89.2857 60.7913 0.0187449 -1.46468 2.63798 14.0625 15 15 15.9456 1.06667 1 2025.96 0
160.575 2122.9 90.0363 89.2027 60.945 0.0138852 -1.48576 2.7877 15 15 14.0625 15.9457 1.06667 1 2021.42 0
160.631 2123.01 90.0371 89.1187 61.1072 0.0178884 -1.50427 2.92873 15 15.9375 15 15.946 1.0625 1 2018.38 0
160.687 2123.1 90.0381 89.0336 61.2766 0.0187297 -1.52304 3.04805 15.9375 15.9375 15 15.9462 1.0625 1 2031.96 0
160.743 2123.18 90.0391 88.9476 61.452 0.0215711 -1.53544 3.14385 15.9375 15.9375 15 15.9464 1.0625 1 2023.45 0
160.798 2123.26 90.0402 88.8607 61.6325 0.02348 -1.55561 3.21761 15.9375 15 15 15.9466 1.0625 1 2024.97 0
160.854 2123.32 90.0414 88.7727 61.8169 0.0224664 -1.57601 3.2842 15.9375 15 14.0625 15.9468 1.13333 1 2029.81 0
160.91 2123.38 90.0426 88.6836 62.0045 0.0228371 -1.59522 3.33258 15.9375 15 14.0625 15.9469 1.13333 1 2031.32 0
160.966 2123.48 90.0438 88.5934 62.1946 0.0219574 -1.62325 3.36434 15.9375 15 14.0625 15.9472 1.13333 1 2028.88 0
161.022 2123.54 90.0449 88.5012 62.3864 0.0145572 -1.65873 3.37265 15.9375 15 15 15.9473 1.0625 1 2026.89 0
161.079 2123.6 90.0454 88.407 62.5789 0.00361839 -1.69108 3.37719 15.9375 15 14.0625 15.9474 1.13333 1 2028.38 0
161.135 2123.67 90.0453 88.3108 62.7712 -0.00723285 -1.7233 3.38013 15.9375 15 14.0625 15.9476 1.13333 1 2028.16 0
161.191 2123.7 90.0448 88.2128 62.9629 -0.0134122 -1.74854 3.37333 15.9375 15.9375 14.0625 15.9477 1.13333 1 2028.34 0
161.247 2123.73 90.0438 88.1133 63.155 -0.0219332 -1.78006 3.3663 15.9375 15.9375 14.0625 15.9478 1.13333 1 2028.3 0
161.303 2123.81 90.0423 88.0122 63.3467 -0.0281301 -1.81001 3.34547 15.9375 15.9375 13.125 15.948 1.21429 1 2032.32 0
161.36 2123.81 90.0404 87.9095 63.5369 -0.0386689 -1.84322 3.32411 15.9375 15.9375 14.0625 15.948 1.13333 1 2029.23 0
161.416 2123.88 90.0379 87.805 63.7253 -0.0485678 -1.86724 3.29149 15.9375 15.9375 14.0625 15.9481 1.13333 1 2028.34 0
161.472 2123.96 90.0349 87.6989 63.912 -0.0600373 -1.89262 3.26151 15.9375 15 14.0625 15.9484 1.13333 1 2020.53 0
161.528 2124.04 90.0313 87.5913 64.0968 -0.0701522 -1.91423 3.22578 15.9375 15.9375 13.125 15.9486 1.21429 1 2029.71 0
161.584 2124.12 90.0271 87.4824 64.2799 -0.078922 -1.94108 3.18054 15.9375 15.9375 13.125 15.9487 1.21429 1 2030.67 0
161.64 2124.15 90.0225 87.3721 64.4604 -0.0858477 -1.96993 3.13777 15.9375 15.9375 13.125 15.9488 1.21429 1 2031.57 0
161.697 2124.15 90.0176 87.2603 64.6381 -0.0869626 -2.00222 3.08689 15.9375 15.9375 14.0625 15.9488 1.13333 1 2031.06 0
161.753 2124.15 90.0127 87.1468 64.813 -0.0862867 -2.02434 3.03489 15.9375 15.9375 14.0625 15.9488 1.13333 1 2029.59 0
161.809 2124.23 90.0078 87.0323 64.9852 -0.0857689 -2.03285 2.99251 15.9375 15.9375 13.125 15.949 1.21429 1 2034.79 0
161.865 2124.26 90.0031 86.9172 65.1544 -0.0827152 -2.04353 2.94451 15.9375 15.9375 13.125 15.9491 1.21429 1 2029.77 0
161.921 2124.28 89.9986 86.8017 65.3211 -0.0762527 -2.04391 2.89808 15.9375 15.9375 13.125 15.9492 1.21429 1 2028.23 0
