# t frame_uz frame_z ub_dans_repere
160.001 -2.84353e-06 -2.92845e-09 -0.00276106
160.019 0.00208028 1.94199e-05 0.156421
160.051 0.0120071 0.000257929 0.408764
160.092 0.0359695 0.00131582 0.682081
160.14 0.0762652 0.00409685 0.975364
160.19 0.135078 0.00967325 1.28016
160.243 0.211616 0.0191591 1.56077
160.297 0.304529 0.0335197 1.82577
160.352 0.413133 0.0537709 2.07402
160.407 0.534599 0.0804177 2.30022
160.463 0.670111 0.114845 2.49718
160.519 0.815666 0.157201 2.66785
160.575 0.970322 0.208015 2.81926
160.631 1.13297 0.267757 2.96189
160.687 1.30299 0.336857 3.08256
160.743 1.47887 0.415675 3.17945
160.798 1.65932 0.504497 3.25404
160.854 1.84382 0.603559 3.32139
160.91 2.03145 0.713058 3.37031
160.966 2.22125 0.833136 3.40244
161.022 2.41232 0.964079 3.41098
161.079 2.6041 1.10607 3.41557
161.135 2.79606 1.25883 3.41854
161.191 2.98787 1.42238 3.41166
161.247 3.17935 1.5967 3.40456
161.303 3.36993 1.78174 3.38348
161.36 3.55932 1.97745 3.36189
161.416 3.74708 2.18375 3.32889
161.472 3.93307 2.40054 3.29858
161.528 4.11711 2.62771 3.26244
161.584 4.29894 2.86515 3.21668
161.64 4.4782 3.11272 3.17343
161.697 4.6548 3.37027 3.12197
161.753 4.82847 3.63764 3.06938
161.809 4.99942 3.91468 3.02651
161.865 5.16797 4.20124 2.97797
161.921 5.33363 4.49717 2.93101
161.978 5.49704 4.80233 2.89024
162.034 5.65759 5.11658 2.83463
162.09 5.81475 5.43974 2.77105
162.146 5.96819 5.77159 2.70737
162.202 6.1185 6.11197 2.64775
162.258 6.26538 6.46067 2.58642
162.315 6.40863 6.8175 2.52718
162.371 6.54866 7.18227 2.46959
162.427 6.6853 7.5548 2.40491
162.483 6.81821 7.93487 2.34002
162.539 6.94756 8.3223 2.27766
162.596 7.07352 8.71687 2.2184
162.652 7.19651 9.11841 2.16951
162.708 7.31681 9.52678 2.12356
162.764 7.43478 9.94182 2.08531
162.82 7.55026 10.3634 2.03609
162.876 7.66316 10.7914 1.99202
162.933 7.77331 11.2256 1.93835
162.989 7.88054 11.666 1.89197
163.045 7.98505 12.1122 1.84542
163.101 8.08742 12.5643 1.80453
163.157 8.18797 13.022 1.77694
163.213 8.28637 13.4854 1.73369
163.27 8.38249 13.9541 1.69574
163.326 8.47648 14.4282 1.6597
163.382 8.56847 14.9076 1.6228
163.438 8.65816 15.392 1.57593
163.494 8.74528 15.8813 1.53369
163.551 8.82966 16.3755 1.48349
163.607 8.91144 16.8743 1.43537
163.663 8.99059 17.3776 1.39261
163.719 9.06745 17.8853 1.34973
163.775 9.14196 18.3973 1.30826
163.831 9.21423 18.9133 1.27146
163.888 9.28457 19.4333 1.23804
163.944 9.35262 19.9572 1.19261
164 9.41821 20.4849 1.14944
164.056 9.48138 21.0161 1.1074
164.112 9.54176 21.5509 1.05322
164.169 9.59926 22.0889 1.00459
164.225 9.65411 22.63 0.959151
164.281 9.70637 23.1741 0.910828
164.337 9.75615 23.7211 0.870079
164.393 9.80359 24.2708 0.828535
164.449 9.84876 24.8231 0.786799
164.506 9.89174 25.3779 0.751236
164.562 9.9326 25.935 0.711689
164.618 9.97142 26.4943 0.675154
164.674 10.0085 27.0558 0.648854
164.73 10.0436 27.6192 0.612095
164.787 10.0768 28.1846 0.574129
164.843 10.1081 28.7518 0.543248
164.899 10.1373 29.3207 0.507059
164.955 10.1647 29.8911 0.471474
165.011 10.1901 30.463 0.441853
165.067 10.2138 31.0363 0.41099
165.124 10.2359 31.6109 0.376903
165.18 10.2561 32.1866 0.349661
165.236 10.2743 32.7634 0.312466
165.292 10.2909 33.3412 0.28046
165.348 10.3058 33.9198 0.255141
165.404 10.319 34.4993 0.222165
165.461 10.3306 35.0794 0.193074
165.517 10.3408 35.6601 0.170807
165.573 10.3493 36.2413 0.13932
165.629 10.3563 36.823 0.112989
165.685 10.3618 37.405 0.0902497
165.742 10.3662 37.9873 0.0712448
165.798 10.3696 38.5698 0.0525574
165.854 10.372 39.1524 0.0360229
165.91 10.3732 39.7352 0.0125848
165.966 10.3733 40.318 -0.00543382
166.022 10.3727 40.9007 -0.0162265
166.079 10.3713 41.4834 -0.029699
166.135 10.3692 42.066 -0.041839
166.191 10.3665 42.6484 -0.0518308
166.247 10.3631 43.2307 -0.0629802
166.303 10.3593 43.8128 -0.0733728
166.36 10.3554 44.3946 -0.0690306
166.416 10.3512 44.9763 -0.0721792
166.472 10.3472 45.5577 -0.07701
166.528 10.3431 46.1388 -0.0722038
166.584 10.3388 46.7197 -0.0781891
166.64 10.3342 47.3004 -0.0839478
166.697 10.3297 47.8808 -0.0785996
166.753 10.325 48.461 -0.0840811
166.809 10.3202 49.0409 -0.0894893
166.865 10.3153 49.6205 -0.0853199
166.921 10.3102 50.1999 -0.0917078
166.978 10.3051 50.7789 -0.094303
167.034 10.3 51.3577 -0.0872877
167.09 10.295 51.9362 -0.0856083
167.146 10.2904 52.5144 -0.0827923
167.202 10.286 53.0923 -0.0750959
167.258 10.2817 53.6701 -0.074695
167.315 10.2776 54.2475 -0.0727165
167.371 10.2739 54.8248 -0.0618329
167.427 10.2705 55.4019 -0.0582122
167.483 10.2674 55.9788 -0.0550482
167.539 10.2645 56.5555 -0.0487497
167.596 10.2617 57.1321 -0.0501702
167.652 10.2588 57.7085 -0.0514017
167.708 10.256 58.2847 -0.0489547
167.764 10.2532 58.8608 -0.0486813
167.82 10.2506 59.4367 -0.0457449
167.876 10.2483 60.0125 -0.0403202
167.933 10.2462 60.5882 -0.0357347
167.989 10.2443 61.1638 -0.0332878
168.045 10.2429 61.7392 -0.0205459
168.101 10.2419 62.3146 -0.0162006
168.157 10.2413 62.89 -0.00915062
168.213 10.2411 63.4653 -0.00165176
168.27 10.2409 64.0407 -0.00139156
168.326 10.2409 64.616 -0.00121531
168.382 10.241 65.1913 0.00110326
168.438 10.241 65.7667 0.000749222
168.494 10.2409 66.342 -0.00403857
168.551 10.2406 66.9173 -0.00503511
168.607 10.2403 67.4926 -0.0042241
168.663 10.2402 68.0679 -0.000213986
168.719 10.2406 68.6432 0.0112831
168.775 10.2413 69.2186 0.0147651
168.831 10.2424 69.794 0.0215546
168.888 10.244 70.3694 0.0340138
168.944 10.2461 70.945 0.0403617
169 10.2485 71.5207 0.0422661
169.056 10.2511 72.0966 0.0454418
169.112 10.2538 72.6726 0.0522191
169.169 10.2571 73.2487 0.0612337
169.225 10.261 73.8251 0.0770613
169.281 10.2657 74.4017 0.088808
169.337 10.2713 74.9786 0.103601
169.393 10.2777 75.5559 0.119342
169.449 10.2846 76.1335 0.128964
169.506 10.2924 76.7115 0.143047
169.562 10.3011 77.2901 0.164513
169.618 10.3111 77.8691 0.188254
169.674 10.3225 78.4488 0.211531
169.73 10.3353 79.0291 0.240789
169.787 10.3493 79.6102 0.255821
169.843 10.3642 80.1921 0.272779
169.899 10.3804 80.7749 0.297816
169.955 10.3978 81.3587 0.318278
170.011 10.4163 81.9434 0.338425
170.067 10.4362 82.5293 0.363419
170.124 10.4571 83.1163 0.379368
170.18 10.4791 83.7045 0.398531
170.236 10.5023 84.294 0.423838
170.292 10.5268 84.8848 0.442482
170.348 10.5523 85.4771 0.461063
170.404 10.5786 86.0708 0.47166
170.461 10.6054 86.666 0.481315
170.517 10.6328 87.2627 0.492261
170.573 10.6607 87.861 0.499574
170.629 10.6888 88.4609 0.498921
170.685 10.717 89.0623 0.503926
170.742 10.7454 89.6654 0.50493
170.798 10.7737 90.27 0.501729
170.854 10.8017 90.8762 0.494086
170.91 10.8292 91.484 0.486646
170.966 10.8562 92.0933 0.475619
171.022 10.8824 92.704 0.46035
171.079 10.9077 93.3163 0.44219
171.135 10.9318 93.9299 0.421979
171.191 10.9549 94.5448 0.403761
171.247 10.9769 95.161 0.383527
171.303 10.9976 95.7784 0.358192
171.36 11.0169 96.3969 0.333987
171.416 11.0349 97.0164 0.311012
171.472 11.0514 97.6369 0.2828
171.528 11.0664 98.2583 0.256215
171.584 11.08 98.8805 0.231826
171.64 11.0921 99.5034 0.204321
171.697 11.1026 100.127 0.171961
171.753 11.1115 100.751 0.149202
171.809 11.1189 101.375 0.1232
171.865 11.1251 102 0.0975157
171.921 11.1297 102.625 0.0742508
171.978 11.1331 103.251 0.0517207
172.034 11.1354 103.876 0.0317628
172.09 11.1367 104.502 0.0176259
172.146 11.1372 105.128 0.00748077
172.202 11.1375 105.753 0.000470691
172.258 11.1375 106.379 0.000673352
172.315 11.1374 107.005 -0.00345754
172.371 11.1371 107.63 -0.00782617
172.427 11.1367 108.256 -0.00546606
172.483 11.1365 108.882 7.62103e-05
172.539 11.1369 109.507 0.00725918
172.596 11.1375 110.133 0.0124266
172.652 11.1381 110.759 0.0133435
172.708 11.139 111.385 0.0161135
172.764 11.14 112.01 0.0184133
172.82 11.1409 112.636 0.0174832
172.876 11.1423 113.262 0.0275521
172.933 11.1441 113.888 0.0349814
172.989 11.1461 114.514 0.0349205
173.045 11.148 115.141 0.0340224
173.101 11.1499 115.767 0.035687
173.157 11.152 116.394 0.0383535
173.213 11.1546 117.02 0.0496137
173.27 11.1577 117.647 0.0578586
173.326 11.1609 118.274 0.0583999
173.382 11.1643 118.901 0.0590756
173.438 11.1675 119.528 0.0588827
173.494 11.171 120.156 0.0651191
173.551 11.1751 120.783 0.075048
173.607 11.1796 121.411 0.0837734
173.663 11.1844 122.04 0.0907382
173.719 11.1897 122.668 0.0978433
173.775 11.1957 123.297 0.11135
173.831 11.2021 123.926 0.115943
173.888 11.2089 124.556 0.121772
173.944 11.2162 125.186 0.138329
174 11.2245 125.816 0.155077
174.056 11.2339 126.447 0.175145
174.112 11.2445 127.078 0.198817
174.169 11.2563 127.711 0.215537
174.225 11.2688 128.343 0.226511
174.281 11.2819 128.977 0.237065
174.337 11.2956 129.611 0.252554
174.393 11.3104 130.246 0.268968
174.449 11.3263 130.882 0.291548
