# i t cells coeurs_suggere(~100k/coeur)
10180 76.2265 721428 8
10200 76.7745 703347 8
10220 77.375 688619 7
10240 78 673030 7
10260 78.625 663034 7
10280 79.25 647725 7
10300 79.875 631947 7
10320 80.5 619165 7
10340 81.125 611682 7
10360 81.75 599243 6
10380 82.375 588421 6
10400 83 579412 6
10420 83.625 572104 6
10440 84.25 566056 6
10460 84.875 559826 6
10480 85.5 552469 6
10500 86.125 543621 6
10520 86.75 535816 6
10540 87.375 530223 6
10560 88 522523 6
10580 88.625 517651 6
10600 89.25 511050 6
10620 89.875 505170 6
10640 90.5 499570 5
10660 91.125 493067 5
10680 91.75 486081 5
10700 92.375 477933 5
10720 93 468336 5
10740 93.625 458914 5
10760 94.25 452502 5
10780 94.875 447126 5
10800 95.5 441757 5
10820 96.125 434246 5
10840 96.75 427239 5
10860 97.375 421982 5
10880 98 418510 5
10900 98.625 415885 5
10920 99.25 414779 5
10940 99.875 413820 5
10960 100.5 412819 5
10980 101.125 410593 5
11000 101.75 408052 5
11020 102.375 405560 5
11040 103 403019 5
11060 103.625 400170 5
11080 104.25 396873 4
11100 104.875 392925 4
11120 105.5 388445 4
11140 106.125 382033 4
11160 106.75 375089 4
11180 107.375 368495 4
11200 108 360760 4
11220 108.625 353305 4
11240 109.25 345017 4
11260 109.875 338262 4
11280 110.5 329799 4
11300 111.125 323240 4
11320 111.75 316597 4
11340 112.375 310360 4
11360 113 304781 4
11380 113.625 300616 4
11400 114.25 296570 3
11420 114.875 292419 3
11440 115.5 287638 3
11460 116.125 284138 3
11480 116.75 281002 3
11500 117.375 277747 3
11520 118 274569 3
11540 118.625 272329 3
11560 119.25 270810 3
11580 119.875 269893 3
11600 120.5 268752 3
11620 121.125 265931 3
11640 121.75 263985 3
11660 122.375 262277 3
11680 123 261752 3
11700 123.625 260205 3
11720 124.25 259456 3
11740 124.875 259806 3
11760 125.5 259701 3
11780 126.125 258518 3
11800 126.75 258826 3
11820 127.375 258903 3
11840 128 258798 3
11860 128.625 258308 3
11880 129.25 257538 3
11900 129.875 256950 3
11920 130.5 255613 3
11940 131.125 254605 3
11960 131.75 252526 3
11980 132.375 250090 3
12000 133 247864 3
12020 133.625 247311 3
12040 134.25 245204 3
12060 134.875 242824 3
12080 135.5 240395 3
12100 136.125 238064 3
12120 136.75 236314 3
12140 137.375 234102 3
12160 138 233171 3
12180 138.625 231862 3
12200 139.25 231407 3
12220 139.875 229839 3
12240 140.5 228033 3
12260 141.125 227242 3
12280 141.75 224659 3
12300 142.375 222419 3
12320 143 220858 3
12340 143.625 220074 3
12360 144.25 218534 3
12380 144.875 216518 3
12400 145.5 214572 3
12420 146.125 212696 3
12440 146.75 211401 3
12460 147.375 208979 3
12480 148 206445 3
12500 148.625 203953 3
12520 149.25 201412 3
12540 149.875 198990 2
12560 150.5 197674 2
12580 151.125 196078 2
12600 151.75 195294 2
12620 152.375 193705 2
12640 153 192851 2
12660 153.625 191941 2
12680 154.25 190870 2
12700 154.875 189393 2
12720 155.5 189204 2
12740 156.125 188427 2
12760 156.75 188161 2
12780 157.375 187818 2
12800 158 189176 2
12820 158.625 189064 2
12840 159.25 189393 2
12860 159.875 190331 2
