# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 90 30 60 0.04472 -0.0304413 0.00747666 14.0625 14.0625 14.0625 15.65 1
160.019 2009.86 90.023 29.9841 60.0032 1.99996 -1.38308 0.541604 15 14.0625 14.0625 15.6575 1.06667
160.051 2015.75 90.0827 29.9441 60.0239 2.00859 -1.34874 0.791588 15 15 14.0625 15.6728 1.06667
160.092 2023.59 90.1822 29.881 60.0595 2.01121 -1.37073 1.06308 15 15 15 15.6931 1
160.14 2026.08 90.2725 29.8143 60.119 2.00346 -1.3766 1.35013 15 15 15 15.6995 1
160.19 2032.54 90.3698 29.7577 60.181 2.01558 -1.37336 1.64387 15 15 15 15.7162 1
160.243 2031.14 90.474 29.6785 60.2821 2.00738 -1.37289 1.91957 15 15 15 15.7126 1
160.297 2027.81 90.5845 29.5863 60.4007 2.01893 -1.36843 2.1893 15 15 15 15.704 1
160.352 2028.69 90.6873 29.5186 60.5102 2.03195 -1.36492 2.43939 15 15 15 15.7063 1
160.407 2029.08 90.8061 29.4484 60.6542 2.05394 -1.36206 2.6604 15.9375 15 15 15.7073 1.0625
160.463 2028.04 90.9218 29.3725 60.8146 2.07255 -1.35749 2.86949 15.9375 15 14.0625 15.7046 1.13333
160.519 2026.76 91.046 29.298 60.9643 2.09177 -1.35502 3.06164 15.9375 15 14.0625 15.7013 1.13333
160.575 2026.73 91.1687 29.2182 61.1207 2.11567 -1.3606 3.24254 15 15 14.0625 15.7012 1.06667
160.631 2027.58 91.283 29.1473 61.3034 2.14677 -1.35955 3.39385 15 15 15 15.7034 1
160.687 2025.6 91.3986 29.07 61.5096 2.17562 -1.35099 3.53213 15 15.9375 15 15.6983 1.0625
160.743 2032.81 91.5221 28.99 61.7034 2.21035 -1.34019 3.64043 15 15.9375 15 15.7169 1.0625
160.798 2028.25 91.644 28.9158 61.8918 2.23788 -1.33503 3.75218 15 15 14.0625 15.7051 1.06667
160.854 2028.45 91.7693 28.8386 62.075 2.26858 -1.32803 3.83475 15.9375 15 14.0625 15.7056 1.13333
160.91 2025.31 91.9066 28.7599 62.292 2.30095 -1.31422 3.89476 15.9375 15 15 15.6975 1.0625
160.966 2029.52 92.0438 28.689 62.5276 2.3398 -1.29189 3.92957 15 15 14.0625 15.7084 1.06667
161.022 2034.9 92.1573 28.6243 62.7164 2.36834 -1.27711 3.95501 15 15 14.0625 15.7223 1.06667
161.079 2034.5 92.3084 28.554 62.9547 2.40909 -1.24545 3.95532 15 15 14.0625 15.7212 1.06667
161.135 2029.25 92.4347 28.4797 63.155 2.44635 -1.21452 3.95347 15 15 14.0625 15.7077 1.06667
161.191 2029.06 92.5537 28.423 63.3698 2.46865 -1.17887 3.94397 15.9375 15 14.0625 15.7072 1.13333
161.247 2032.28 92.7074 28.3636 63.5753 2.48103 -1.14554 3.92215 15.9375 15.9375 14.0625 15.7155 1.13333
161.303 2029.69 92.849 28.2952 63.7819 2.48569 -1.10917 3.90708 15.9375 15.9375 14.0625 15.7088 1.13333
161.36 2028.21 93.0032 28.2198 63.9887 2.50696 -1.07124 3.85667 15.9375 15.9375 14.0625 15.705 1.13333
161.416 2028.11 93.1407 28.1665 64.1951 2.51794 -1.02735 3.82133 15.9375 15.9375 13.125 15.7048 1.21429
161.472 2024.95 93.2739 28.1041 64.3889 2.52722 -0.973924 3.78881 15 15.9375 13.125 15.6966 1.21429
161.528 2028.16 93.4084 28.0522 64.5966 2.54121 -0.92816 3.74199 15.9375 15.9375 14.0625 15.7049 1.13333
161.584 2033.02 93.5501 27.999 64.7947 2.53465 -0.880842 3.69491 15.9375 15.9375 14.0625 15.7174 1.13333
161.64 2031.89 93.6917 27.9476 64.989 2.53886 -0.833289 3.65794 15.9375 15.9375 13.125 15.7145 1.21429
161.697 2033.25 93.8434 27.8998 65.1818 2.54244 -0.789547 3.62771 15.9375 15.9375 13.125 15.718 1.21429
161.753 2033.28 93.981 27.8584 65.3665 2.55663 -0.743399 3.58618 15.9375 15.9375 13.125 15.7181 1.21429
161.809 2031.56 94.1179 27.823 65.5456 2.55887 -0.691255 3.54917 15.9375 15.9375 14.0625 15.7136 1.13333
161.865 2025.08 94.273 27.7823 65.7546 2.56283 -0.63224 3.54158 15.9375 15.9375 14.0625 15.6969 1.13333
161.921 2033.34 94.4186 27.7325 65.9321 2.55967 -0.594612 3.49942 15.9375 15.9375 13.125 15.7182 1.21429
161.978 2032.96 94.5441 27.703 66.1071 2.55281 -0.540456 3.47203 15.9375 15 13.125 15.7173 1.21429
162.034 2031.48 94.7211 27.6842 66.2884 2.57122 -0.498393 3.43679 15.9375 15 13.125 15.7134 1.21429
162.09 2029.98 94.8566 27.6556 66.4534 2.576 -0.445249 3.38322 15.9375 15.9375 13.125 15.7096 1.21429
162.146 2020.93 94.9855 27.6332 66.6548 2.567 -0.401461 3.37037 15.9375 15.9375 14.0625 15.6862 1.13333
162.202 2024.91 95.1438 27.6026 66.8275 2.56311 -0.359789 3.32259 16.875 15.9375 13.125 15.6965 1.28571
162.258 2035.58 95.267 27.5822 66.9935 2.53986 -0.292242 3.2569 15.9375 15.9375 13.125 15.724 1.21429
