# t frame_uz frame_z ub_dans_repere
160.001 0.000225874 2.3262e-07 0.219324
160.019 0.0727228 0.000777181 4.16588
160.051 0.212182 0.00581895 4.4053
160.092 0.400471 0.0192766 4.62105
160.14 0.624732 0.0444572 4.84706
160.19 0.87583 0.0836 5.03895
160.243 1.14684 0.138345 5.19913
160.297 1.43173 0.209393 5.33485
160.352 1.72802 0.297794 5.4323
160.407 2.02823 0.402616 5.47687
160.463 2.33504 0.526455 5.47399
160.519 2.64036 0.667425 5.43635
160.575 2.94181 0.82537 5.34026
160.631 3.23575 0.999952 5.18685
160.687 3.52013 1.19067 5.00624
160.743 3.79353 1.39695 4.80134
160.798 4.05459 1.61812 4.56765
160.854 4.30204 1.85345 4.3201
160.91 4.53508 2.10215 4.05904
160.966 4.75327 2.3634 3.79293
161.022 4.95648 2.63676 3.51087
161.079 5.14418 2.92161 3.23101
161.135 5.31626 3.21648 2.95151
161.191 5.4724 3.52048 2.66496
161.247 5.61223 3.83271 2.36988
161.303 5.73552 4.15224 2.07642
161.36 5.84217 4.47813 1.78125
161.416 5.93216 4.80945 1.48245
161.472 6.00567 5.14526 1.19655
161.528 6.0635 5.48468 0.92001
161.584 6.10586 5.82682 0.646427
161.64 6.13317 6.17083 0.382279
161.697 6.14623 6.5159 0.134787
161.753 6.14593 6.86124 -0.095397
161.809 6.13344 7.20614 -0.303522
161.865 6.11017 7.54998 -0.486315
161.921 6.07726 7.89218 -0.648273
161.978 6.03645 8.23226 -0.777953
162.034 5.98889 8.56981 -0.884943
162.09 5.93627 8.90451 -0.968707
162.146 5.87962 9.23611 -1.03176
162.202 5.82008 9.56443 -1.07636
162.258 5.75878 9.88934 -1.09991
162.315 5.69633 10.2108 -1.12355
162.371 5.63351 10.5287 -1.11092
162.427 5.57118 10.8431 -1.10693
162.483 5.50967 11.154 -1.0894
162.539 5.44884 11.4614 -1.07543
162.596 5.38939 11.7655 -1.04608
162.652 5.3319 12.0664 -1.00771
162.708 5.27643 12.364 -0.975587
162.764 5.22296 12.6587 -0.93709
162.82 5.17183 12.9503 -0.889763
162.876 5.12361 13.2393 -0.839129
162.933 5.07805 13.5256 -0.794112
162.989 5.03551 13.8094 -0.735813
163.045 4.99611 14.0909 -0.678172
163.101 4.96005 14.3704 -0.618349
163.157 4.92708 14.6479 -0.562545
163.213 4.89774 14.9237 -0.497086
163.27 4.87185 15.198 -0.437766
163.326 4.84927 15.4709 -0.377895
163.382 4.83025 15.7427 -0.312953
163.438 4.81451 16.0135 -0.260801
163.494 4.80135 16.2835 -0.215489
163.551 4.79064 16.5529 -0.172145
163.607 4.7822 16.8217 -0.134894
163.663 4.77587 17.0902 -0.0984647
163.719 4.77139 17.3583 -0.0661641
163.775 4.76857 17.6263 -0.0378743
163.831 4.76722 17.8941 -0.0130964
163.888 4.76749 18.1619 0.0155247
163.944 4.76932 18.4298 0.0454854
164 4.77259 18.6979 0.0668489
164.056 4.77728 18.9662 0.0952552
164.112 4.78344 19.2347 0.119826
164.169 4.79129 19.5037 0.15244
164.225 4.80096 19.7732 0.187003
164.281 4.8127 20.0433 0.229064
164.337 4.82701 20.3142 0.26992
164.393 4.84359 20.5859 0.313115
164.449 4.86287 20.8586 0.365363
164.506 4.88584 21.1326 0.435968
164.562 4.91262 21.408 0.502012
164.618 4.94333 21.685 0.579297
164.674 4.97842 21.9639 0.657156
164.73 5.01829 22.2449 0.749104
164.787 5.06356 22.5283 0.846242
164.843 5.11469 22.8145 0.954141
164.899 5.17186 23.1037 1.05981
164.955 5.23498 23.3964 1.16464
165.011 5.30395 23.6928 1.27065
165.067 5.37918 23.9932 1.38184
165.124 5.45996 24.2981 1.47354
165.18 5.54572 24.6077 1.563
165.236 5.63632 24.9223 1.64274
165.292 5.73081 25.2422 1.70668
165.348 5.82878 25.5674 1.76505
165.404 5.92927 25.8982 1.80346
165.461 6.03177 26.2348 1.83709
165.517 6.13571 26.5771 1.85608
165.573 6.24007 26.9254 1.85242
165.629 6.3433 27.2794 1.82948
165.685 6.44548 27.6392 1.81229
165.742 6.54653 28.0048 1.78663
165.798 6.64545 28.3759 1.74617
165.854 6.74261 28.7525 1.71516
165.91 6.8377 29.1345 1.67878
165.966 6.93092 29.5218 1.64183
166.022 7.02214 29.9143 1.61106
166.079 7.11126 30.3118 1.57076
166.135 7.19812 30.7142 1.52966
166.191 7.28281 31.1215 1.49344
166.247 7.36547 31.5334 1.45708
166.303 7.44592 31.9499 1.41813
166.36 7.52416 32.3709 1.37483
166.416 7.59969 32.7962 1.32679
166.472 7.67238 33.2256 1.27244
166.528 7.74174 33.659 1.21026
166.584 7.80716 34.0961 1.13619
166.64 7.86802 34.5368 1.04809
166.697 7.92344 34.9807 0.949951
166.753 7.97383 35.4276 0.857384
166.809 8.01836 35.8771 0.745904
166.865 8.0562 36.3288 0.624364
166.921 8.08726 36.7825 0.506971
166.978 8.11152 37.2377 0.381664
167.034 8.12888 37.694 0.261265
167.09 8.13922 38.1511 0.131121
167.146 8.14248 38.6085 0.0108145
167.202 8.13953 39.0658 -0.0872519
167.258 8.13084 39.5229 -0.193415
167.315 8.11676 39.9792 -0.284702
167.371 8.09812 40.4346 -0.362014
167.427 8.07556 40.8888 -0.425191
167.483 8.04979 41.3416 -0.478681
167.539 8.02158 41.7929 -0.517531
167.596 7.99154 42.2426 -0.54351
167.652 7.96078 42.6905 -0.547583
167.708 7.93045 43.1367 -0.53249
167.764 7.90155 43.5812 -0.499432
167.82 7.87485 44.0242 -0.458576
167.876 7.85101 44.4658 -0.39875
167.933 7.83087 44.9062 -0.327707
167.989 7.81514 45.3456 -0.246568
168.045 7.80455 45.7842 -0.14819
168.101 7.79973 46.2225 -0.0444106
168.157 7.80103 46.6607 0.0680163
168.213 7.80877 47.0992 0.184333
168.27 7.82336 47.5384 0.317018
168.326 7.84593 47.9786 0.459362
168.382 7.8763 48.4204 0.595081
168.438 7.9141 48.8641 0.728105
168.494 7.95999 49.3102 0.881987
168.551 8.01494 49.7592 1.03912
168.607 8.07843 50.2116 1.18872
168.663 8.15 50.6678 1.32791
168.719 8.22962 51.1283 1.47925
168.775 8.3171 51.5936 1.60659
168.831 8.4119 52.064 1.74285
168.888 8.51348 52.54 1.85072
168.944 8.62113 53.0219 1.95858
169 8.73347 53.51 2.0304
169.056 8.84971 54.0045 2.09229
169.112 8.96921 54.5057 2.14836
169.169 9.09109 55.0137 2.18151
169.225 9.21442 55.5286 2.19962
169.281 9.33812 56.0504 2.19946
169.337 9.46155 56.5792 2.19042
169.393 9.58372 57.1149 2.16451
169.449 9.70429 57.6574 2.13358
169.506 9.82267 58.2065 2.08591
169.562 9.93821 58.7623 2.03855
169.618 10.051 59.3244 1.98641
169.674 10.1607 59.8928 1.92521
169.73 10.2669 60.4672 1.86744
169.787 10.3698 61.0475 1.80605
169.843 10.4694 61.6334 1.75297
169.899 10.5664 62.2249 1.70948
169.955 10.6609 62.8217 1.66499
170.011 10.753 63.4238 1.6188
170.067 10.8424 64.0309 1.57518
170.124 10.9295 64.6429 1.53186
170.18 11.0137 65.2598 1.48016
170.236 11.0952 65.8813 1.43224
170.292 11.1741 66.5073 1.38583
170.348 11.2504 67.1377 1.34223
170.404 11.3243 67.7722 1.29755
170.461 11.3958 68.4108 1.26025
170.517 11.4655 69.0534 1.2281
170.573 11.5335 69.6998 1.19726
170.629 11.5996 70.35 1.1646
170.685 11.6639 71.0039 1.13102
