# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.003 2122.63 29.9968 29.9994 59.9951 -3.34937 -0.64403 -5.1205 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.024 2122.18 29.9237 29.9849 59.8877 -3.53813 -0.680808 -4.91202 15 14.0625 15 15.9439 1.06667 1 2014.93 0
160.059 2122.55 29.7984 29.9621 59.7229 -3.71061 -0.632692 -4.45529 15 14.0625 15 15.9448 1.06667 1 2027.51 0
160.101 2122.33 29.6344 29.9346 59.5394 -3.94143 -0.623478 -3.92479 15 14.0625 15 15.9443 1.06667 1 2033.05 0
160.149 2122.26 29.4399 29.9039 59.3602 -4.18184 -0.631987 -3.33969 15 14.0625 15 15.9441 1.06667 1 2032.1 0
160.2 2122.16 29.2205 29.8702 59.1992 -4.41682 -0.677093 -2.75663 15 14.0625 15.9375 15.9438 1.13333 1 2026.86 0
160.254 2122.08 28.9797 29.8322 59.0631 -4.64899 -0.749643 -2.18044 15.9375 14.0625 15.9375 15.9437 1.13333 1 2024.67 0
160.308 2121.95 28.7209 29.7881 58.9551 -4.87784 -0.863668 -1.62854 15 14.0625 15.9375 15.9433 1.13333 1 2029.44 0
160.363 2121.89 28.4474 29.7366 58.8758 -5.07958 -1.01097 -1.11488 15 14.0625 15 15.9432 1.06667 1 2029.24 0
160.418 2121.8 28.1628 29.676 58.8245 -5.24528 -1.18277 -0.632128 15.9375 14.0625 15 15.943 1.13333 1 2021.36 0
160.474 2121.67 27.865 29.6039 58.799 -5.38491 -1.36976 -0.183514 15 15 15 15.9426 1 1 2024.48 0
160.53 2121.6 27.5598 29.5212 58.7975 -5.50759 -1.57271 0.2089 15 15 15 15.9425 1 1 2022.64 0
160.586 2121.57 27.2482 29.4272 58.8177 -5.60223 -1.78069 0.555267 15.9375 15 15 15.9424 1.0625 1 2025.85 0
160.642 2121.53 26.9319 29.321 58.8557 -5.66224 -1.99066 0.834671 15 15 15 15.9423 1 1 2025.7 0
160.698 2121.47 26.6131 29.2037 58.9089 -5.69618 -2.19333 1.07401 15 14.0625 15 15.9421 1.06667 1 2027.15 0
160.754 2121.35 26.2932 29.075 58.9747 -5.70439 -2.40068 1.28089 15.9375 14.0625 15 15.9418 1.13333 1 2023.68 0
160.81 2121.26 25.9732 28.9343 59.0517 -5.68797 -2.59981 1.45203 15 14.0625 15 15.9416 1.06667 1 2026.33 0
160.866 2121.17 25.6551 28.7824 59.1376 -5.64552 -2.80779 1.59384 15 15 15 15.9414 1 1 2028.81 0
160.922 2121.07 25.3399 28.619 59.2312 -5.57362 -3.01458 1.70264 15.9375 15 15 15.9411 1.0625 1 2024.08 0
160.978 2120.96 25.0288 28.4435 59.3312 -5.48508 -3.22643 1.81552 15 15 15 15.9408 1 1 2030.31 0
161.034 2120.92 24.7232 28.2563 59.4361 -5.37086 -3.42322 1.88777 15 15 15 15.9407 1 1 2031.67 0
161.09 2120.81 24.4239 28.0575 59.5448 -5.23496 -3.61579 1.9388 15.9375 14.0625 15 15.9405 1.13333 1 2027.07 0
161.146 2120.65 24.1321 27.8481 59.656 -5.09374 -3.78894 1.96996 15 15 15 15.9401 1 1 2028.38 0
161.202 2120.62 23.8489 27.63 59.7685 -4.93827 -3.94733 1.97814 15 15 15 15.94 1 1 2031.82 0
161.258 2120.5 23.5747 27.4033 59.8812 -4.7778 -4.0924 1.96724 15.9375 15 15 15.9397 1.0625 1 2023.26 0
161.315 2120.33 23.3099 27.1684 59.9931 -4.60112 -4.20455 1.94557 15.9375 14.0625 14.0625 15.9393 1.13333 1 2020.69 0
161.371 2120.32 23.0549 26.9277 60.1035 -4.42564 -4.30489 1.90914 15 15 14.0625 15.9392 1.06667 1 2026.12 0
161.427 2120.22 22.8096 26.6825 60.2115 -4.25634 -4.38846 1.8778 15 15 15 15.939 1 1 2025.84 0
161.483 2119.98 22.5743 26.4326 60.3169 -4.08335 -4.45146 1.82298 15.9375 15 15 15.9384 1.0625 1 2022.86 0
161.539 2119.83 22.3488 26.1796 60.4191 -3.90906 -4.49176 1.77355 15.9375 14.0625 15 15.938 1.13333 1 2023.55 0
161.596 2119.82 22.133 25.9249 60.5184 -3.74209 -4.51366 1.71913 15 15 15 15.938 1 1 2018.19 0
161.652 2119.83 21.926 25.6698 60.6151 -3.57413 -4.51778 1.67879 15 15 15 15.938 1 1 2023.92 0
161.708 2119.83 21.7284 25.4152 60.7092 -3.41005 -4.4883 1.62939 15.9375 14.0625 15 15.938 1.13333 1 2023.85 0
161.764 2119.8 21.5401 25.1621 60.8007 -3.26055 -4.44526 1.58002 15.9375 15 14.0625 15.9379 1.13333 1 2023.58 0
161.82 2119.66 21.3601 24.9126 60.8899 -3.11724 -4.37176 1.54276 15.9375 15 14.0625 15.9376 1.13333 1 2028.38 0
161.876 2119.59 21.1883 24.6675 60.9767 -2.9745 -4.28965 1.50119 15 15 14.0625 15.9374 1.06667 1 2026.13 0
161.933 2119.61 21.0239 24.427 61.0611 -2.84572 -4.19024 1.45501 15 14.0625 15 15.9375 1.06667 1 2029.7 0
161.989 2119.66 20.8662 24.1925 61.1434 -2.72994 -4.07352 1.42009 15.9375 15 15 15.9376 1.0625 1 2021.81 0
162.045 2119.71 20.7148 23.9652 61.2236 -2.6368 -3.95923 1.38299 15.9375 15 15 15.9377 1.0625 1 2023.76 0
162.101 2119.65 20.5687 23.7444 61.3019 -2.56 -3.84612 1.35652 15.9375 15 15 15.9376 1.0625 1 2028.4 0
162.157 2119.58 20.427 23.5304 61.3787 -2.47243 -3.71496 1.33816 15.9375 14.0625 15 15.9374 1.13333 1 2029.73 0
162.213 2119.49 20.2893 23.3242 61.4544 -2.40051 -3.58134 1.31735 15.9375 14.0625 15 15.9372 1.13333 1 2025.51 0
162.27 2119.22 20.1552 23.1258 61.5296 -2.33838 -3.43403 1.3163 15 15 15 15.9365 1 1 2022.2 0
162.326 2119.01 20.0242 22.9346 61.6047 -2.29117 -3.30622 1.31253 15 15 15 15.936 1 1 2020.21 0
162.382 2118.93 19.896 22.7511 61.6799 -2.24495 -3.17563 1.31783 15.9375 14.0625 15 15.9358 1.13333 1 2019.01 0
162.438 2118.88 19.7705 22.575 61.7557 -2.20515 -3.03796 1.32971 15.9375 14.0625 15 15.9356 1.13333 1 2025.44 0
162.494 2118.85 19.6473 22.4068 61.8324 -2.16298 -2.8933 1.35025 15.9375 14.0625 14.0625 15.9355 1.13333 1 2018.52 0
162.551 2118.9 19.5263 22.2471 61.9102 -2.13509 -2.75055 1.36415 15.9375 15 14.0625 15.9357 1.13333 1 2023.9 0
162.607 2118.94 19.4065 22.095 61.9888 -2.1137 -2.61753 1.37995 15.9375 15 14.0625 15.9358 1.13333 1 2019.1 0
162.663 2118.93 19.2874 21.9506 62.0685 -2.10719 -2.47985 1.40247 15 15 15 15.9358 1 1 2023.57 0
162.719 2119.07 19.1692 21.8144 62.1497 -2.09271 -2.33277 1.42899 15 15 15 15.9361 1 1 2025.78 0
162.775 2119.16 19.0516 21.686 62.2321 -2.09249 -2.19301 1.44964 15 14.0625 15 15.9363 1.06667 1 2025.22 0
162.831 2119.13 18.934 21.5652 62.316 -2.0918 -2.05023 1.48017 15.9375 14.0625 15 15.9363 1.13333 1 2023.5 0
162.888 2119.12 18.8164 21.4522 62.4015 -2.0931 -1.91571 1.51398 15.9375 15 15 15.9362 1.0625 1 2023 0
162.944 2119.06 18.6987 21.3469 62.489 -2.09809 -1.78133 1.54876 15.9375 15 15 15.9361 1.0625 1 2025.06 0
163 2119.06 18.5801 21.2489 62.5783 -2.11659 -1.65485 1.58168 15.9375 15 15 15.9361 1.0625 1 2029.37 0
163.056 2119.01 18.4606 21.1582 62.6698 -2.13663 -1.534 1.62114 15.9375 15 14.0625 15.936 1.13333 1 2026.28 0
163.112 2118.99 18.3397 21.0742 62.7635 -2.17318 -1.42233 1.66682 15 15 14.0625 15.9359 1.06667 1 2025.99 0
163.169 2118.98 18.2166 20.9962 62.8594 -2.20777 -1.31124 1.69795 15 15 14.0625 15.9359 1.06667 1 2029.31 0
163.225 2118.97 18.091 20.9242 62.9576 -2.26078 -1.2175 1.73746 15 15 14.0625 15.9359 1.06667 1 2024.86 0
163.281 2118.99 17.9623 20.8573 63.0578 -2.31869 -1.12703 1.77503 15.9375 15 14.0625 15.9359 1.13333 1 2023.5 0
163.337 2119.02 17.8303 20.7953 63.1601 -2.3762 -1.03801 1.81461 15.9375 15 15 15.936 1.0625 1 2023.23 0
163.393 2119.06 17.695 20.7384 63.265 -2.44139 -0.954766 1.85147 15.9375 15 15 15.9361 1.0625 1 2022.06 0
163.449 2119.13 17.5558 20.686 63.372 -2.5154 -0.874897 1.88595 15.9375 15.9375 15 15.9363 1.0625 1 2018.45 0
163.506 2119.12 17.4121 20.638 63.4811 -2.59523 -0.797277 1.9297 15 15 14.0625 15.9362 1.06667 1 2019.89 0
163.562 2119.15 17.2637 20.5946 63.5925 -2.68364 -0.716198 1.97006 15 15 14.0625 15.9363 1.06667 1 2024.09 0
163.618 2119.15 17.1106 20.5558 63.706 -2.76631 -0.632981 2.01078 15.9375 15 14.0625 15.9363 1.13333 1 2025.76 0
163.674 2119.19 16.9525 20.5215 63.8212 -2.85742 -0.553752 2.03957 15.9375 15 14.0625 15.9364 1.13333 1 2026.68 0
163.73 2119.2 16.7898 20.492 63.9384 -2.94127 -0.471214 2.0766 15.9375 15 14.0625 15.9364 1.13333 1 2024.24 0
163.787 2119.26 16.6221 20.467 64.0579 -3.03176 -0.391267 2.1099 15.9375 15 14.0625 15.9366 1.13333 1 2021.4 0
