# t dissipation energy Reynolds eta
160.001 2.89169 27.197 30.5783 1.20349
160.003 2.90663 27.2195 30.5249 1.20194
160.006 2.90528 27.2206 30.5331 1.20208
160.009 2.8982 27.2207 30.5705 1.20281
160.014 2.89226 27.2212 30.6025 1.20343
160.019 2.89127 27.2219 30.6085 1.20353
160.024 2.88682 27.2222 30.6325 1.204
160.03 2.88489 27.2231 30.6436 1.2042
160.037 2.88369 27.224 30.6511 1.20432
160.044 2.88286 27.225 30.6566 1.20441
160.051 2.88629 27.2267 30.6403 1.20405
160.059 2.88287 27.2276 30.6595 1.20441
160.067 2.88237 27.2289 30.6636 1.20446
160.075 2.88234 27.2304 30.6655 1.20446
160.084 2.883 27.2321 30.6639 1.20439
160.092 2.8827 27.2335 30.667 1.20443
160.101 2.88362 27.2352 30.664 1.20433
160.111 2.89078 27.2382 30.6294 1.20358
160.12 2.89411 27.2407 30.6146 1.20324
160.13 2.88622 27.241 30.6567 1.20406
160.14 2.88551 27.2426 30.6624 1.20413
160.149 2.88564 27.2446 30.6639 1.20412
160.159 2.8887 27.2469 30.6502 1.2038
160.17 2.89262 27.2494 30.6323 1.20339
160.18 2.88835 27.2508 30.6565 1.20384
160.19 2.88789 27.2527 30.661 1.20388
160.2 2.88818 27.2546 30.6617 1.20385
160.211 2.88869 27.2568 30.6614 1.2038
160.222 2.88918 27.2589 30.6612 1.20375
160.232 2.89189 27.2614 30.6497 1.20347
160.243 2.89057 27.2633 30.6587 1.2036
160.254 2.90311 27.2672 30.5969 1.2023
160.264 2.89358 27.268 30.6481 1.20329
160.275 2.8936 27.2704 30.6506 1.20329
160.286 2.89292 27.2724 30.6565 1.20336
160.297 2.8933 27.2746 30.657 1.20332
160.308 2.89367 27.2767 30.6574 1.20328
160.319 2.89518 27.2792 30.6522 1.20312
160.33 2.90389 27.2827 30.6101 1.20222
160.341 2.89616 27.2838 30.6523 1.20302
160.352 2.89622 27.2861 30.6545 1.20302
160.363 2.89665 27.2884 30.6548 1.20297
160.374 2.89726 27.291 30.6544 1.20291
160.385 2.89778 27.2933 30.6542 1.20285
160.396 2.89831 27.2956 30.654 1.2028
160.407 2.90083 27.2982 30.6437 1.20254
160.418 2.89966 27.3004 30.6523 1.20266
160.429 2.90268 27.3031 30.6395 1.20235
160.44 2.90087 27.3052 30.6513 1.20253
160.451 2.9012 27.3076 30.6523 1.2025
160.463 2.90461 27.3104 30.6374 1.20215
160.474 2.9024 27.3121 30.6509 1.20238
160.485 2.90269 27.3145 30.6521 1.20235
160.496 2.90302 27.3167 30.6529 1.20231
160.507 2.90655 27.3197 30.6376 1.20195
160.519 2.90696 27.3215 30.6375 1.2019
160.53 2.90481 27.3234 30.651 1.20213
160.541 2.90486 27.3256 30.6531 1.20212
160.552 2.905 27.3275 30.6546 1.20211
160.563 2.90964 27.3304 30.6334 1.20163
160.575 2.90741 27.3322 30.6471 1.20186
160.586 2.90636 27.3342 30.6549 1.20197
160.597 2.909 27.3367 30.6437 1.20169
160.608 2.90754 27.3385 30.6535 1.20184
160.619 2.90733 27.3405 30.6569 1.20187
