# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160 2139.16 60 60 60 0.0776062 0.0825909 -0.000662222 15.4688 15.4688 15.4688 15.9863 1 1 2089.44 0
160.007 2138.96 60.0158 60.0193 60.0005 2.72217 3.31706 0.110209 15.4688 15.4688 15.4688 15.9858 1 1 2092.93 0
160.018 2139.09 60.0469 60.0573 60.002 2.72572 3.33785 0.181799 15.4688 15.4688 15.4688 15.9861 1 1 2094.31 0
160.033 2139.08 60.0869 60.1064 60.0054 2.72397 3.35844 0.288668 15.4688 15.4688 15.4688 15.9861 1 1 2094.13 0
160.049 2138.96 60.1325 60.1629 60.0109 2.7374 3.40098 0.397113 15.4688 15.4688 15.4688 15.9858 1 1 2092.95 0
160.067 2139.05 60.1816 60.2242 60.019 2.74645 3.43941 0.51713 15 15.9375 15.4688 15.986 1.0625 1 2092.4 0
160.086 2139.02 60.2331 60.2889 60.0296 2.75387 3.47634 0.641154 15 15.9375 15.4688 15.986 1.0625 1 2092.46 0
160.105 2139 60.2861 60.3561 60.0429 2.76233 3.52009 0.762394 15.4688 15.4688 15.4688 15.9859 1 1 2093.75 0
160.125 2139.04 60.34 60.4251 60.0588 2.76721 3.56167 0.885209 15.4688 15.4688 15.4688 15.986 1 1 2093.83 0
160.144 2139.03 60.3945 60.4956 60.0772 2.77081 3.60327 1.00156 15.4688 15.4688 15.4688 15.986 1 1 2093.71 0
160.164 2139.04 60.4495 60.5674 60.098 2.77524 3.64663 1.11937 15.4688 15.4688 15.4688 15.986 1 1 2092.24 0
160.184 2139.05 60.5047 60.6403 60.1212 2.77324 3.68768 1.22971 15.4688 15.9375 15.4688 15.986 1.0303 1 2092.83 0
160.204 2139.06 60.56 60.7141 60.1466 2.7729 3.72802 1.33804 15 15.9375 15.9375 15.9861 1.0625 1 2091.76 0
160.224 2139.06 60.6152 60.7887 60.1741 2.7698 3.7707 1.44302 15 15.9375 15.9375 15.9861 1.0625 1 2093.6 0
160.244 2139.07 60.6704 60.8641 60.2037 2.7612 3.8114 1.54259 15 15.4688 15.9375 15.9861 1.0625 1 2092.54 0
160.264 2139.08 60.7256 60.9407 60.2354 2.7498 3.84751 1.63488 15 15.4688 15.9375 15.9861 1.0625 1 2093.93 0
160.284 2139.09 60.7805 61.0181 60.269 2.73365 3.88888 1.72818 15 15.4688 15.9375 15.9861 1.0625 1 2092.46 0
160.304 2139.09 60.8351 61.0962 60.3043 2.71354 3.92829 1.81533 15.4688 15.9375 15.9375 15.9861 1.0303 1 2092.11 0
160.324 2139.1 60.8893 61.1751 60.3415 2.69198 3.96655 1.89832 15.4688 15.9375 15.9375 15.9862 1.0303 1 2092.61 0
160.344 2139.11 60.9431 61.2547 60.3802 2.66487 4.00441 1.97669 15.4688 15.9375 15.4688 15.9862 1.0303 1 2092.81 0
160.364 2139.12 60.9962 61.3351 60.4205 2.63587 4.03802 2.05231 15.4688 15.4688 15.4688 15.9862 1 1 2092.54 0
160.384 2139.13 61.0488 61.4163 60.4622 2.60217 4.07616 2.12366 15 15.4688 15.4688 15.9862 1.03125 1 2093.66 0
160.404 2139.13 61.1006 61.4982 60.5054 2.56731 4.11451 2.18998 15 15.4688 15.4688 15.9862 1.03125 1 2093.3 0
160.424 2139.14 61.1517 61.5809 60.5498 2.52832 4.15112 2.24917 15 15.9375 15.4688 15.9863 1.0625 1 2093.37 0
160.444 2139.15 61.202 61.6643 60.5954 2.48661 4.18839 2.30507 15 15.9375 15.4688 15.9863 1.0625 1 2092.7 0
160.464 2139.15 61.2515 61.7485 60.6421 2.44313 4.22648 2.35579 15 15.9375 15.9375 15.9863 1.0625 1 2092 0
160.484 2139.16 61.3001 61.8334 60.6897 2.40055 4.26856 2.4016 15.4688 15.4688 15.9375 15.9863 1.0303 1 2092.43 0
160.504 2139.17 61.3478 61.9192 60.7384 2.35543 4.31514 2.44686 15.4688 15.4688 15.4688 15.9863 1 1 2093.61 0
160.524 2139.18 61.3945 62.0057 60.7878 2.30391 4.34836 2.48665 15.4688 15.4688 15.4688 15.9864 1 1 2092.74 0
160.544 2139.19 61.4402 62.0931 60.838 2.25452 4.38953 2.52135 15.4688 15.9375 15.4688 15.9864 1.0303 1 2093.77 0
160.564 2139.2 61.4849 62.1813 60.8888 2.20266 4.42912 2.552 15.4688 15.9375 15.4688 15.9864 1.0303 1 2092.96 0
160.584 2139.21 61.5285 62.2703 60.9402 2.15044 4.47235 2.57864 15.4688 15.4688 15.4688 15.9864 1 1 2093.27 0
160.604 2139.22 61.5711 62.3602 60.9922 2.0981 4.51567 2.6015 15.4688 15.4688 15.4688 15.9864 1 1 2093.42 0
160.624 2139.23 61.6127 62.4509 61.0446 2.0436 4.55989 2.62183 15.4688 15.4688 15.4688 15.9865 1 1 2092.48 0
160.644 2139.23 61.6531 62.5426 61.0974 1.9875 4.60765 2.64088 15.9375 15.9375 15 15.9865 1.0625 1 2092.13 0
160.664 2139.23 61.6924 62.6352 61.1506 1.92932 4.65344 2.65575 15.9375 15.9375 15 15.9865 1.0625 1 2092.64 0
160.684 2139.24 61.7305 62.7288 61.204 1.87203 4.70184 2.66715 15.9375 15.4688 15.4688 15.9865 1.0303 1 2093.73 0
160.704 2139.25 61.7674 62.8233 61.2576 1.81373 4.7491 2.67617 15.9375 15.4688 15.4688 15.9865 1.0303 1 2092.65 0
