# t frame_uz frame_z ub_dans_repere
160 -2.41159e-07 -8.77899e-11 -0.000662463
160.007 0.000611692 2.22603e-06 0.110401
160.018 0.00233107 2.02512e-05 0.182273
160.033 0.00598823 8.49141e-05 0.289575
160.049 0.0119127 0.000241782 0.39849
160.067 0.0203605 0.00054317 0.519029
160.086 0.0314695 0.0010451 0.643595
160.105 0.045247 0.00180459 0.765358
160.125 0.0616133 0.00287484 0.888697
160.144 0.0804766 0.00430625 1.00553
160.164 0.101777 0.00614791 1.12382
160.184 0.125449 0.00845023 1.23462
160.204 0.151331 0.0112524 1.34339
160.224 0.179319 0.0145948 1.44878
160.244 0.209358 0.0185228 1.54878
160.264 0.241463 0.0230934 1.64145
160.284 0.275447 0.0283287 1.73513
160.304 0.311187 0.0342652 1.82262
160.324 0.348656 0.0409375 1.90594
160.344 0.387718 0.0483787 1.98463
160.364 0.428345 0.0566202 2.06055
160.384 0.470435 0.0656921 2.13219
160.404 0.5139 0.0756227 2.19878
160.424 0.558601 0.0864378 2.2582
160.444 0.60446 0.0981613 2.31433
160.464 0.651379 0.110815 2.36526
160.484 0.699264 0.124419 2.41125
160.504 0.748053 0.138992 2.45669
160.524 0.797679 0.154551 2.49664
160.544 0.848049 0.171112 2.53148
160.564 0.899069 0.188689 2.56225
160.584 0.950655 0.207293 2.58899
160.604 1.00273 0.226935 2.61195
160.624 1.05523 0.247624 2.63236
160.644 1.10813 0.269368 2.65149
160.664 1.16135 0.292174 2.66642
160.684 1.21484 0.316049 2.67786
160.704 1.26853 0.340995 2.68692
160.724 1.32237 0.367018 2.69445
160.744 1.37633 0.394119 2.69886
160.764 1.43034 0.422301 2.70047
160.784 1.48437 0.451563 2.7017
160.804 1.53837 0.481906 2.69934
160.824 1.59233 0.513329 2.69457
160.844 1.64617 0.54583 2.68821
160.864 1.69982 0.579405 2.67747
160.884 1.75325 0.614052 2.6667
160.904 1.80646 0.649764 2.65474
160.924 1.85939 0.686538 2.64094
160.944 1.91202 0.724367 2.62363
160.964 1.96429 0.763245 2.60577
160.984 2.01616 0.803164 2.58477
161.004 2.06764 0.844113 2.56556
161.024 2.1187 0.886079 2.54487
161.044 2.16934 0.929062 2.52356
161.064 2.21954 0.973052 2.50103
161.084 2.26927 1.01804 2.4774
161.104 2.31851 1.06402 2.45294
161.124 2.36728 1.11097 2.43045
161.144 2.41558 1.1589 2.40756
161.164 2.46341 1.20779 2.38031
161.184 2.51072 1.25762 2.35552
161.204 2.55754 1.3084 2.33164
161.224 2.6039 1.36011 2.31
161.244 2.64982 1.41274 2.28678
161.264 2.69527 1.46628 2.26446
161.284 2.74028 1.52073 2.24095
161.304 2.78478 1.57607 2.21592
161.324 2.82883 1.63229 2.1933
161.344 2.8724 1.68939 2.16909
161.364 2.91546 1.74736 2.14218
161.384 2.95802 1.80618 2.11859
161.404 3.00011 1.86584 2.09444
161.424 3.04173 1.92635 2.07127
161.444 3.08287 1.98768 2.0471
161.464 3.12349 2.04982 2.01939
161.484 3.16347 2.11277 1.9871
161.504 3.20284 2.17651 1.95637
161.524 3.24162 2.24104 1.9278
161.544 3.27982 2.30633 1.89788
161.564 3.31743 2.37238 1.86893
161.584 3.35437 2.43917 1.83289
161.604 3.39061 2.50669 1.79781
161.624 3.42614 2.57493 1.76294
161.644 3.46099 2.64388 1.72814
161.664 3.49509 2.71351 1.68827
161.684 3.52836 2.78381 1.64748
161.704 3.56083 2.85477 1.6068
161.724 3.59248 2.92636 1.56712
161.744 3.62331 2.99859 1.52417
161.764 3.65327 3.07141 1.482
161.784 3.68238 3.14483 1.43743
161.804 3.71059 3.21882 1.39321
161.824 3.73793 3.29336 1.35038
161.844 3.76438 3.36844 1.30304
161.864 3.78988 3.44403 1.25637
161.884 3.81446 3.52012 1.21099
161.904 3.83813 3.5967 1.16538
161.924 3.86088 3.67374 1.1183
161.944 3.8827 3.75122 1.07284
161.964 3.90363 3.82912 1.02819
161.984 3.92365 3.90744 0.983444
162.004 3.94281 3.98614 0.940565
162.024 3.96111 4.06522 0.897474
162.044 3.97855 4.14465 0.85461
162.064 3.99515 4.22442 0.812981
162.084 4.01095 4.30452 0.77447
162.104 4.02599 4.38492 0.737338
162.124 4.04032 4.46561 0.702111
162.144 4.05395 4.54658 0.667348
162.164 4.06691 4.62782 0.634182
162.184 4.07923 4.7093 0.604024
162.204 4.09095 4.79103 0.574418
162.224 4.1021 4.87298 0.54633
