# t dissipation energy Reynolds eta
160 0.649057 9.85962 23.3984 1.74847
160.001 0.647092 9.87468 23.4697 1.7498
160.002 0.648304 9.87404 23.4463 1.74898
160.003 0.642486 9.87453 23.5533 1.75293
160.005 0.639714 9.87482 23.605 1.75482
160.007 0.637891 9.87477 23.6386 1.75607
160.009 0.636625 9.87498 23.6626 1.75695
160.011 0.635695 9.87485 23.6796 1.75759
160.013 0.634919 9.87488 23.6941 1.75813
160.015 0.634385 9.87494 23.7042 1.7585
160.018 0.633973 9.87503 23.7122 1.75878
160.021 0.633847 9.87508 23.7146 1.75887
160.024 0.633599 9.87518 23.7195 1.75904
160.027 0.633423 9.87526 23.723 1.75916
160.03 0.633685 9.87536 23.7183 1.75898
160.033 0.633104 9.87543 23.7294 1.75938
160.036 0.63308 9.87552 23.73 1.7594
160.039 0.633042 9.87566 23.7311 1.75943
160.043 0.633326 9.87582 23.7261 1.75923
160.046 0.63314 9.87596 23.73 1.75936
160.049 0.63345 9.8761 23.7245 1.75914
160.053 0.634137 9.87627 23.7121 1.75867
160.056 0.633452 9.87636 23.7251 1.75914
160.06 0.633444 9.87645 23.7255 1.75915
160.064 0.633227 9.87656 23.7298 1.7593
160.067 0.633928 9.87669 23.717 1.75881
160.071 0.633786 9.87679 23.7199 1.75891
160.075 0.633133 9.87686 23.7323 1.75936
160.078 0.633569 9.87702 23.7245 1.75906
160.082 0.633222 9.87712 23.7312 1.7593
160.086 0.633622 9.87723 23.724 1.75902
160.09 0.634235 9.87747 23.7131 1.7586
160.094 0.634051 9.87761 23.7169 1.75873
160.098 0.633951 9.87772 23.719 1.7588
160.101 0.633588 9.87787 23.7262 1.75905
160.105 0.634384 9.87809 23.7118 1.7585
160.109 0.633945 9.87822 23.7203 1.7588
160.113 0.634083 9.87838 23.7181 1.75871
160.117 0.634262 9.87854 23.7152 1.75858
160.121 0.634178 9.87869 23.7171 1.75864
160.125 0.634321 9.87883 23.7148 1.75854
160.129 0.635835 9.87906 23.6871 1.75749
160.133 0.634405 9.87916 23.714 1.75848
160.137 0.634306 9.87932 23.7162 1.75855
160.14 0.634667 9.87948 23.7099 1.7583
160.144 0.634978 9.87965 23.7045 1.75809
160.148 0.634674 9.87984 23.7106 1.7583
160.152 0.634893 9.88002 23.707 1.75814
160.156 0.635624 9.88026 23.6939 1.75764
160.16 0.635012 9.88039 23.7056 1.75806
160.164 0.634878 9.88055 23.7085 1.75815
160.168 0.635593 9.88078 23.6957 1.75766
160.172 0.635989 9.88098 23.6888 1.75739
160.176 0.635964 9.88123 23.6899 1.7574
160.18 0.635936 9.88142 23.6909 1.75742
160.184 0.636879 9.88168 23.6739 1.75677
160.188 0.635812 9.88182 23.6941 1.75751
160.192 0.635888 9.88198 23.6931 1.75746
160.196 0.636752 9.88222 23.6776 1.75686
160.2 0.636101 9.8824 23.6901 1.75731
160.204 0.636419 9.88269 23.6849 1.75709
160.208 0.636414 9.8829 23.6855 1.75709
160.212 0.637076 9.88314 23.6738 1.75664
160.216 0.636733 9.88334 23.6806 1.75687
160.22 0.636745 9.88358 23.681 1.75686
160.224 0.637179 9.88383 23.6735 1.75656
160.228 0.636981 9.88403 23.6777 1.7567
160.232 0.637113 9.88429 23.6759 1.75661
160.236 0.637753 9.88453 23.6645 1.75617
160.24 0.637393 9.88474 23.6717 1.75642
160.244 0.637497 9.88502 23.6704 1.75635
160.248 0.637798 9.88527 23.6655 1.75614
160.252 0.63778 9.88552 23.6664 1.75615
160.256 0.637896 9.88577 23.6648 1.75607
160.26 0.638709 9.88602 23.6504 1.75551
160.264 0.638961 9.88629 23.6464 1.75534
160.268 0.638349 9.88652 23.6582 1.75576
160.272 0.63863 9.88677 23.6536 1.75557
160.276 0.638537 9.88704 23.656 1.75563
160.28 0.638642 9.88734 23.6548 1.75556
160.284 0.63892 9.88756 23.6502 1.75537
160.288 0.639443 9.88782 23.6411 1.75501
160.292 0.639202 9.88808 23.6462 1.75517
160.296 0.639662 9.88838 23.6384 1.75486
160.3 0.639392 9.88865 23.644 1.75504
160.304 0.639662 9.88894 23.6397 1.75486
160.308 0.639596 9.88921 23.6416 1.7549
160.312 0.639835 9.88953 23.6379 1.75474
160.316 0.640042 9.88982 23.6348 1.7546
160.32 0.640108 9.89008 23.6342 1.75455
160.324 0.64016 9.89038 23.634 1.75452
160.328 0.64028 9.89068 23.6325 1.75443
160.332 0.640594 9.89103 23.6275 1.75422
160.336 0.64067 9.89135 23.6269 1.75417
160.34 0.640795 9.89161 23.6252 1.75408
160.344 0.640922 9.89192 23.6236 1.75399
160.348 0.641404 9.89228 23.6156 1.75367
160.352 0.641249 9.8925 23.619 1.75377
160.356 0.641435 9.8928 23.6162 1.75364
160.36 0.641557 9.8931 23.6147 1.75356
160.364 0.642095 9.89342 23.6056 1.75319
160.368 0.641891 9.89373 23.6101 1.75333
160.372 0.642323 9.89401 23.6028 1.75304
160.376 0.642297 9.89434 23.604 1.75305
160.38 0.642917 9.89465 23.5934 1.75263
160.384 0.642624 9.89495 23.5995 1.75283
160.388 0.642754 9.89524 23.5978 1.75274
160.392 0.64282 9.89556 23.5974 1.7527
160.396 0.642968 9.89584 23.5953 1.7526
160.4 0.643032 9.89615 23.5949 1.75255
160.404 0.643142 9.89648 23.5937 1.75248
160.408 0.643259 9.89679 23.5923 1.7524
160.412 0.643771 9.89714 23.5837 1.75205
160.416 0.643674 9.89743 23.5862 1.75212
160.42 0.644317 9.89778 23.5752 1.75168
160.424 0.643972 9.89807 23.5822 1.75191
160.428 0.644052 9.89839 23.5815 1.75186
160.432 0.64414 9.89871 23.5807 1.7518
160.436 0.64421 9.89903 23.5802 1.75175
160.44 0.644422 9.89936 23.5771 1.75161
160.444 0.644515 9.89965 23.5761 1.75155
160.448 0.644638 9.89999 23.5746 1.75146
160.452 0.644772 9.90029 23.5729 1.75137
160.456 0.644923 9.90062 23.5709 1.75127
160.46 0.645316 9.90095 23.5645 1.751
160.464 0.645267 9.90128 23.5662 1.75103
160.468 0.645446 9.90158 23.5637 1.75091
160.472 0.645476 9.90192 23.5639 1.75089
160.476 0.645751 9.90225 23.5597 1.75071
160.48 0.645715 9.90257 23.5611 1.75073
160.484 0.645948 9.90289 23.5576 1.75057
160.488 0.646009 9.90323 23.5573 1.75053
160.492 0.646184 9.90355 23.5549 1.75041
160.496 0.646803 9.90391 23.5445 1.74999
160.5 0.646433 9.9042 23.5519 1.75024
160.504 0.646542 9.90456 23.5508 1.75017
160.508 0.646744 9.90492 23.5479 1.75003
160.512 0.647061 9.90526 23.543 1.74982
160.516 0.646972 9.90556 23.5453 1.74988
160.52 0.647136 9.90583 23.543 1.74977
160.524 0.647183 9.90613 23.5428 1.74974
160.528 0.647323 9.90648 23.5411 1.74964
160.532 0.647481 9.90677 23.5389 1.74954
160.536 0.647974 9.9071 23.5308 1.7492
160.54 0.647856 9.90742 23.5337 1.74928
160.544 0.647968 9.90775 23.5324 1.74921
160.548 0.647994 9.90801 23.5326 1.74919
160.552 0.648068 9.90833 23.532 1.74914
160.556 0.648439 9.90865 23.526 1.74889
160.56 0.64841 9.90897 23.5273 1.74891
160.564 0.6482 9.90927 23.5318 1.74905
160.568 0.648225 9.90957 23.5321 1.74903
160.572 0.64819 9.90982 23.5333 1.74906
160.576 0.64836 9.91015 23.531 1.74894
160.58 0.648529 9.91047 23.5287 1.74883
