# i t cells coeurs_suggere(~100k/coeur)
12880 160.184 467272 5
12900 160.589 470625 5
12920 161.022 472501 5
12940 161.467 476463 5
12960 161.911 480250 5
12980 162.356 482721 5
13000 162.8 484107 5
13020 163.244 483211 5
13040 163.689 481951 5
13060 164.133 480684 5
13080 164.578 478339 5
13100 165.022 476806 5
13120 165.467 477905 5
13140 165.911 480271 5
13160 166.356 484646 5
13180 166.8 488776 5
13200 167.244 492367 5
13220 167.689 497442 5
13240 168.133 501537 6
13260 168.578 507053 6
13280 169.022 510966 6
13300 169.467 513892 6
13320 169.911 516762 6
13340 170.356 519954 6
13360 170.8 521711 6
13380 171.244 523979 6
13400 171.689 529782 6
13420 172.133 534472 6
13440 172.578 538077 6
13460 173.022 541143 6
13480 173.467 545847 6
13500 173.911 549186 6
13520 174.356 552343 6
13540 174.8 554009 6
13560 175.244 557152 6
13580 175.689 561352 6
13600 176.133 563599 6
13620 176.578 564901 6
13640 177.022 562367 6
13660 177.467 561597 6
13680 177.911 560911 6
13700 178.356 558734 6
13720 178.8 555213 6
13740 179.244 552938 6
13760 179.689 552308 6
13780 180.133 551720 6
13800 180.578 550544 6
13820 181.022 548248 6
13840 181.467 548395 6
13860 181.911 547751 6
13880 182.356 549088 6
13900 182.8 549627 6
13920 183.244 553267 6
13940 183.689 555206 6
13960 184.133 557523 6
13980 184.578 558482 6
14000 185.022 558580 6
14020 185.467 561814 6
14040 185.911 565461 6
14060 186.356 570634 6
14080 186.8 571719 6
14100 187.244 576269 6
14120 187.689 580882 6
14140 188.133 584515 6
14160 188.578 586622 6
14180 189.022 589898 6
14200 189.467 594168 6
14220 189.911 598368 6
14240 190.356 600461 7
14260 190.8 603716 7
14280 191.244 607783 7
14300 191.689 608868 7
14320 192.133 609477 7
14340 192.578 609267 7
14360 193.022 608553 7
14380 193.467 606558 7
14400 193.911 606957 7
14420 194.356 606551 7
14440 194.8 605466 7
14460 195.244 604507 7
14480 195.689 603387 7
14500 196.133 605004 7
14520 196.578 607041 7
14540 197.022 608231 7
14560 197.467 608889 7
14580 197.911 609946 7
14600 198.356 610191 7
14620 198.8 606901 7
14640 199.244 602001 7
14660 199.689 598270 6
14680 200.133 593069 6
14700 200.578 588372 6
14720 201.022 587322 6
14740 201.467 586111 6
14760 201.911 585873 6
14780 202.356 584823 6
14800 202.8 584459 6
14820 203.244 585257 6
14840 203.689 585474 6
14860 204.133 586321 6
14880 204.578 585453 6
14900 205.022 589121 6
14920 205.467 592208 6
14940 205.911 594847 6
14960 206.356 594168 6
14980 206.8 596296 6
15000 207.244 599481 6
15020 207.689 603233 7
15040 208.133 605032 7
15060 208.578 604745 7
15080 209.022 605389 7
15100 209.467 606040 7
15120 209.911 603506 7
15140 210.356 602064 7
15160 210.8 600783 7
15180 211.244 597696 6
15200 211.689 597311 6
15220 212.133 596212 6
15240 212.578 595778 6
15260 213.022 593391 6
15280 213.467 589835 6
15300 213.911 587007 6
15320 214.356 582751 6
15340 214.8 577858 6
15360 215.244 573728 6
15380 215.689 569836 6
15400 216.133 567827 6
15420 216.578 566595 6
15440 217.022 564229 6
15460 217.467 566175 6
15480 217.911 566721 6
15500 218.356 566847 6
15520 218.8 566448 6
15540 219.244 563585 6
15560 219.689 559665 6
15580 220.133 557943 6
15600 220.578 555087 6
15620 221.022 556018 6
15640 221.467 557537 6
15660 221.911 558930 6
15680 222.356 560414 6
15700 222.8 560078 6
15720 223.244 556235 6
15740 223.689 552252 6
15760 224.133 547597 6
15780 224.578 539778 6
15800 225.022 530545 6
15820 225.467 522201 6
15840 225.911 517854 6
15860 226.356 513010 6
15880 226.8 509748 6
15900 227.244 509867 6
15920 227.689 507970 6
15940 228.133 507046 6
15960 228.578 505261 6
15980 229.022 504323 6
16000 229.467 500935 6
16020 229.911 499388 5
16040 230.356 498359 5
16060 230.8 499745 5
16080 231.244 499262 5
16100 231.689 500998 6
16120 232.133 503441 6
16140 232.578 505219 6
16160 233.022 507711 6
16180 233.467 510259 6
16200 233.911 512653 6
16220 234.356 512961 6
16240 234.8 510952 6
16260 235.244 507844 6
16280 235.689 504288 6
16300 236.133 499094 5
16320 236.578 497365 5
16340 237.022 494250 5
16360 237.467 492066 5
16380 237.911 488909 5
16400 238.356 488076 5
16420 238.8 487992 5
16440 239.244 486109 5
16460 239.689 484891 5
16480 240.133 482980 5
16500 240.578 481958 5
16520 241.022 481573 5
16540 241.467 482637 5
16560 241.911 481580 5
16580 242.356 480236 5
16600 242.8 480705 5
16620 243.244 480754 5
16640 243.689 482896 5
16660 244.133 486676 5
16680 244.578 488727 5
16700 245.022 492353 5
16720 245.467 496966 5
16740 245.911 501810 6
16760 246.356 505800 6
16780 246.8 510035 6
16800 247.244 513416 6
16820 247.689 516685 6
16840 248.133 518841 6
16860 248.578 520402 6
16880 249.022 522761 6
16900 249.467 525652 6
16920 249.911 527822 6
16940 250.356 528270 6
16960 250.8 530391 6
16980 251.244 531287 6
17000 251.689 531413 6
17020 252.133 530363 6
17040 252.578 530888 6
17060 253.022 528837 6
17080 253.467 525029 6
17100 253.911 523461 6
17120 254.356 518806 6
17140 254.8 513633 6
17160 255.244 508572 6
17180 255.689 503651 6
17200 256.133 500634 6
17220 256.578 498569 5
17240 257.022 497134 5
17260 257.467 494635 5
