# t dissipation energy Reynolds eta
76.001 1.27667 14.5107 24.5537 1.47642
76.003 1.27008 14.5069 24.6109 1.47833
76.0077 1.27014 14.5091 24.614 1.47831
76.0148 1.27032 14.5123 24.6177 1.47826
76.0242 1.27052 14.5163 24.6225 1.4782
76.0357 1.2707 14.521 24.6288 1.47815
76.0489 1.27095 14.5265 24.6357 1.47808
76.0637 1.27128 14.5328 24.6432 1.47798
76.0802 1.27162 14.5396 24.6515 1.47788
76.0979 1.27196 14.5468 24.6604 1.47779
76.1171 1.27234 14.5547 24.67 1.47767
76.1371 1.27275 14.5629 24.6799 1.47755
76.1582 1.27313 14.5714 24.6907 1.47745
76.1803 1.27356 14.5803 24.7016 1.47732
76.2031 1.27398 14.5893 24.7128 1.4772
76.2265 1.27446 14.5987 24.724 1.47706
76.2507 1.27491 14.6082 24.7358 1.47693
76.2757 1.27534 14.6179 24.7481 1.47681
76.3015 1.27584 14.628 24.7603 1.47666
76.3274 1.27631 14.6381 24.7727 1.47652
76.3543 1.27678 14.6484 24.7857 1.47639
76.3812 1.27721 14.6587 24.7989 1.47627
76.4081 1.27777 14.6692 24.8113 1.4761
76.4363 1.27824 14.6799 24.8247 1.47597
76.4645 1.2788 14.6906 24.8374 1.47581
76.4927 1.27931 14.7013 24.8505 1.47566
76.5209 1.2798 14.7119 24.8637 1.47552
76.549 1.28037 14.7226 24.8763 1.47535
76.5772 1.28086 14.7332 24.8894 1.47521
76.6054 1.28142 14.7437 24.9017 1.47505
76.6336 1.28202 14.7544 24.9139 1.47488
76.6618 1.28265 14.765 24.9257 1.47469
76.69 1.28315 14.7754 24.9384 1.47455
76.7182 1.28377 14.786 24.9502 1.47437
76.7463 1.28424 14.7961 24.9628 1.47424
76.7745 1.28472 14.8063 24.9752 1.4741
76.8027 1.28517 14.8164 24.988 1.47397
76.8309 1.28578 14.8268 24.9996 1.4738
76.8591 1.28627 14.8369 25.0119 1.47366
76.8873 1.28679 14.8471 25.024 1.47351
76.9154 1.28732 14.8572 25.0358 1.47336
76.9436 1.28788 14.8673 25.0474 1.4732
76.9718 1.28845 14.8775 25.059 1.47304
77 1.28899 14.8874 25.0705 1.47288
77.0312 1.28957 14.8983 25.0831 1.47271
77.0625 1.29021 14.9093 25.0954 1.47253
77.0938 1.29082 14.9201 25.1076 1.47236
77.125 1.29138 14.9308 25.1204 1.4722
77.1562 1.29201 14.9417 25.1325 1.47202
77.1875 1.29266 14.9526 25.1444 1.47183
77.2188 1.29342 14.9635 25.1555 1.47162
77.25 1.294 14.9742 25.1677 1.47145
77.2812 1.29465 14.9849 25.1794 1.47127
77.3125 1.29526 14.9955 25.1913 1.47109
77.3438 1.29595 15.0062 25.2026 1.4709
77.375 1.29661 15.0167 25.2138 1.47071
77.4062 1.29719 15.027 25.2255 1.47055
77.4375 1.29786 15.0375 25.2365 1.47036
77.4688 1.29849 15.0479 25.2479 1.47018
77.5 1.29919 15.0583 25.2585 1.46998
77.5312 1.29988 15.0686 25.2691 1.46978
77.5625 1.30056 15.079 25.2798 1.46959
77.5938 1.3013 15.0892 25.2899 1.46938
77.625 1.30193 15.0994 25.3007 1.46921
77.6562 1.30263 15.1096 25.3111 1.46901
77.6875 1.30334 15.1198 25.3213 1.46881
77.7188 1.30405 15.13 25.3314 1.46861
77.75 1.3047 15.14 25.3418 1.46843
77.7812 1.30544 15.1501 25.3515 1.46822
77.8125 1.30623 15.1602 25.3608 1.46799
77.8438 1.30697 15.1701 25.3703 1.46779
