# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.006 2006.96 59.9964 59.997 59.9987 -4.14664 -3.37255 -1.41544 14.0625 14.0625 14.0625 15.65 1
160.048 2023.17 59.823 59.852 59.9488 -4.29581 -3.61967 -1.29511 15 15 14.0625 15.692 1.06667
160.117 2037 59.5195 59.5863 59.8688 -4.50873 -4.0382 -1.11528 15 15 14.0625 15.7277 1.06667
160.202 2029.7 59.1101 59.2285 59.7717 -4.75493 -4.63367 -0.910318 15.9375 15.9375 14.0625 15.7089 1.13333
160.297 2022.03 58.6781 58.7692 59.692 -4.92293 -5.31793 -0.734145 15 16.875 13.125 15.689 1.28571
160.399 2032.26 58.175 58.195 59.6191 -4.99213 -6.0763 -0.556362 15.9375 16.875 13.125 15.7155 1.28571
160.502 2025.23 57.6529 57.5284 59.552 -4.92788 -6.86838 -0.390615 15.9375 16.875 13.125 15.6973 1.28571
160.611 2033.22 57.1373 56.7661 59.533 -4.67899 -7.61131 -0.216691 15.9375 16.875 12.1875 15.7179 1.38462
160.719 2026.97 56.6491 55.9068 59.5107 -4.25555 -8.27872 -0.0257493 15.9375 16.875 12.1875 15.7018 1.38462
160.827 2027.76 56.2304 54.9891 59.5074 -3.65102 -8.76319 0.192481 15.9375 17.8125 12.1875 15.7039 1.46154
160.935 2028.86 55.8479 54.0536 59.5436 -2.89987 -9.04897 0.444811 15.9375 17.8125 13.125 15.7067 1.35714
161.044 2028.36 55.5793 53.0672 59.6036 -2.04444 -9.10239 0.699468 15.9375 16.875 13.125 15.7054 1.28571
161.152 2034.97 55.3923 52.1182 59.6897 -1.17571 -8.92927 0.949702 15.9375 16.875 13.125 15.7224 1.28571
161.253 2029.48 55.304 51.216 59.7744 -0.338597 -8.59666 1.15766 15.9375 15 14.0625 15.7083 1.13333
161.348 2037.51 55.2839 50.4487 59.904 0.37231 -8.13836 1.35212 15.9375 15 14.0625 15.729 1.13333
161.449 2033.06 55.3509 49.6668 60.0377 1.10192 -7.53792 1.50704 15.9375 14.0625 14.0625 15.7175 1.13333
161.554 2034.81 55.4914 48.9028 60.1892 1.80816 -6.84171 1.62294 15.9375 14.0625 15 15.722 1.13333
161.66 2034.23 55.69 48.2219 60.3657 2.43493 -6.06553 1.67798 16.875 14.0625 15 15.7205 1.2
161.766 2025.05 55.9854 47.5975 60.5338 2.95976 -5.23555 1.64942 16.875 13.125 15.9375 15.6968 1.28571
161.872 2034 56.2929 47.0886 60.6885 3.3035 -4.41618 1.57415 15.9375 13.125 15.9375 15.7199 1.21429
161.979 2035.52 56.6289 46.6516 60.8395 3.48337 -3.63518 1.44286 15.9375 13.125 15.9375 15.7238 1.21429
162.089 2029.53 57.0326 46.2916 60.9836 3.51621 -2.86195 1.27193 15 13.125 16.875 15.7084 1.28571
162.2 2032.81 57.3859 46.0001 61.1197 3.43414 -2.21506 1.10309 15 14.0625 16.875 15.7169 1.2
162.311 2036.75 57.7526 45.761 61.2207 3.22222 -1.68032 0.890268 15.9375 13.125 16.875 15.727 1.28571
162.422 2038.79 58.1035 45.6095 61.317 2.94386 -1.22675 0.694076 15.9375 13.125 16.875 15.7323 1.28571
162.533 2026 58.4117 45.4833 61.3784 2.63528 -0.867361 0.51737 15.9375 14.0625 16.875 15.6993 1.2
162.644 2026.87 58.6763 45.3954 61.4192 2.25255 -0.603319 0.319092 16.875 14.0625 16.875 15.7015 1.2
162.756 2028.83 58.8992 45.334 61.4297 1.82676 -0.419005 0.132391 16.875 14.0625 16.875 15.7066 1.2
162.867 2024.65 59.0908 45.2827 61.4408 1.37139 -0.307457 -0.0467745 17.8125 13.125 16.875 15.6958 1.35714
162.978 2026.82 59.2131 45.239 61.4068 0.866923 -0.294363 -0.223749 17.8125 13.125 16.875 15.7014 1.35714
