# t dissipation energy Reynolds eta
160.002 2.0031 21.5419 29.1005 1.31918
160.006 2.01351 21.5675 29.0597 1.31747
160.012 2.00071 21.567 29.1519 1.31957
160.019 1.99307 21.5675 29.2084 1.32084
160.027 1.98932 21.5684 29.2371 1.32146
160.037 1.98781 21.5695 29.2497 1.32171
160.048 1.98728 21.5708 29.2552 1.3218
160.06 1.98723 21.5722 29.2576 1.32181
160.073 1.98735 21.5736 29.2585 1.32179
160.087 1.98775 21.5751 29.2577 1.32172
160.101 1.98814 21.5765 29.2566 1.32165
160.117 1.98872 21.5781 29.2545 1.32156
160.133 1.98941 21.5797 29.2517 1.32144
160.149 1.99018 21.5813 29.2483 1.32132
160.166 1.99097 21.5829 29.2446 1.32118
160.184 1.99175 21.5845 29.241 1.32105
160.202 1.99272 21.5863 29.2364 1.32089
160.22 1.99369 21.588 29.2316 1.32073
160.239 1.99471 21.5898 29.2265 1.32056
160.258 1.9958 21.5916 29.2209 1.32038
160.277 1.9969 21.5934 29.2153 1.3202
160.297 1.99804 21.5951 29.2094 1.32001
160.317 1.99919 21.5967 29.2031 1.31982
160.337 2.0003 21.5985 29.1974 1.31964
160.357 2.00159 21.6006 29.1908 1.31943
160.378 2.00284 21.6025 29.1842 1.31922
160.399 2.00417 21.6043 29.1771 1.319
160.419 2.00541 21.6062 29.1705 1.3188
160.44 2.00667 21.608 29.1639 1.31859
160.461 2.00792 21.6099 29.1573 1.31839
160.482 2.00925 21.612 29.1505 1.31817
160.502 2.01041 21.6138 29.1445 1.31798
160.524 2.0118 21.6159 29.1373 1.31775
160.546 2.01305 21.6178 29.1308 1.31755
160.567 2.01431 21.6197 29.1242 1.31734
160.589 2.01562 21.6216 29.1173 1.31713
160.611 2.01688 21.6235 29.1107 1.31692
160.632 2.01818 21.6253 29.1038 1.31671
160.654 2.0193 21.6269 29.098 1.31653
160.675 2.02054 21.6287 29.0914 1.31632
160.697 2.0216 21.6302 29.0858 1.31615
160.719 2.02278 21.6318 29.0794 1.31596
160.74 2.02384 21.6332 29.0737 1.31579
160.762 2.02497 21.6349 29.0679 1.3156
160.784 2.0258 21.6361 29.0636 1.31547
160.805 2.02658 21.6373 29.0596 1.31534
160.827 2.02744 21.6385 29.0551 1.3152
160.849 2.02823 21.6396 29.0509 1.31507
160.87 2.0291 21.6408 29.0462 1.31493
160.892 2.02987 21.6418 29.0421 1.31481
160.913 2.03039 21.6427 29.0395 1.31472
160.935 2.03105 21.6436 29.0361 1.31462
160.957 2.03174 21.6445 29.0323 1.31451
160.978 2.03237 21.6452 29.0288 1.3144
161 2.03266 21.6458 29.0274 1.31436
161.022 2.03316 21.6463 29.0246 1.31428
161.044 2.03353 21.6467 29.0224 1.31422
161.067 2.03414 21.6472 29.0188 1.31412
161.088 2.03448 21.6477 29.0171 1.31406
161.109 2.03462 21.6479 29.0163 1.31404
161.13 2.03498 21.6482 29.0141 1.31398
161.152 2.03501 21.6482 29.014 1.31398
161.174 2.03512 21.6482 29.0132 1.31396
161.196 2.03525 21.6482 29.0122 1.31394
161.217 2.03528 21.6482 29.012 1.31393
161.235 2.03519 21.6485 29.013 1.31395
161.253 2.03529 21.6486 29.0124 1.31393
161.271 2.03542 21.6489 29.012 1.31391
161.29 2.03541 21.6491 29.0122 1.31391
161.309 2.03529 21.6491 29.0131 1.31393
161.329 2.03527 21.649 29.0132 1.31394
161.348 2.03532 21.6492 29.0131 1.31393
161.368 2.03511 21.649 29.0142 1.31396
161.388 2.03485 21.6487 29.0158 1.314
161.408 2.03459 21.6485 29.0174 1.31405
161.429 2.03447 21.6484 29.018 1.31407
161.449 2.03415 21.6481 29.0199 1.31412
161.469 2.03389 21.6478 29.0214 1.31416
161.49 2.03366 21.6477 29.0229 1.3142
161.511 2.03357 21.6475 29.0233 1.31421
161.532 2.03351 21.6474 29.0236 1.31422
161.554 2.03339 21.6472 29.0242 1.31424
161.575 2.03328 21.6469 29.0245 1.31426
161.596 2.03321 21.6468 29.0249 1.31427
161.617 2.03315 21.6467 29.0251 1.31428
161.639 2.03315 21.6466 29.0251 1.31428
161.66 2.03317 21.6466 29.0249 1.31427
161.681 2.03304 21.6467 29.026 1.3143
161.702 2.03305 21.6467 29.0259 1.31429
161.724 2.03308 21.6468 29.0258 1.31429
161.745 2.03299 21.6467 29.0263 1.3143
161.766 2.03309 21.6468 29.0258 1.31429
161.787 2.03326 21.647 29.0248 1.31426
161.809 2.03336 21.6471 29.0242 1.31424
161.83 2.03339 21.6472 29.0242 1.31424
161.851 2.03361 21.6473 29.0227 1.3142
161.872 2.03345 21.6473 29.0239 1.31423
161.894 2.03317 21.6473 29.0259 1.31427
161.915 2.03307 21.6477 29.0271 1.31429
