# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.7040 2029.8049 1.560611 1.741620 35.0237 88.0912 59.8433 1
166.00 2128.5454 2036.4540 0.024484 0.293958 39.5647 86.1803 67.7756 1
171.00 2125.2033 2028.9613 0.968217 1.258185 44.4496 53.3022 72.2619 1
176.00 2120.9191 2024.9574 -0.282436 -0.029543 18.1892 71.1788 71.3159 1
181.00 2131.6753 2037.9620 0.960973 1.235739 38.0282 98.0206 72.0517 1
186.00 2137.6532 2037.5986 0.095473 0.384701 55.5356 117.4731 71.5418 1
191.00 2133.3354 2038.6937 -0.907022 -0.639793 85.3632 91.1443 65.6980 1
196.00 2135.2561 2045.0189 -0.127409 0.123760 82.9558 96.7641 64.1515 1
201.00 2137.4391 2038.8025 1.056742 1.413498 88.6708 83.4408 69.8788 1
206.00 2131.5503 2042.1739 -1.477706 -1.202946 64.4984 77.4593 64.6283 1
211.00 2130.1602 2031.4993 -0.037952 0.161572 69.2604 70.9558 67.6744 1
216.00 2136.8369 2035.5695 2.240887 2.598486 102.5454 45.6289 67.9257 1
221.00 2137.2662 2040.9408 -1.739780 -1.475103 86.0037 57.2165 71.1455 1
226.00 2129.2970 2032.6868 0.591236 0.884198 105.7899 21.6778 62.7950 1
231.00 2139.2436 2042.5612 -3.044838 -2.871394 119.9463 41.1699 62.9926 1
236.00 2142.1772 2047.2574 -0.956740 -0.765158 9.2150 50.2257 64.6447 1
241.00 2141.4096 2045.3151 0.146807 0.423684 1.7111 30.2005 68.8190 1
246.00 2140.4654 2049.1562 -3.386322 -3.240459 5.8354 35.7270 66.7647 1
251.00 2145.9575 2044.9988 0.867715 1.146819 109.8012 65.4539 66.1420 1
256.00 2143.2035 2044.4371 1.889295 2.194740 114.4349 28.7251 70.3597 1
261.00 2145.1772 2044.1339 -1.112892 -0.815060 2.6538 28.4737 71.4416 1
266.00 2141.8468 2049.6217 -0.580350 -0.386508 110.7137 11.1034 69.1009 1
271.00 2145.0571 2039.4335 0.574246 0.936736 116.4581 105.1068 74.6964 1
276.00 2145.0745 2049.9012 0.033500 0.334445 116.7211 107.2508 74.0973 1
