# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 60 60 60 0 0 0 14.0625 14.0625 14.0625 15.65 1
160.019 2006.77 60 60 60.0004 -0.00292993 -0.00102861 0.140605 14.0625 14.0625 14.0625 15.6495 1
160.051 2007.2 60 60 60.0036 -0.0069404 -0.00749879 0.385162 14.0625 14.0625 14.0625 15.6506 1
160.092 2008.37 60 60 60.0184 0.00350108 0.00297801 0.697605 14.0625 14.0625 15 15.6536 1.06667
160.14 2014.54 60 60 60.0531 -0.00196528 -0.00267247 1.00988 14.0625 14.0625 15 15.6696 1.06667
160.19 2009.34 60 60 60.1092 0.00168838 0.00106063 1.34175 14.0625 14.0625 15 15.6561 1.06667
160.243 2016.98 60 60 60.1768 -6.08611e-05 -0.000521323 1.64781 15.9375 15.9375 15 15.676 1.0625
160.297 2020.83 60 60 60.283 3.71718e-06 -0.00116007 1.9454 15.9375 15.9375 15 15.6859 1.0625
160.352 2032.53 60.0001 59.9999 60.3923 -0.00108527 -0.00215386 2.20998 15.9375 15.9375 15 15.7162 1.0625
160.407 2032.21 60 59.9999 60.5406 -0.000692409 -0.00174657 2.46436 15.9375 15.9375 15 15.7153 1.0625
160.463 2021.45 60.0023 59.9976 60.6726 -0.00131251 -0.00184203 2.67489 15.9375 15.9375 15 15.6875 1.0625
160.519 2020.89 60.0001 59.9999 60.8329 -0.000274556 -0.000825187 2.8912 15.9375 15.9375 15 15.6861 1.0625
160.575 2019.46 59.9998 59.9992 60.956 -0.000985601 -0.00124149 3.06843 15.9375 15.9375 14.0625 15.6824 1.13333
160.631 2015.29 60.0001 59.9999 61.1133 -0.000689336 -0.00115283 3.22575 15.9375 15.9375 15 15.6716 1.0625
160.687 2028.57 60.0001 59.9999 61.3126 -0.000912711 -0.000961415 3.34385 15.9375 15.9375 15 15.7059 1.0625
160.743 2031.52 60.0001 59.9999 61.5033 -0.000307244 -0.00107002 3.44439 15.9375 15.9375 15 15.7135 1.0625
160.798 2023.19 60.0001 59.9999 61.7035 0.000812501 0.000598999 3.54566 15.9375 15.9375 14.0625 15.692 1.13333
