# t frame_uz frame_z ub_dans_repere
160.001 0 0 0
160.019 0.00152792 1.3393e-05 0.133833
160.051 0.0101676 0.000210995 0.367844
160.092 0.0330341 0.00115993 0.667042
160.14 0.0729359 0.00379222 0.967993
160.19 0.131577 0.00919146 1.28403
160.243 0.208757 0.0185104 1.5786
160.297 0.303281 0.0327627 1.86634
160.352 0.414584 0.053031 2.12851
160.407 0.53971 0.0798745 2.37062
160.463 0.678555 0.114699 2.56155
160.519 0.82877 0.157674 2.76727
160.575 0.989328 0.209416 2.9343
160.631 1.15847 0.270439 3.07747
160.687 1.33512 0.341185 3.2063
160.743 1.51805 0.42204 3.30305
160.798 1.70528 0.513284 3.37761
160.854 1.89665 0.61515 3.4425
160.91 2.09083 0.727827 3.48502
160.966 2.28732 0.851452 3.52543
161.022 2.48567 0.986341 3.54295
161.079 2.68538 1.13271 3.56349
161.135 2.88578 1.29033 3.56677
161.191 3.08606 1.4592 3.56825
161.247 3.28623 1.63933 3.55473
161.303 3.48567 1.83067 3.54665
161.36 3.68434 2.0332 3.5267
161.416 3.88171 2.24684 3.5072
161.472 4.07816 2.47154 3.48775
161.528 4.27319 2.70724 3.46026
161.584 4.4666 2.95383 3.43051
161.64 4.65807 3.21123 3.39272
161.697 4.8477 3.47931 3.36416
161.753 5.03531 3.75799 3.3218
161.809 5.22051 4.04713 3.28038
161.865 5.40327 4.34659 3.2358
161.921 5.58366 4.65623 3.18537
161.978 5.76067 4.97591 3.11849
162.034 5.93369 5.30539 3.05262
162.09 6.10356 5.64448 3.00543
162.146 6.26998 5.993 2.94008
162.202 6.43294 6.35076 2.8745
162.258 6.59206 6.71754 2.8047
162.315 6.7472 7.09313 2.73338
162.371 6.89836 7.4773 2.6646
162.427 7.04623 7.86984 2.61017
162.483 7.1906 8.27059 2.54093
162.539 7.33126 8.67931 2.4787
162.596 7.46823 9.09581 2.41004
162.652 7.60147 9.51988 2.34611
162.708 7.73108 9.95131 2.28346
162.764 7.85734 10.3899 2.22532
162.82 7.98072 10.8355 2.17756
162.876 8.10128 11.2879 2.12236
162.933 8.21906 11.7471 2.07709
162.989 8.33377 12.2127 2.02222
163.045 8.44552 12.6846 1.96694
163.101 8.55433 13.1628 1.91685
163.157 8.66061 13.647 1.87703
163.213 8.76469 14.137 1.83395
163.27 8.86581 14.6329 1.77522
163.326 8.96398 15.1343 1.73016
163.382 9.05955 15.6411 1.68024
163.438 9.1525 16.1532 1.63774
163.494 9.2427 16.6704 1.58894
163.551 9.33029 17.1926 1.53904
163.607 9.41534 17.7197 1.4967
163.663 9.49768 18.2514 1.44551
163.719 9.577 18.7877 1.39915
163.775 9.65422 19.3283 1.35691
163.831 9.72887 19.8732 1.30954
163.888 9.80076 20.4222 1.26016
163.944 9.87026 20.9752 1.22119
164 9.93763 21.532 1.18665
164.056 10.0029 22.0925 1.14727
164.112 10.0661 22.6566 1.11377
164.169 10.1278 23.2242 1.08517
164.225 10.1874 23.7952 1.04621
164.281 10.2451 24.3695 1.01198
164.337 10.3009 24.9469 0.981906
164.393 10.3549 25.5275 0.945556
164.449 10.4068 26.111 0.910661
164.506 10.4569 26.6973 0.878851
164.562 10.5056 27.2864 0.861505
164.618 10.5532 27.8782 0.836303
164.674 10.5995 28.4727 0.818851
164.73 10.6448 29.0697 0.798691
164.787 10.6889 29.6692 0.776384
164.843 10.7318 30.2711 0.753502
164.899 10.7735 30.8755 0.741086
164.955 10.814 31.4821 0.711713
165.011 10.8533 32.0909 0.693096
165.067 10.8914 32.702 0.668556
165.124 10.9283 33.3151 0.64939
165.18 10.9645 33.9303 0.640168
165.236 10.9994 34.5474 0.614211
165.292 11.0327 35.1665 0.579791
165.348 11.0647 35.7874 0.557306
165.404 11.0954 36.4101 0.540168
165.461 11.1249 37.0344 0.514378
165.517 11.153 37.6603 0.488999
165.573 11.18 38.2878 0.469126
165.629 11.2057 38.9168 0.451166
165.685 11.2304 39.5472 0.43061
165.742 11.2539 40.1789 0.407208
165.798 11.2762 40.8119 0.391609
165.854 11.2978 41.4461 0.381257
165.91 11.3191 42.0815 0.37417
165.966 11.3401 42.7182 0.371063
166.022 11.3608 43.3559 0.368115
166.079 11.3815 43.9949 0.371354
166.135 11.4021 44.635 0.364193
166.191 11.4223 45.2762 0.357772
166.247 11.4421 45.9186 0.346766
166.303 11.4613 46.5621 0.335299
166.36 11.4797 47.2066 0.325495
166.416 11.4978 47.8521 0.316272
166.472 11.5154 48.4987 0.310918
166.528 11.5327 49.1462 0.303435
166.584 11.5496 49.7947 0.298254
166.64 11.5663 50.4441 0.296022
166.697 11.5827 51.0944 0.2916
166.753 11.5989 51.7457 0.285185
166.809 11.6149 52.3979 0.282674
166.865 11.6305 53.0509 0.275826
166.921 11.6456 53.7048 0.264554
166.978 11.6604 54.3596 0.260895
167.034 11.6746 55.0151 0.251928
167.09 11.6885 55.6715 0.241997
167.146 11.7019 56.3286 0.234783
167.202 11.7148 56.9864 0.228419
167.258 11.7273 57.645 0.22034
167.315 11.7394 58.3042 0.210291
167.371 11.7511 58.9641 0.206264
167.427 11.7621 59.6247 0.193073
167.483 11.7728 60.2858 0.186471
167.539 11.7832 60.9476 0.179853
167.596 11.7932 61.6099 0.176684
167.652 11.8029 62.2728 0.164269
167.708 11.812 62.9362 0.162743
167.764 11.8206 63.6001 0.149101
167.82 11.8288 64.2644 0.141211
167.876 11.8366 64.9292 0.136296
167.933 11.8439 65.5944 0.125859
167.989 11.8507 66.2601 0.114286
168.045 11.8571 66.9261 0.115528
168.101 11.8631 67.5924 0.102593
168.157 11.8687 68.259 0.096147
168.213 11.874 68.926 0.0951598
168.27 11.879 69.5933 0.0862729
168.326 11.8836 70.2608 0.0782277
168.382 11.8879 70.9285 0.076798
168.438 11.8919 71.5965 0.0699711
168.494 11.8956 72.2647 0.0616431
168.551 11.899 72.9331 0.0615028
168.607 11.9021 73.6017 0.0515432
168.663 11.9049 74.2705 0.048329
168.719 11.9076 74.9394 0.0451725
168.775 11.91 75.6084 0.0457923
168.831 11.9122 76.2776 0.0353843
168.888 11.9144 76.9469 0.0402145
168.944 11.9164 77.6163 0.0353799
169 11.9184 78.2859 0.0344111
169.056 11.9203 78.9555 0.0340174
169.112 11.9221 79.6252 0.0332772
169.169 11.9238 80.2951 0.025995
169.225 11.9255 80.965 0.0347069
169.281 11.9272 81.635 0.0334236
169.337 11.9289 82.3052 0.0272604
169.393 11.9307 82.9754 0.0335651
169.449 11.9324 83.6457 0.0333057
169.506 11.9342 84.3161 0.0295488
169.562 11.9362 84.9867 0.0388928
169.618 11.9382 85.6573 0.0375538
169.674 11.9403 86.3281 0.0339214
169.73 11.9425 86.9989 0.040854
169.787 11.9446 87.6699 0.0391453
169.843 11.9466 88.3411 0.0328185
169.899 11.9489 89.0123 0.0425114
169.955 11.9511 89.6836 0.0424048
170.011 11.9536 90.3551 0.0431343
170.067 11.9564 91.0268 0.0530066
170.124 11.9593 91.6986 0.0539576
170.18 11.9624 92.3706 0.0529672
