# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
161.00 62.3806 3.49879 -2.4059 -2.15782 -2.31821 -2.36261 -2.38109 -2.40442 -2.40112 -2.40488 -2.406 -2.40496 -2.40735 -2.40727 -2.40709 2124.39
162.00 65.8219 3.05838 -5.8298 -5.42815 -5.68733 -5.75921 -5.78943 -5.81695 -5.81921 -5.82786 -5.83126 -5.82892 -5.83284 -5.83319 -5.83369 2126.05
163.00 68.3764 1.98814 -8.35542 -7.86572 -8.17022 -8.2656 -8.3028 -8.33841 -8.35694 -8.35927 -8.36016 -8.33633 -8.36095 -8.36236 -8.36155 2127.62
164.00 69.9835 1.17332 -9.93622 -9.38475 -9.73263 -9.83364 -9.87707 -9.89462 -9.92057 -9.93324 -9.93871 -9.87381 -9.93923 -9.9446 -9.94561 2129.37
165.00 70.9214 0.687402 -10.8437 -10.2575 -10.6173 -10.7321 -10.7751 -10.7767 -10.8272 -10.8429 -10.8462 -10.7457 -10.8323 -10.8501 -10.8538 2129.77
166.00 71.4507 0.365001 -11.3504 -10.7488 -11.1023 -11.2294 -11.2721 -11.2916 -11.3307 -11.3463 -11.3514 -11.2268 -11.3219 -11.3512 -11.3588 2129.99
167.00 71.7906 0.252393 -11.6634 -11.0183 -11.4015 -11.5262 -11.5672 -11.6006 -11.6385 -11.6573 -11.662 -11.5146 -11.6232 -11.6565 -11.6684 2130.35
168.00 72.0066 0.115686 -11.8489 -11.2141 -11.57 -11.6799 -11.729 -11.7738 -11.819 -11.834 -11.8427 -11.6791 -11.7969 -11.8325 -11.8496 2130.46
169.00 72.1003 0.0340244 -11.915 -11.238 -11.5847 -11.7046 -11.7704 -11.8205 -11.8673 -11.8895 -11.9037 -11.7246 -11.8466 -11.8893 -11.9112 2130.48
170.00 72.1607 0.0479312 -11.9495 -11.1514 -11.5491 -11.6938 -11.7852 -11.8085 -11.8836 -11.9157 -11.9359 -11.7232 -11.865 -11.9167 -11.9425 2130.57
171.00 72.2574 0.0921523 -12.0213 -11.0539 -11.5376 -11.7231 -11.8368 -11.7867 -11.9417 -11.9819 -12.008 -11.7607 -11.9231 -11.9827 -12.013 2130.7
172.00 72.4145 0.165857 -12.1519 -11.0209 -11.5879 -11.8226 -11.9511 -11.8745 -12.0614 -12.1118 -12.1402 -11.8534 -12.0448 -12.1112 -12.143 2130.79
173.00 72.6305 0.199722 -12.3383 -11.0641 -11.7003 -11.9827 -12.1212 -12.0257 -12.2342 -12.298 -12.3279 -12.0028 -12.2226 -12.2956 -12.33 2130.99
174.00 72.8579 0.198925 -12.5382 -11.1463 -11.847 -12.16 -12.3081 -12.1854 -12.4219 -12.4991 -12.5283 -12.1668 -12.4115 -12.4953 -12.5311 2131.16
175.00 73.0785 0.179916 -12.7356 -11.2308 -12.0113 -12.3349 -12.4961 -12.3606 -12.6119 -12.6964 -12.7273 -12.3256 -12.5964 -12.6918 -12.7289 2131.43
176.00 73.2829 0.181415 -12.9175 -11.3234 -12.1615 -12.4965 -12.6703 -12.5188 -12.7557 -12.8545 -12.8974 -12.4693 -12.7669 -12.8716 -12.9099 2131.58
177.00 73.4924 0.173325 -13.1006 -11.4407 -12.3057 -12.6626 -12.8395 -12.6875 -12.9373 -13.0347 -13.08 -12.617 -12.9404 -13.0493 -13.0923 2131.76
178.00 73.6706 0.121824 -13.2491 -11.5412 -12.4298 -12.7877 -12.9717 -12.8012 -13.0785 -13.179 -13.2259 -12.737 -13.0768 -13.1911 -13.2391 2131.88
179.00 73.8117 0.0977862 -13.3606 -11.6217 -12.5011 -12.8678 -13.0656 -12.8991 -13.1786 -13.2823 -13.3359 -12.8226 -13.1764 -13.2942 -13.3494 2132.01
180.00 73.9187 0.0594443 -13.4394 -11.6519 -12.5319 -12.9131 -13.1201 -12.9534 -13.2444 -13.3525 -13.4112 -12.8723 -13.2407 -13.3652 -13.4253 2132.09
181.00 74.0121 0.0789112 -13.5057 -11.6493 -12.5478 -12.9423 -13.1706 -12.9864 -13.294 -13.4106 -13.4778 -12.9055 -13.2909 -13.4247 -13.4899 2132.14
182.00 74.1158 0.0815654 -13.5817 -11.6439 -12.569 -12.9821 -13.2267 -12.9781 -13.3462 -13.4832 -13.5526 -12.9424 -13.3529 -13.4962 -13.5636 2132.23
183.00 74.2396 0.0998413 -13.676 -11.6485 -12.6025 -13.0493 -13.2981 -13.0344 -13.4259 -13.5737 -13.6472 -13.0004 -13.4328 -13.5871 -13.657 2132.33
184.00 74.3677 0.10107 -13.7729 -11.6633 -12.6485 -13.1216 -13.3798 -13.0898 -13.5147 -13.666 -13.7436 -13.0565 -13.5198 -13.6779 -13.7532 2132.42
185.00 74.5057 0.0931719 -13.879 -11.6964 -12.6988 -13.208 -13.4667 -13.1604 -13.6073 -13.7711 -13.8488 -13.1182 -13.6109 -13.7798 -13.8586 2132.58
186.00 74.6111 0.04918 -13.9539 -11.7052 -12.7356 -13.2582 -13.5216 -13.191 -13.6715 -13.8429 -13.9226 -13.1536 -13.6716 -13.8503 -13.9323 2132.66
187.00 74.6804 0.0263745 -13.9933 -11.7041 -12.7402 -13.2814 -13.5477 -13.2049 -13.699 -13.8776 -13.9603 -13.1592 -13.6969 -13.8845 -13.9701 2132.58
188.00 74.7221 -0.0091665 -14.0053 -11.6916 -12.7209 -13.2745 -13.5367 -13.1756 -13.6968 -13.8856 -13.9687 -13.128 -13.6931 -13.892 -13.9795 2132.52
189.00 74.6927 -0.0816226 -13.9478 -11.6438 -12.6359 -13.1923 -13.4603 -13.0984 -13.6175 -13.8183 -13.9094 -13.0467 -13.6157 -13.8244 -13.9206 2132.43
190.00 74.5944 -0.175774 -13.8216 -11.6121 -12.4984 -13.0375 -13.3175 -12.9339 -13.4657 -13.6799 -13.7798 -12.8869 -13.4621 -13.6885 -13.7915 2132.05
191.00 74.4037 -0.242755 -13.6038 -11.4988 -12.2978 -12.7977 -13.0923 -12.6908 -13.2189 -13.4491 -13.558 -12.6496 -13.2189 -13.4601 -13.5696 2132.29
192.00 74.1378 -0.309915 -13.3118 -11.3897 -12.0723 -12.4904 -12.7912 -12.3972 -12.8902 -13.1386 -13.2602 -12.3652 -12.8956 -13.1524 -13.2737 2132.24
193.00 73.8429 -0.322704 -12.9901 -11.3226 -11.8349 -12.1852 -12.4537 -12.1575 -12.5406 -12.7991 -12.9281 -12.0746 -12.5455 -12.8108 -12.9427 2132.11
194.00 73.5604 -0.277214 -12.6788 -11.2621 -11.6738 -11.9021 -12.1428 -11.8889 -12.1953 -12.4638 -12.6047 -11.8256 -12.2068 -12.4816 -12.6224 2132.26
195.00 73.35 -0.20054 -12.4376 -11.2593 -11.5878 -11.7133 -11.903 -11.7355 -11.9453 -12.1974 -12.3506 -11.6753 -11.9616 -12.2155 -12.3705 2132.32
196.00 73.2224 -0.107835 -12.2792 -11.2509 -11.5295 -11.6066 -11.7626 -11.6633 -11.7885 -12.016 -12.179 -11.6014 -11.8062 -12.037 -12.1986 2132.35
197.00 73.1684 -0.0417261 -12.1957 -11.2994 -11.57 -11.5674 -11.6822 -11.6836 -11.7179 -11.9135 -12.0773 -11.6205 -11.7378 -11.935 -12.1002 2132.47
198.00 73.1637 -0.00756692 -12.1649 -11.3133 -11.5791 -11.5718 -11.6453 -11.709 -11.7027 -11.8676 -12.0331 -11.646 -11.7246 -11.8946 -12.0565 2132.59
199.00 73.184 -0.00471167 -12.164 -11.3345 -11.5802 -11.5771 -11.6374 -11.7386 -11.6962 -11.8494 -12.0218 -11.6835 -11.7282 -11.8815 -12.0464 2133.97
200.00 73.224 0.0292949 -12.1802 -11.3247 -11.5757 -11.5406 -11.6458 -11.7447 -11.7081 -11.8485 -12.0293 -11.7026 -11.7514 -11.8877 -12.0559 2134.65
