# t dissipation energy Reynolds eta
160.001 0 0 0 0
160.003 0.00864687 0.00155775 0.0320284 5.14653
160.006 0.00330819 0.000643727 0.0213981 6.54383
160.009 0.00216789 0.000451004 0.0185195 7.27311
160.014 0.00148536 0.000329697 0.0163556 7.99414
160.019 0.00104615 0.000253065 0.014959 8.72633
160.024 0.000761485 0.000208151 0.0144217 9.44744
160.03 0.000576752 0.000186766 0.0148686 10.127
160.037 0.000459897 0.000184298 0.0164308 10.7168
160.044 0.000391254 0.000198272 0.0191646 11.1587
160.051 0.000362859 0.000231781 0.0232636 11.3709
160.059 0.000354405 0.000273919 0.0278189 11.4381
160.067 0.000381566 0.000355364 0.0347822 11.2289
160.075 0.000418218 0.000441415 0.041268 10.9744
160.084 0.000457394 0.000534683 0.047799 10.7314
160.092 0.000503837 0.000640643 0.0545681 10.4751
160.101 0.000559096 0.000761081 0.0615398 10.2061
160.111 0.000623374 0.000896777 0.0686718 9.93213
160.12 0.000698098 0.00105059 0.0760228 9.65496
160.13 0.000782404 0.00122188 0.0835184 9.38365
160.14 0.000878049 0.00141452 0.091268 9.11696
160.149 0.000983288 0.00162548 0.0991079 8.86256
160.159 0.0010967 0.00185301 0.10698 8.62397
160.17 0.00121821 0.00209721 0.114881 8.40039
160.18 0.00134769 0.00235785 0.122797 8.19091
160.19 0.00148206 0.00262947 0.130588 7.99858
160.2 0.00162469 0.00291783 0.138402 7.81694
160.211 0.00177482 0.00322199 0.146223 7.64612
160.222 0.00193096 0.00353947 0.154 7.48663
160.232 0.00209728 0.00387679 0.16185 7.33357
160.243 0.00226849 0.00422559 0.169624 7.1911
160.254 0.00244425 0.00458724 0.177397 7.05819
160.264 0.00263862 0.00498418 0.185513 6.92445
160.275 0.00283892 0.00539123 0.193455 6.79894
160.286 0.00304408 0.00581189 0.201399 6.68137
160.297 0.00325504 0.00624637 0.209323 6.57038
160.308 0.00347314 0.00669779 0.217289 6.46471
160.319 0.00369342 0.00715794 0.225186 6.36608
160.33 0.0039189 0.00763086 0.233056 6.27247
160.341 0.00415018 0.00811669 0.240887 6.18319
160.352 0.00438902 0.00861313 0.248568 6.0973
160.363 0.00463436 0.00912814 0.256363 6.01495
160.374 0.00488377 0.0096601 0.264285 5.93664
160.385 0.00513549 0.0102038 0.272232 5.86252
160.396 0.00538697 0.0107516 0.280072 5.79287
160.407 0.00563576 0.0112941 0.287637 5.72785
160.418 0.00587548 0.0118193 0.294808 5.66851
160.429 0.0061026 0.012328 0.30172 5.61502
160.44 0.00635049 0.0128833 0.309094 5.5594
160.451 0.00662213 0.0134772 0.316642 5.50149
160.463 0.00690591 0.0140881 0.324124 5.44408
160.474 0.00719198 0.0147108 0.331649 5.38911
160.485 0.00747208 0.0153243 0.338945 5.33788
160.496 0.00775264 0.0159466 0.346266 5.28892
160.507 0.00808287 0.0166758 0.354628 5.23405
160.519 0.00839867 0.0173484 0.361928 5.18414
160.53 0.00869476 0.0180028 0.36913 5.13943
160.541 0.00898681 0.0186644 0.376426 5.09716
160.552 0.00928726 0.0193418 0.383726 5.05542
160.563 0.00959756 0.020035 0.391 5.01406
160.575 0.00990017 0.0207172 0.398087 4.9753
160.586 0.0101968 0.0213946 0.405079 4.93871
160.597 0.0104998 0.0220864 0.412099 4.90269
160.608 0.0108074 0.0227845 0.419033 4.86743
160.619 0.0111171 0.023488 0.425911 4.83316
160.631 0.0114211 0.0241871 0.432712 4.80068
160.642 0.011727 0.0248971 0.439565 4.76906
160.653 0.0120333 0.0256058 0.446286 4.73841
160.664 0.012347 0.0263264 0.45298 4.70803
160.675 0.012657 0.0270708 0.46005 4.67894
160.687 0.0129617 0.0278019 0.466885 4.65119
160.698 0.0132481 0.0285107 0.473586 4.62585
160.709 0.0135456 0.0292464 0.480443 4.60024
160.72 0.0138336 0.0299378 0.486655 4.5761
160.731 0.0141207 0.0306264 0.492761 4.55266
160.743 0.0144114 0.0313117 0.49868 4.52953
160.754 0.0146937 0.0319955 0.504651 4.50762
160.765 0.0149696 0.0326753 0.510602 4.4867
160.776 0.0152381 0.033344 0.516442 4.46681
160.787 0.0155239 0.0340388 0.522326 4.4461
160.798 0.0158271 0.0348115 0.529043 4.42466
160.81 0.016119 0.0355489 0.535334 4.40448
160.821 0.0164079 0.0362772 0.541471 4.38497
160.832 0.0167035 0.037005 0.547424 4.36543
160.843 0.0169967 0.0377193 0.553159 4.34649
160.854 0.0172858 0.0384329 0.558891 4.3282
160.866 0.0175725 0.03914 0.564511 4.31044
160.877 0.0178503 0.0398374 0.570081 4.29357
160.888 0.0181316 0.0405342 0.575535 4.27682
160.899 0.0183979 0.041228 0.581134 4.26126
160.91 0.0186681 0.0419302 0.586739 4.24575
160.922 0.0189564 0.0426431 0.592159 4.22951
160.933 0.0192511 0.043376 0.59771 4.21324
160.944 0.0195506 0.0441337 0.603474 4.19701
160.955 0.0198268 0.0448317 0.608734 4.18231
160.966 0.0201127 0.0455521 0.614103 4.16737
160.978 0.0203927 0.0462588 0.619334 4.15299
160.989 0.0206669 0.0469834 0.624849 4.13915
161 0.0209059 0.0476395 0.629943 4.12727
161.011 0.0211396 0.0483061 0.635216 4.11581
161.022 0.0213859 0.0489887 0.640472 4.10391
161.034 0.0216541 0.0496988 0.645719 4.09114
161.045 0.0219327 0.0504088 0.650772 4.07809
161.056 0.0222185 0.0511252 0.655761 4.06491
161.067 0.0225026 0.0518509 0.660858 4.05202
161.079 0.022781 0.0525816 0.666063 4.03958
161.09 0.0230592 0.0533018 0.671101 4.02734
161.101 0.0233406 0.0540168 0.675991 4.01515
161.112 0.0236104 0.0547078 0.680715 4.00363
161.124 0.0238349 0.0553708 0.685712 3.99417
161.135 0.0240799 0.0560632 0.690746 3.98397
161.146 0.0243251 0.0567291 0.69542 3.97389
161.157 0.0245885 0.0574208 0.700118 3.96321
161.169 0.0248782 0.058165 0.70505 3.95162
161.18 0.02517 0.0588957 0.709758 3.94012
161.191 0.0254642 0.0596361 0.714516 3.92868
161.202 0.0257547 0.0603638 0.719144 3.91756
161.213 0.0260235 0.0610722 0.723817 3.9074
161.225 0.0262649 0.0617586 0.728581 3.89839
161.236 0.026501 0.0624235 0.733137 3.88968
161.247 0.0267376 0.0630796 0.737557 3.88105
161.258 0.0269865 0.0637701 0.742184 3.87207
161.27 0.027261 0.064493 0.746809 3.86228
161.281 0.0275285 0.0652027 0.75135 3.85287
161.292 0.0277906 0.0659171 0.755991 3.84375
161.303 0.0280428 0.0666173 0.76058 3.83508
161.315 0.0282881 0.0673067 0.765111 3.82674
161.326 0.0285386 0.0680037 0.769635 3.81831
161.337 0.0288071 0.0686973 0.773852 3.80938
161.348 0.0290695 0.0693746 0.777946 3.80076
161.36 0.0293053 0.0700419 0.782263 3.79309
161.371 0.0295303 0.0707068 0.786674 3.78584
161.382 0.0297483 0.071372 0.791162 3.77889
161.393 0.0299905 0.072054 0.795489 3.77124
161.404 0.0302426 0.0727664 0.8 3.76335
161.416 0.0305089 0.073501 0.804541 3.75511
161.427 0.0307926 0.0742554 0.809045 3.74643
161.438 0.0310448 0.0749472 0.81326 3.7388
161.449 0.0313096 0.0756581 0.817494 3.73087
161.461 0.031603 0.0763836 0.821493 3.72218
161.472 0.0319001 0.0771053 0.825385 3.71348
161.483 0.032144 0.0778 0.829655 3.70642
161.494 0.0323766 0.0784775 0.833868 3.69974
161.506 0.0326429 0.0791918 0.838019 3.69218
161.517 0.032905 0.0799127 0.842272 3.6848
161.528 0.033149 0.080602 0.846405 3.678
161.539 0.0334316 0.0813178 0.850306 3.6702
161.551 0.033697 0.0820069 0.854127 3.66296
161.562 0.0339344 0.0827005 0.858334 3.65653
161.573 0.0341774 0.0833852 0.862358 3.65002
161.584 0.0344294 0.0840704 0.866256 3.64332
161.596 0.0346966 0.0847896 0.870296 3.63628
161.607 0.0349177 0.0854276 0.874064 3.63051
161.618 0.035137 0.0860912 0.8781 3.62484
161.629 0.035371 0.0867737 0.882129 3.61883
161.64 0.035608 0.0874443 0.885983 3.61279
161.652 0.0358237 0.0881039 0.889975 3.60734
161.663 0.0360362 0.0888002 0.89436 3.60201
161.674 0.0362672 0.0895215 0.898748 3.59626
161.685 0.0364982 0.0902078 0.902768 3.59056
161.697 0.0367376 0.0908933 0.90666 3.58469
161.708 0.0369761 0.0915844 0.910603 3.5789
161.719 0.0372147 0.0922772 0.914546 3.57315
161.73 0.0374784 0.0929317 0.917785 3.56685
161.742 0.0377135 0.0935631 0.921137 3.56127
161.753 0.0379539 0.0942513 0.924969 3.55562
161.764 0.0382061 0.0949283 0.928533 3.54974
161.775 0.038466 0.095603 0.931968 3.54373
161.787 0.0386939 0.0962784 0.935784 3.5385
161.798 0.0389233 0.096933 0.939366 3.53327
161.809 0.0391766 0.0976137 0.942899 3.52755
161.82 0.0394111 0.098253 0.946247 3.52229
161.831 0.0396651 0.0989147 0.949564 3.51664
161.843 0.0399407 0.0995819 0.952666 3.51055
161.854 0.0402096 0.100309 0.956404 3.50467
161.865 0.0404233 0.100933 0.95981 3.50003
161.876 0.0406998 0.101685 0.96367 3.49407
161.888 0.0409317 0.102308 0.966824 3.48911
161.899 0.0411531 0.102897 0.969776 3.48441
161.91 0.0414483 0.103722 0.974062 3.47819
161.921 0.0415853 0.104199 0.976923 3.47532
161.933 0.0417663 0.104887 0.981241 3.47155
161.944 0.041915 0.105411 0.984392 3.46846
161.955 0.0420535 0.105966 0.987952 3.46561
161.966 0.0422059 0.106476 0.990905 3.46247
161.978 0.0423448 0.106972 0.993891 3.45963
161.989 0.0424854 0.107515 0.997278 3.45676
162 0.0426627 0.10805 1.00016 3.45317
162.011 0.0428685 0.108635 1.00316 3.44901
162.022 0.0429979 0.109101 1.00594 3.44642
162.034 0.043172 0.109658 1.00904 3.44294
162.045 0.0434129 0.110276 1.01191 3.43815
162.056 0.0436539 0.11091 1.01491 3.4334
162.067 0.0438601 0.111497 1.01788 3.42935
162.079 0.0440706 0.112101 1.02095 3.42525
162.09 0.0442782 0.11272 1.02418 3.42123
162.101 0.0444941 0.113244 1.02644 3.41707
162.112 0.0447274 0.113738 1.02823 3.41261
162.124 0.0449287 0.114289 1.03089 3.40878
162.135 0.0451546 0.114865 1.03348 3.40451
162.146 0.0454266 0.115491 1.036 3.3994
162.157 0.0456516 0.116033 1.0383 3.3952
162.169 0.0458673 0.116619 1.04109 3.3912
162.18 0.0461005 0.117221 1.04381 3.38691
162.191 0.0462801 0.117725 1.04626 3.38361
162.202 0.046422 0.118251 1.04933 3.38103
162.213 0.046579 0.118755 1.05202 3.37817
162.225 0.0467183 0.11925 1.05483 3.37565
162.236 0.0468877 0.119747 1.05732 3.3726
162.247 0.0470612 0.120282 1.06007 3.36949
162.258 0.0471713 0.120746 1.06293 3.36752
162.27 0.0472631 0.121173 1.06565 3.36588
162.281 0.0473957 0.121661 1.06844 3.36353
162.292 0.0475171 0.122127 1.07116 3.36138
162.303 0.0476635 0.122575 1.07344 3.35879
162.315 0.0478291 0.123034 1.07559 3.35588
162.326 0.0479654 0.123482 1.07798 3.35349
162.337 0.0481211 0.123922 1.08006 3.35078
162.348 0.048317 0.124417 1.08218 3.34738
162.36 0.0484816 0.124916 1.08467 3.34453
162.371 0.048637 0.125395 1.08709 3.34186
162.382 0.0488093 0.125907 1.0896 3.3389
162.393 0.0489614 0.126416 1.09231 3.33631
162.404 0.0491319 0.126905 1.09463 3.33341
162.416 0.0493447 0.127431 1.09679 3.32981
162.427 0.0495167 0.127921 1.09909 3.32691
162.438 0.0497348 0.128426 1.10101 3.32326
162.449 0.0499543 0.128884 1.1025 3.3196
162.461 0.0501461 0.129346 1.10434 3.31642
162.472 0.0503407 0.129769 1.10581 3.31322
162.483 0.0505719 0.13025 1.10737 3.30942
162.494 0.0507464 0.130705 1.10932 3.30657
162.506 0.0509077 0.131172 1.11152 3.30395
162.517 0.0511085 0.131702 1.11381 3.3007
162.528 0.051251 0.132152 1.11607 3.29841
162.539 0.0514078 0.132619 1.1183 3.29589
162.551 0.0515921 0.133127 1.12058 3.29294
162.562 0.0516798 0.133524 1.12297 3.29154
162.573 0.0517695 0.133897 1.12513 3.29011
162.584 0.0519518 0.13441 1.12745 3.28722
162.596 0.0520913 0.134837 1.12952 3.28502
162.607 0.0522059 0.135259 1.13181 3.28322
162.618 0.0523628 0.13571 1.13388 3.28075
162.629 0.0524886 0.136126 1.13599 3.27879
162.64 0.0526365 0.136611 1.13844 3.27648
162.652 0.0527429 0.136991 1.14045 3.27483
162.663 0.0527877 0.137341 1.14288 3.27413
162.674 0.0528693 0.137731 1.14525 3.27287
162.685 0.0529776 0.138138 1.14745 3.27119
162.697 0.053097 0.138583 1.14986 3.26936
162.708 0.0532433 0.13901 1.15181 3.26711
162.719 0.0534342 0.139441 1.15331 3.26418
162.73 0.0535924 0.139867 1.15513 3.26177
162.742 0.0537437 0.140299 1.15707 3.25948
162.753 0.0539297 0.140764 1.1589 3.25666
162.764 0.0540684 0.14117 1.16075 3.25457
162.775 0.0542244 0.141595 1.16257 3.25223
162.787 0.0543853 0.142043 1.16452 3.24982
162.798 0.0544818 0.142483 1.16709 3.24838
162.809 0.054617 0.142924 1.16925 3.24637
162.82 0.0547752 0.143357 1.1711 3.24402
162.831 0.0548859 0.143767 1.17327 3.24238
162.843 0.055024 0.14419 1.17524 3.24035
162.854 0.0551881 0.144597 1.1768 3.23793
162.865 0.0553521 0.145044 1.17869 3.23553
162.876 0.0555061 0.145422 1.18013 3.23329
162.888 0.0557285 0.145894 1.18159 3.23006
162.899 0.0559277 0.146369 1.18332 3.22718
162.91 0.0561348 0.146883 1.18529 3.2242
162.921 0.0563286 0.147341 1.18694 3.22142
162.933 0.0564301 0.147724 1.18895 3.21997
162.944 0.0565405 0.148073 1.19059 3.2184
162.955 0.0567196 0.148509 1.19222 3.21585
162.966 0.0568609 0.148951 1.19428 3.21385
162.978 0.0569722 0.149375 1.19651 3.21228
162.989 0.0571187 0.149835 1.19865 3.21022
163 0.0572085 0.150228 1.20085 3.20896
163.011 0.0573126 0.150639 1.20304 3.2075
163.022 0.0574427 0.15107 1.20512 3.20569
163.034 0.0575179 0.151441 1.20728 3.20464
163.045 0.0576191 0.151829 1.20932 3.20323
163.056 0.057773 0.15224 1.21097 3.20109
163.067 0.0578865 0.152618 1.21279 3.19952
163.079 0.0580096 0.153043 1.21488 3.19782
163.09 0.0581662 0.153476 1.21667 3.19567
163.101 0.058265 0.153831 1.21845 3.19431
163.112 0.0583889 0.154231 1.22033 3.19262
163.124 0.0585236 0.154649 1.22222 3.19078
163.135 0.0585913 0.155044 1.22463 3.18986
163.146 0.0586953 0.15548 1.22699 3.18844
163.157 0.0588466 0.155933 1.22898 3.18639
163.169 0.0589548 0.156349 1.23113 3.18493
163.18 0.0591156 0.156789 1.23291 3.18276
163.191 0.0593295 0.157277 1.23452 3.17989
163.202 0.0594606 0.157644 1.23604 3.17813
163.213 0.0596098 0.158021 1.23744 3.17614
163.225 0.05977 0.15842 1.2389 3.17401
163.236 0.0598159 0.158712 1.24071 3.1734
163.247 0.0598894 0.159013 1.2423 3.17243
163.258 0.0600224 0.159353 1.24358 3.17067
163.27 0.0600773 0.159608 1.24499 3.16995
163.281 0.0601598 0.159921 1.24658 3.16886
163.292 0.0602704 0.160286 1.24828 3.1674
163.303 0.0603253 0.160613 1.25025 3.16668
163.315 0.0603932 0.160956 1.25222 3.16579
163.326 0.0605006 0.161312 1.25388 3.16439
163.337 0.0605325 0.161609 1.25586 3.16397
163.348 0.0606179 0.161971 1.25778 3.16286
163.36 0.0607211 0.162261 1.25896 3.16151
163.371 0.0608393 0.162697 1.26112 3.15997
163.382 0.0609232 0.162946 1.26218 3.15889
163.393 0.0610679 0.1633 1.26342 3.15701
163.404 0.0611359 0.163593 1.26498 3.15613
163.416 0.0612382 0.163934 1.26656 3.15482
