# t Vfull Vtag Wfull Wtag xc zc nregions
161 2124.3891 2029.9970 3.498791 3.711624 60.0001 62.3808 1
162 2126.0533 2032.0611 3.058383 3.330403 60.0004 65.8219 1
163 2127.6216 2040.7962 1.988141 2.279605 60.0014 68.3763 1
164 2129.3696 2022.5432 1.173320 1.523363 60.0068 69.9833 1
165 2129.7739 2026.4619 0.687402 1.034276 60.0214 70.9212 1
166 2129.9948 2029.9721 0.365001 0.722126 60.0441 71.4504 1
167 2130.3536 2020.4859 0.252393 0.628496 60.0739 71.7902 1
168 2130.4645 2031.7494 0.115686 0.463068 60.1048 72.0062 1
169 2130.4825 2038.6562 0.034024 0.366964 60.1162 72.1000 1
170 2130.5671 2038.2216 0.047931 0.385384 60.1366 72.1604 1
171 2130.7048 2033.9607 0.092152 0.438647 60.1862 72.2571 1
172 2130.7897 2034.5598 0.165857 0.502942 60.2083 72.4142 1
173 2130.9868 2032.3800 0.199722 0.524956 60.2218 72.6302 1
174 2131.1612 2033.4869 0.198925 0.530431 60.2531 72.8577 1
175 2131.4296 2031.0617 0.179916 0.542760 60.2701 73.0782 1
176 2131.5768 2035.0107 0.181415 0.517949 60.2419 73.2826 1
177 2131.7621 2036.8011 0.173325 0.483193 60.2120 73.4921 1
178 2131.8754 2030.4831 0.121824 0.449136 60.2438 73.6704 1
179 2132.0069 2033.0157 0.097786 0.441495 60.3336 73.8115 1
180 2132.0913 2031.9828 0.059444 0.402890 60.4170 73.9184 1
181 2132.1437 2034.8863 0.078911 0.418437 60.4759 74.0118 1
182 2132.2333 2032.0743 0.081565 0.437435 60.5501 74.1155 1
183 2132.3347 2035.4014 0.099841 0.436005 60.6945 74.2393 1
184 2132.4241 2030.0758 0.101070 0.473182 60.8468 74.3674 1
185 2132.5811 2022.6352 0.093172 0.461588 61.0312 74.5054 1
186 2132.6603 2031.7384 0.049180 0.377613 61.2674 74.6108 1
187 2132.5802 2031.4876 0.026374 0.353080 61.5691 74.6801 1
188 2132.5178 2031.9655 -0.009166 0.329596 61.9734 74.7219 1
189 2132.4336 2029.5966 -0.081623 0.255260 62.5273 74.6924 1
190 2132.0494 2032.5822 -0.175774 0.147241 63.2616 74.5937 1
191 2132.2921 2035.2273 -0.242755 0.088956 64.1525 74.4017 1
192 2132.2381 2033.2329 -0.309915 0.034620 65.1602 74.1336 1
193 2132.1145 2028.8668 -0.322704 0.019389 66.2484 73.8345 1
194 2132.2612 2033.0448 -0.277214 0.047740 67.3478 73.5453 1
195 2132.3203 2034.5762 -0.200540 0.148401 68.3985 73.3265 1
196 2132.3526 2036.0409 -0.107835 0.236656 69.3411 73.2138 1
197 2132.4702 2038.6738 -0.041726 0.302229 70.1359 73.1711 1
198 2132.5943 2034.4544 -0.007567 0.342004 70.7569 73.1638 1
199 2133.9663 2038.1976 -0.004712 0.353066 71.2243 73.1836 1
200 2134.6489 2038.1180 0.029295 0.383891 71.5238 73.2228 1
201 2135.0883 2036.0409 0.036892 0.395092 71.6657 73.2764 1
202 2135.5265 2037.4286 0.051198 0.398583 71.7427 73.3421 1
203 2135.8450 2036.4127 0.077419 0.428257 71.7948 73.4281 1
