# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
76.0007 2006.97 60 60 60 -0.00655078 0.0593856 0.0546435 14.0625 14.0625 14.0625 15.65 1
76.0253 2015.31 59.9936 60.0578 60.0526 -0.401343 2.82397 2.60379 15.9375 15 14.0625 15.6716 1.13333
76.083 2026.12 59.968 60.2298 60.195 -0.436407 2.83653 2.7479 15.9375 15 15 15.6996 1.0625
76.1614 2026 59.9302 60.4521 60.432 -0.490688 2.85017 2.92594 15.9375 15 15 15.6993 1.0625
76.2528 2033.02 59.8838 60.7084 60.7056 -0.561288 2.8641 3.11882 15.9375 15 14.0625 15.7174 1.13333
76.3518 2030.45 59.8239 61.0017 61.039 -0.645647 2.87784 3.31774 15.9375 15.9375 14.0625 15.7108 1.13333
76.4552 2028.47 59.767 61.2964 61.3604 -0.723497 2.87801 3.5068 15.9375 15 13.125 15.7057 1.21429
76.56 2030.96 59.6771 61.5996 61.7374 -0.800501 2.87556 3.67639 16.875 15 14.0625 15.7121 1.2
76.6647 2028.96 59.5817 61.8844 62.1169 -0.870377 2.86624 3.83477 16.875 15.9375 13.125 15.707 1.28571
76.7695 2024.96 59.4974 62.2004 62.5287 -0.928058 2.85698 3.97715 16.875 15 13.125 15.6966 1.28571
76.8743 2027.38 59.3942 62.4892 62.9465 -0.982938 2.84443 4.11673 16.875 15 13.125 15.7029 1.28571
76.979 2024.98 59.301 62.7746 63.3701 -1.03323 2.83041 4.2636 15.9375 15.9375 13.125 15.6967 1.21429
77.0889 2026.35 59.1855 63.1026 63.8526 -1.09384 2.81551 4.4109 15.9375 15.9375 14.0625 15.7002 1.13333
77.2 2032.56 59.0605 63.416 64.3238 -1.14881 2.79765 4.56298 15.9375 15 13.125 15.7162 1.21429
77.3111 2026.78 58.9366 63.7159 64.8433 -1.1982 2.77852 4.73638 15.9375 15.9375 14.0625 15.7013 1.13333
77.4222 2023.32 58.7762 64.0292 65.3503 -1.25797 2.75225 4.8983 15 15 14.0625 15.6924 1.06667
77.5333 2031.48 58.6604 64.3342 65.914 -1.30419 2.73035 5.0725 15 15 14.0625 15.7134 1.06667
77.6444 2023.26 58.522 64.6346 66.4704 -1.355 2.71039 5.25881 15 15.9375 14.0625 15.6922 1.13333
77.7556 2025.36 58.3575 64.9404 67.0498 -1.39821 2.69307 5.41909 15.9375 15 15 15.6976 1.0625
77.8667 2035.1 58.1956 65.2409 67.6579 -1.43043 2.6816 5.56617 15.9375 15 14.0625 15.7228 1.13333
77.9778 2024.63 58.0335 65.5268 68.2788 -1.46267 2.68084 5.71772 15 15.9375 14.0625 15.6958 1.13333
78.0889 2032.3 57.8791 65.8423 68.8815 -1.4813 2.68965 5.83095 15 15.9375 15 15.7156 1.0625
78.2 2034.82 57.7199 66.1263 69.5371 -1.48584 2.70614 5.94142 15 15 14.0625 15.722 1.06667
78.3111 2030.08 57.558 66.4346 70.1944 -1.48884 2.7361 6.03962 15 15.9375 14.0625 15.7098 1.13333
78.4222 2020.88 57.3844 66.7483 70.8545 -1.48934 2.77266 6.12286 15 15.9375 15 15.6861 1.0625
78.5333 2025.72 57.2275 67.0524 71.5339 -1.46729 2.81452 6.1841 15.9375 15 14.0625 15.6986 1.13333
78.6444 2029.61 57.0618 67.3606 72.2019 -1.4344 2.86881 6.24393 15.9375 15.9375 14.0625 15.7086 1.13333
78.7556 2027.71 56.9109 67.6903 72.8794 -1.4103 2.93541 6.29009 15 15.9375 14.0625 15.7037 1.13333
78.8667 2031.44 56.7711 68.0192 73.5888 -1.37073 3.00226 6.3408 15 15 13.125 15.7133 1.14286
78.9778 2030.03 56.6283 68.3568 74.2846 -1.3344 3.0753 6.39847 15.9375 15.9375 14.0625 15.7097 1.13333
79.0889 2031.63 56.4836 68.7093 74.9717 -1.29987 3.14038 6.43708 15.9375 15.9375 14.0625 15.7138 1.13333
79.2 2033.17 56.3311 69.0488 75.6735 -1.25818 3.21078 6.49052 15.9375 15.9375 13.125 15.7178 1.21429
79.3111 2030.01 56.1846 69.405 76.3923 -1.21126 3.2926 6.54931 15.9375 15.9375 13.125 15.7096 1.21429
79.4222 2027.73 56.0756 69.7726 77.1023 -1.15597 3.34715 6.614 15.9375 15.9375 13.125 15.7038 1.21429
79.5333 2024.99 55.9582 70.1537 77.8272 -1.10399 3.41503 6.6652 15.9375 15.9375 14.0625 15.6967 1.13333
79.6444 2025.08 55.8477 70.5214 78.5688 -1.04553 3.48232 6.73264 15.9375 15.9375 13.125 15.6969 1.21429
79.7556 2030.05 55.7285 70.9405 79.3087 -0.974865 3.52905 6.79348 15.9375 16.875 13.125 15.7098 1.28571
