# i t cells coeurs_suggere(~100k/coeur)
10180 76.1614 729226 8
10200 76.56 713910 8
10220 76.979 704068 8
10240 77.4222 694625 7
10260 77.8667 687639 7
10280 78.3111 683859 7
10300 78.7556 678994 7
10320 79.2 671077 7
10340 79.6444 664980 7
10360 80.0889 660241 7
10380 80.5333 657280 7
10400 80.9778 657231 7
10420 81.4222 654165 7
10440 81.8667 652653 7
10460 82.3111 651715 7
10480 82.7556 652646 7
10500 83.2 653528 7
10520 83.6444 655698 7
10540 84.0889 659380 7
10560 84.5333 660472 7
10580 84.9778 663209 7
10600 85.4222 666114 7
10620 85.8667 666394 7
10640 86.3111 668417 7
# i t cells coeurs_suggere(~100k/coeur)
10620 85.6789 667647 7
10640 86.087 667563 7
10660 86.5315 669019 7
10680 86.9777 671966 7
10700 87.4222 675102 7
10720 87.8667 680093 7
10740 88.3111 685826 7
10760 88.7556 688535 7
10780 89.2 689123 7
10800 89.6444 686652 7
10820 90.0889 682900 7
10840 90.5333 680527 7
10860 90.9778 679358 7
10880 91.4222 679785 7
10900 91.8667 681003 7
10920 92.3111 682333 7
10940 92.7556 685763 7
10960 93.2 690663 7
10980 93.6444 695255 7
11000 94.0889 698398 7
11020 94.5333 701415 8
11040 94.9778 701345 8
11060 95.4222 702353 8
11080 95.8667 702696 8
11100 96.3111 703263 8
11120 96.7556 701310 8
11140 97.2 697572 7
11160 97.6444 691398 7
11180 98.0889 683614 7
11200 98.5333 675795 7
11220 98.9778 673905 7
11240 99.4222 676649 7
11260 99.8667 678056 7
11280 100.311 678833 7
11300 100.756 680562 7
11320 101.2 678448 7
11340 101.644 677335 7
11360 102.089 675844 7
11380 102.533 670909 7
11400 102.978 668655 7
11420 103.422 667143 7
11440 103.867 665596 7
11460 104.311 661655 7
11480 104.756 659499 7
11500 105.2 659968 7
11520 105.644 658162 7
11540 106.089 657987 7
11560 106.533 659009 7
11580 106.978 658974 7
11600 107.422 658295 7
11620 107.867 655278 7
11640 108.311 651575 7
11660 108.756 650700 7
11680 109.2 654690 7
11700 109.644 656944 7
11720 110.089 659142 7
11740 110.533 660668 7
11760 110.978 662684 7
11780 111.422 662593 7
11800 111.867 660577 7
11820 112.311 660129 7
11840 112.756 659772 7
11860 113.2 657504 7
11880 113.644 655754 7
11900 114.089 652989 7
11920 114.533 651288 7
11940 114.978 648313 7
11960 115.422 646143 7
11980 115.867 643777 7
12000 116.311 642363 7
12020 116.756 642132 7
12040 117.2 643805 7
12060 117.644 644540 7
12080 118.089 644512 7
12100 118.533 643882 7
12120 118.978 639598 7
12140 119.422 638100 7
12160 119.867 636000 7
12180 120.311 634334 7
12200 120.756 633844 7
12220 121.2 633508 7
12240 121.644 633214 7
12260 122.089 631716 7
12280 122.533 632633 7
12300 122.978 629126 7
12320 123.422 626011 7
12340 123.867 620600 7
12360 124.311 615133 7
12380 124.756 609036 7
12400 125.2 603156 7
12420 125.644 601875 7
