# t dissipation energy Reynolds eta
76.0007 1.28457 14.4987 24.4578 1.47415
76.0021 1.29069 14.5068 24.4134 1.47239
76.0054 1.28549 14.5062 24.4618 1.47388
76.0105 1.2778 14.5049 24.5331 1.47609
76.0171 1.27366 14.504 24.5713 1.47729
76.0253 1.27179 14.503 24.5878 1.47783
76.0346 1.27078 14.502 24.5959 1.47813
76.0453 1.27009 14.5011 24.6009 1.47833
76.0569 1.26957 14.5 24.6042 1.47848
76.0695 1.26914 14.499 24.6066 1.47861
76.083 1.2687 14.4978 24.6087 1.47873
76.0973 1.26826 14.4964 24.6107 1.47886
76.1123 1.26789 14.4951 24.612 1.47897
76.1282 1.26748 14.4936 24.6135 1.47909
76.1446 1.26706 14.4921 24.615 1.47921
76.1614 1.26674 14.4906 24.6157 1.4793
76.1789 1.26632 14.4889 24.6169 1.47943
76.1967 1.26595 14.4872 24.6174 1.47953
76.215 1.26558 14.4854 24.6181 1.47964
76.2337 1.26523 14.4837 24.6186 1.47975
76.2528 1.26482 14.4817 24.6192 1.47987
76.272 1.26451 14.4799 24.6191 1.47996
76.2917 1.26416 14.478 24.6192 1.48006
76.3113 1.26389 14.4761 24.6187 1.48014
76.3316 1.26357 14.4742 24.6186 1.48023
76.3518 1.26327 14.4724 24.6184 1.48032
76.3721 1.26294 14.4704 24.6184 1.48042
76.3924 1.26266 14.4685 24.6179 1.4805
76.4133 1.26236 14.4666 24.6175 1.48059
76.4343 1.26206 14.4648 24.6172 1.48067
76.4552 1.2618 14.4629 24.6165 1.48075
76.4762 1.2615 14.4609 24.6162 1.48084
76.4971 1.26127 14.4591 24.6154 1.48091
76.5181 1.26091 14.4572 24.6155 1.48101
76.539 1.26058 14.4552 24.6154 1.48111
76.56 1.26037 14.4536 24.6147 1.48117
76.5809 1.26 14.4517 24.6151 1.48128
76.6019 1.25969 14.4498 24.6149 1.48137
76.6228 1.25935 14.448 24.6151 1.48147
76.6438 1.25907 14.4462 24.6149 1.48155
76.6647 1.25878 14.4445 24.6148 1.48164
76.6857 1.25833 14.4425 24.6158 1.48177
76.7067 1.25798 14.4407 24.6162 1.48187
76.7276 1.25763 14.4389 24.6165 1.48198
76.7486 1.25719 14.437 24.6174 1.48211
76.7695 1.25675 14.435 24.6184 1.48224
76.7905 1.25633 14.4331 24.6193 1.48236
76.8114 1.25589 14.4312 24.6204 1.48249
76.8324 1.25552 14.4294 24.621 1.4826
76.8533 1.2551 14.4276 24.6219 1.48272
76.8743 1.25465 14.4257 24.6231 1.48285
76.8952 1.25422 14.4239 24.6243 1.48298
76.9162 1.25378 14.422 24.6254 1.48311
76.9371 1.25332 14.4201 24.6266 1.48325
76.9581 1.25298 14.4184 24.6271 1.48335
76.979 1.25256 14.4166 24.6282 1.48347
77 1.25211 14.4147 24.6294 1.48361
77.0222 1.25161 14.4127 24.6308 1.48375
77.0444 1.25117 14.4108 24.6318 1.48389
77.0667 1.2507 14.4088 24.633 1.48402
77.0889 1.2503 14.4069 24.6338 1.48414
77.1111 1.24984 14.405 24.635 1.48428
77.1333 1.24942 14.403 24.6359 1.48441
77.1556 1.24897 14.4011 24.637 1.48454
77.1778 1.24855 14.3993 24.6381 1.48466
77.2 1.24806 14.3973 24.6395 1.48481
77.2222 1.24772 14.3957 24.64 1.48491
77.2444 1.24732 14.3939 24.6409 1.48503
77.2667 1.24687 14.392 24.6421 1.48516
77.2889 1.24644 14.3901 24.6431 1.48529
77.3111 1.246 14.3882 24.6443 1.48542
77.3333 1.24561 14.3864 24.645 1.48554
77.3556 1.24525 14.3847 24.6456 1.48565
77.3778 1.24482 14.3827 24.6466 1.48578
77.4 1.2444 14.3808 24.6474 1.4859
77.4222 1.24397 14.379 24.6486 1.48603
77.4444 1.24355 14.3771 24.6495 1.48615
77.4667 1.24313 14.3753 24.6505 1.48628
77.4889 1.24274 14.3735 24.6513 1.4864
77.5111 1.24235 14.3716 24.652 1.48651
77.5333 1.24201 14.3698 24.6523 1.48661
77.5556 1.24166 14.368 24.6526 1.48672
77.5778 1.24127 14.3662 24.6534 1.48683
77.6 1.2409 14.3644 24.654 1.48695
77.6222 1.24052 14.3625 24.6545 1.48706
77.6444 1.24017 14.3608 24.655 1.48717
77.6667 1.23985 14.3591 24.6553 1.48726
77.6889 1.23947 14.3572 24.6558 1.48738
77.7111 1.23912 14.3554 24.6562 1.48748
77.7333 1.23879 14.3536 24.6565 1.48758
77.7556 1.23845 14.3519 24.6569 1.48768
77.7778 1.23807 14.35 24.6575 1.4878
77.8 1.23784 14.3484 24.657 1.48787
77.8222 1.23752 14.3466 24.657 1.48796
77.8444 1.2372 14.3448 24.6571 1.48806
77.8667 1.23693 14.3431 24.6569 1.48814
77.8889 1.23669 14.3414 24.6564 1.48821
77.9111 1.23635 14.3397 24.6569 1.48831
77.9333 1.2361 14.338 24.6565 1.48839
77.9556 1.23578 14.3362 24.6565 1.48849
77.9778 1.2355 14.3345 24.6563 1.48857
78 1.23526 14.3329 24.656 1.48864
78.0222 1.23494 14.3311 24.6561 1.48874
78.0444 1.23463 14.3292 24.656 1.48883
78.0667 1.23442 14.3276 24.6552 1.48889
78.0889 1.23424 14.326 24.6543 1.48895
78.1111 1.23398 14.3242 24.6539 1.48903
78.1333 1.23371 14.3224 24.6535 1.48911
78.1556 1.23347 14.3208 24.6531 1.48918
78.1778 1.23321 14.319 24.6527 1.48926
78.2 1.23297 14.3174 24.6522 1.48933
78.2222 1.23272 14.3157 24.6519 1.48941
78.2444 1.23242 14.314 24.6519 1.4895
78.2667 1.23213 14.3122 24.6516 1.48959
78.2889 1.23188 14.3105 24.6511 1.48966
78.3111 1.23161 14.3087 24.6508 1.48974
78.3333 1.23132 14.3068 24.6505 1.48983
78.3556 1.23108 14.3051 24.6499 1.4899
78.3778 1.23084 14.3034 24.6493 1.48997
78.4 1.23056 14.3015 24.649 1.49006
78.4222 1.23031 14.2998 24.6485 1.49014
78.4444 1.23007 14.2981 24.6479 1.49021
78.4667 1.22985 14.2963 24.6472 1.49028
78.4889 1.22963 14.2945 24.6463 1.49034
78.5111 1.2294 14.2928 24.6456 1.49041
78.5333 1.22915 14.2911 24.6451 1.49049
78.5556 1.22894 14.2894 24.6442 1.49055
78.5778 1.22869 14.2875 24.6437 1.49063
78.6 1.22845 14.2858 24.6429 1.4907
78.6222 1.22825 14.284 24.642 1.49076
78.6444 1.22804 14.2823 24.6411 1.49083
78.6667 1.22787 14.2806 24.6398 1.49088
78.6889 1.22765 14.2788 24.6389 1.49094
78.7111 1.22746 14.277 24.6378 1.491
78.7333 1.22724 14.2752 24.6369 1.49107
78.7556 1.22708 14.2735 24.6354 1.49111
78.7778 1.22679 14.2715 24.6351 1.4912
78.8 1.22655 14.2697 24.6343 1.49128
78.8222 1.22639 14.2681 24.6331 1.49133
78.8444 1.22619 14.2662 24.6318 1.49138
78.8667 1.22601 14.2644 24.6306 1.49144
78.8889 1.22586 14.2627 24.6292 1.49149
78.9111 1.2257 14.2611 24.6279 1.49153
78.9333 1.22554 14.2593 24.6265 1.49158
78.9556 1.22542 14.2576 24.6247 1.49162
78.9778 1.22535 14.256 24.6227 1.49164
79 1.22528 14.2543 24.6205 1.49166
79.0222 1.22517 14.2527 24.6188 1.4917
79.0444 1.22502 14.251 24.6174 1.49174
79.0667 1.22485 14.2493 24.6161 1.49179
79.0889 1.22478 14.2477 24.6141 1.49182
79.1111 1.22466 14.246 24.6124 1.49185
79.1333 1.22452 14.2443 24.6108 1.4919
