# t dissipation energy Reynolds eta
0 15.5227 200.385 97.2409 0.790656
0.000479202 13.0427 200.295 106.036 0.825824
0.00162021 11.2288 200.228 114.242 0.857326
0.00325422 9.72703 200.174 122.712 0.888658
0.00533946 8.59838 200.136 130.492 0.916485
0.00783861 7.79777 200.11 137.01 0.939154
0.0107144 7.24922 200.093 142.087 0.956438
0.0139264 6.87885 200.082 145.854 0.96906
0.0174481 6.62786 200.074 148.584 0.978107
0.0212564 6.45571 200.069 150.548 0.984563
0.0253176 6.33597 200.065 151.961 0.989182
0.0296114 6.25107 200.061 152.987 0.992524
0.0341248 6.18962 200.058 153.742 0.994978
0.0388364 6.14435 200.056 154.305 0.996806
0.0437154 6.11046 200.053 154.731 0.998185
0.0487485 6.08463 200.051 155.057 0.999243
0.0539466 6.06453 200.048 155.312 1.00007
0.0592615 6.04875 200.046 155.512 1.00072
0.0646993 6.03614 200.043 155.673 1.00124
0.0702336 6.02596 200.041 155.802 1.00167
0.0758685 6.01761 200.038 155.908 1.00201
0.0816085 6.01068 200.036 155.996 1.0023
0.0874211 6.00488 200.033 156.069 1.00254
0.0933087 5.99997 200.03 156.131 1.00275
0.0992738 5.99577 200.027 156.183 1.00292
0.105279 5.99217 200.024 156.228 1.00308
0.111324 5.98906 200.021 156.266 1.00321
0.117453 5.98632 200.018 156.3 1.00332
0.123624 5.98392 200.015 156.329 1.00342
0.129796 5.98182 200.012 156.354 1.00351
0.136012 5.97995 200.009 156.376 1.00359
0.142273 5.97828 200.006 156.395 1.00366
0.148579 5.97678 200.003 156.412 1.00372
0.154886 5.97545 200 156.427 1.00378
0.161241 5.97426 199.997 156.441 1.00383
0.167595 5.97319 199.994 156.452 1.00387
0.173949 5.97223 199.991 156.462 1.00391
0.180353 5.97137 199.987 156.471 1.00395
0.186756 5.97061 199.984 156.478 1.00398
0.19316 5.96993 199.981 156.485 1.00401
0.199563 5.96933 199.978 156.49 1.00403
0.205966 5.9688 199.975 156.495 1.00406
0.212422 5.96833 199.971 156.498 1.00408
0.218878 5.96793 199.968 156.501 1.00409
0.225333 5.96759 199.965 156.503 1.00411
0.231789 5.96731 199.962 156.504 1.00412
0.238244 5.96708 199.958 156.504 1.00413
0.2447 5.96691 199.955 156.504 1.00414
0.251155 5.96679 199.952 156.503 1.00414
0.257611 5.96671 199.949 156.502 1.00414
0.264067 5.96669 199.946 156.5 1.00414
0.270522 5.96671 199.942 156.497 1.00414
0.276978 5.96677 199.939 156.493 1.00414
0.283433 5.96688 199.936 156.489 1.00414
0.289889 5.96703 199.933 156.485 1.00413
0.296344 5.96722 199.929 156.48 1.00412
0.3028 5.96745 199.926 156.474 1.00411
0.309255 5.96773 199.923 156.468 1.0041
0.315651 5.96804 199.92 156.462 1.00409
0.322047 5.96839 199.917 156.455 1.00407
0.328443 5.96878 199.913 156.447 1.00406
0.334839 5.96921 199.91 156.439 1.00404
0.341234 5.96968 199.907 156.43 1.00402
0.34763 5.97018 199.904 156.421 1.004
0.354026 5.97072 199.901 156.412 1.00398
0.360422 5.9713 199.898 156.402 1.00395
0.366817 5.97191 199.895 156.391 1.00392
0.373213 5.97256 199.891 156.38 1.0039
0.379609 5.97325 199.888 156.369 1.00387
0.386005 5.97397 199.885 156.357 1.00384
0.392401 5.97473 199.882 156.344 1.00381
0.398796 5.97553 199.879 156.332 1.00377
0.405125 5.97635 199.876 156.318 1.00374
