# t dissipation energy Reynolds eta
48.001 7.68814 46.0458 31.7502 0.942485
48.003 7.68661 46.0345 31.7456 0.942532
48.0058 7.68408 46.0178 31.7393 0.942609
48.0094 7.68102 45.9965 31.731 0.942703
48.0137 7.67712 45.9708 31.7213 0.942822
48.0186 7.67262 45.9413 31.7102 0.942961
48.0241 7.66754 45.9083 31.6979 0.943117
48.0301 7.66218 45.8721 31.684 0.943282
48.0366 7.65611 45.8329 31.6695 0.943469
48.0435 7.64977 45.7911 31.6537 0.943664
48.0508 7.64301 45.7471 31.6373 0.943873
48.0585 7.6362 45.7011 31.6196 0.944083
48.0665 7.62904 45.6532 31.6012 0.944305
48.0748 7.62133 45.603 31.5825 0.944543
48.0834 7.61353 45.5514 31.5629 0.944785
48.0922 7.60545 45.4984 31.5429 0.945036
48.1013 7.59723 45.4439 31.5222 0.945291
48.1105 7.5885 45.3881 31.5016 0.945563
48.12 7.57972 45.3312 31.4803 0.945837
48.1296 7.57097 45.274 31.4587 0.94611
48.1393 7.56196 45.2153 31.4367 0.946392
48.1492 7.55283 45.1561 31.4145 0.946678
48.1592 7.54357 45.0963 31.3921 0.946968
48.1694 7.53407 45.0358 31.3697 0.947266
48.1796 7.52447 44.9745 31.347 0.947568
48.1899 7.51507 44.9136 31.3241 0.947864
48.2003 7.50529 44.8518 31.3014 0.948173
48.2108 7.49551 44.7894 31.2782 0.948482
48.2213 7.48584 44.7272 31.255 0.948788
48.232 7.47598 44.6641 31.2315 0.949101
48.2426 7.46625 44.6012 31.2078 0.94941
48.2533 7.45665 44.5387 31.1842 0.949716
48.2641 7.44664 44.4751 31.1605 0.950035
48.275 7.43662 44.4116 31.137 0.950355
48.2858 7.427 44.3485 31.1129 0.950662
48.2966 7.41708 44.2853 31.0893 0.95098
48.3074 7.4074 44.2225 31.0655 0.95129
48.3184 7.3973 44.1583 31.0416 0.951615
48.3294 7.38734 44.0946 31.0177 0.951936
48.3404 7.37714 44.0308 30.9942 0.952265
48.3514 7.36701 43.9672 30.9707 0.952592
48.3624 7.35704 43.9038 30.947 0.952914
48.3734 7.34712 43.8405 30.9233 0.953236
48.3844 7.33704 43.7774 30.8999 0.953563
48.3954 7.32728 43.7144 30.876 0.95388
48.4064 7.31731 43.6517 30.8527 0.954205
48.4174 7.30737 43.5889 30.8293 0.95453
48.4286 7.29706 43.5249 30.8058 0.954866
48.4398 7.28688 43.4612 30.7822 0.9552
48.451 7.277 43.3976 30.758 0.955524
48.4622 7.26701 43.3343 30.7342 0.955852
48.4734 7.25694 43.271 30.7106 0.956184
48.4846 7.24666 43.2077 30.6874 0.956522
48.4958 7.23663 43.1447 30.6639 0.956853
48.507 7.22668 43.0819 30.6403 0.957183
