# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 60 60 60 0 0 0 14.0625 14.0625 14.0625 15.65 1
160.019 2006.72 60 60 60.0004 0.000264819 0.00268181 0.145632 14.0625 14.0625 14.0625 15.6493 1
160.051 2007.1 60 60 60.0037 -0.00402502 -0.00462654 0.38341 14.0625 14.0625 14.0625 15.6503 1
160.092 2008.13 60 60 60.0187 0.0016997 0.0012983 0.728294 14.0625 14.0625 15 15.653 1.06667
160.14 2014.36 60 60 60.0543 -0.00187144 -0.00254641 1.0822 14.0625 14.0625 15 15.6692 1.06667
160.19 2009.11 60 60 60.112 0.00199764 0.00128562 1.47288 14.0625 14.0625 15 15.6556 1.06667
160.243 2020.79 60.0016 59.9984 60.1957 0.00016106 -0.000927494 1.85288 15.9375 15.9375 15 15.6858 1.0625
160.297 2027.33 60.0001 60 60.3139 -0.00012354 -0.000636785 2.24439 15.9375 15.9375 15 15.7027 1.0625
160.352 2025.58 60 60 60.445 -0.00118124 -0.00161348 2.63733 15.9375 15.9375 15 15.6982 1.0625
160.407 2027.28 60 60 60.5996 -0.00176067 -0.00240662 2.99114 15.9375 15.9375 15 15.7026 1.0625
160.463 2011.96 60 60 60.7737 -0.00031897 -0.00091591 3.36674 15.9375 15.9375 15 15.663 1.0625
160.519 2013.21 60.0001 60 60.9448 -0.000714295 -0.00111229 3.71512 15.9375 15.9375 14.0625 15.6662 1.13333
160.575 2011.44 60.0001 60 61.1206 -0.000847791 -0.0012474 4.04716 15.9375 15.9375 15 15.6616 1.0625
160.631 2023.94 60.0001 60 61.3773 -0.000846732 -0.000869054 4.36456 15.9375 15.9375 15 15.694 1.0625
160.687 2017.04 60.0001 60 61.6624 -0.000121765 0.000331827 4.67171 15.9375 15.9375 15 15.6761 1.0625
160.743 2013 60.0001 60 61.8811 -0.00020812 6.48363e-05 4.99098 15.9375 15.9375 14.0625 15.6656 1.13333
160.798 2024.25 60.0001 60 62.1296 -0.000291839 -0.000122822 5.22386 15.9375 15.9375 15 15.6948 1.0625
160.854 2027.97 60.0001 60 62.4307 -0.00105453 -0.000671791 5.46861 15.9375 15.9375 15 15.7044 1.0625
160.91 2023.31 60.0001 60 62.7532 -0.000455462 -0.000508154 5.74065 15.9375 15.9375 14.0625 15.6923 1.13333
