# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 30 90 60 -0.0441222 0.0238137 -0.00247434 14.0625 14.0625 14.0625 15.65 1
160.019 2009.82 29.9761 90.0111 59.998 -2.02812 1.09165 0.0201973 15 14.0625 14.0625 15.6574 1.06667
160.051 2016.51 29.9159 90.0454 59.9973 -2.0293 1.09976 0.299516 15 14.0625 14.0625 15.6748 1.06667
160.092 2022.11 29.8158 90.0941 60.0183 -2.06808 1.07267 0.610328 15 14.0625 15 15.6892 1.06667
160.14 2027.51 29.7215 90.1417 60.0607 -2.09745 1.0529 0.95556 15 15 15 15.7032 1
160.19 2029.99 29.6122 90.1939 60.1095 -2.12534 1.02595 1.29282 15 15 15 15.7096 1
160.243 2030.31 29.518 90.2433 60.1774 -2.15153 0.994989 1.62085 15 15 15 15.7104 1
160.297 2026.51 29.3984 90.3087 60.2757 -2.17992 0.963952 1.94503 15 15 15 15.7006 1
160.352 2025.85 29.2756 90.3547 60.3843 -2.20471 0.942811 2.2428 15.9375 15 15 15.6989 1.0625
160.407 2033.02 29.1509 90.4023 60.5162 -2.23235 0.920127 2.48207 15.9375 15 15 15.7174 1.0625
160.463 2026.11 29.0108 90.4532 60.6527 -2.2549 0.902637 2.72244 15.9375 15 15 15.6996 1.0625
160.519 2028.11 28.8867 90.5002 60.8008 -2.26406 0.889417 2.91765 15 15 15 15.7047 1
160.575 2027.28 28.7674 90.5616 60.9581 -2.27395 0.878112 3.09224 15 15 14.0625 15.7026 1.06667
160.631 2037.14 28.6414 90.6188 61.1329 -2.2798 0.876072 3.2297 15 15 15 15.728 1
160.687 2029.74 28.5141 90.6601 61.3215 -2.27378 0.876921 3.37559 15 15 15 15.7089 1
160.743 2034.87 28.3845 90.7056 61.5034 -2.27814 0.881129 3.47552 15 15 15 15.7222 1
160.798 2025.34 28.261 90.7543 61.6978 -2.27483 0.877606 3.59553 15 15 14.0625 15.6976 1.06667
160.854 2019.68 28.1201 90.8002 61.8761 -2.26488 0.873733 3.70288 15.9375 15.9375 14.0625 15.683 1.13333
160.91 2021.91 27.9904 90.8521 62.0655 -2.25125 0.851684 3.76234 15 15.9375 14.0625 15.6887 1.13333
160.966 2027.3 27.8665 90.899 62.2834 -2.24857 0.851826 3.79253 15 15.9375 15 15.7027 1.0625
161.022 2031.79 27.7423 90.953 62.4922 -2.25529 0.828757 3.82641 15 15.9375 14.0625 15.7142 1.13333
161.079 2031.76 27.6256 90.991 62.7056 -2.26014 0.799292 3.86755 15 15.9375 14.0625 15.7142 1.13333
161.135 2029.34 27.5066 91.0275 62.9148 -2.26322 0.753119 3.90438 15 15.9375 14.0625 15.7079 1.13333
161.191 2030.39 27.3729 91.0877 63.1216 -2.26507 0.708025 3.92135 15.9375 15.9375 14.0625 15.7106 1.13333
161.247 2032.85 27.2415 91.1258 63.321 -2.27109 0.642708 3.92483 15.9375 15.9375 14.0625 15.717 1.13333
161.303 2032.26 27.1144 91.1703 63.5443 -2.2742 0.562813 3.9474 15.9375 15.9375 14.0625 15.7154 1.13333
161.36 2027.67 26.9858 91.1896 63.7522 -2.28072 0.481123 3.96131 15.9375 15.9375 14.0625 15.7036 1.13333
161.416 2029.34 26.8473 91.2158 63.9847 -2.28065 0.402219 3.96067 15.9375 15.9375 14.0625 15.7079 1.13333
161.472 2027.56 26.7231 91.2451 64.1832 -2.28078 0.328255 3.95105 15 15.9375 13.125 15.7033 1.21429
161.528 2032.83 26.5975 91.2639 64.363 -2.27375 0.251817 3.94532 15.9375 15 14.0625 15.7169 1.13333
161.584 2030.91 26.4607 91.2685 64.5909 -2.25681 0.172743 3.93485 15.9375 15 14.0625 15.712 1.13333
161.64 2028.68 26.3553 91.2795 64.8114 -2.23619 0.09869 3.92367 15.9375 15 14.0625 15.7062 1.13333
161.697 2031.62 26.2229 91.2818 65.015 -2.21063 0.0234955 3.88293 15.9375 15 13.125 15.7138 1.21429
161.753 2034.86 26.0775 91.2883 65.2164 -2.18908 -0.0347173 3.83515 15.9375 15 13.125 15.7222 1.21429
161.809 2029.57 25.9751 91.2852 65.404 -2.17398 -0.0903274 3.79196 15.9375 15 14.0625 15.7085 1.13333
161.865 2022.91 25.8595 91.2819 65.6136 -2.13047 -0.156756 3.75166 15.9375 15 14.0625 15.6913 1.13333
161.921 2026.03 25.7298 91.2642 65.8308 -2.07519 -0.222117 3.69475 16.875 15.9375 13.125 15.6994 1.28571
161.978 2032.5 25.6288 91.2591 66.0078 -2.01181 -0.273959 3.63583 15.9375 15.9375 13.125 15.7161 1.21429
162.034 2032.98 25.512 91.2416 66.199 -1.95114 -0.319916 3.56187 15.9375 15.9375 13.125 15.7173 1.21429
162.09 2029.8 25.3884 91.2189 66.386 -1.90331 -0.38313 3.4833 15.9375 15.9375 13.125 15.7091 1.21429
162.146 2024.42 25.2853 91.1781 66.5601 -1.84602 -0.446696 3.43519 15.9375 15.9375 14.0625 15.6952 1.13333
162.202 2031.01 25.1804 91.1636 66.7307 -1.78305 -0.507016 3.34984 15.9375 15.9375 13.125 15.7122 1.21429
162.258 2035.71 25.0778 91.1357 66.9004 -1.71589 -0.572561 3.27304 15.9375 15.9375 13.125 15.7243 1.21429
162.315 2030.14 24.9886 91.1125 67.0837 -1.66442 -0.626774 3.2083 15.9375 15.9375 13.125 15.71 1.21429
162.371 2023.84 24.8987 91.0743 67.246 -1.57028 -0.701059 3.14236 16.875 15.9375 13.125 15.6937 1.28571
162.427 2023.95 24.8074 91.0243 67.4035 -1.4932 -0.78487 3.0693 15.9375 15.9375 13.125 15.694 1.21429
162.483 2028.19 24.7253 90.9758 67.5573 -1.42147 -0.862402 2.98335 15.9375 15.9375 13.125 15.7049 1.21429
162.539 2028.78 24.6472 90.9304 67.7005 -1.33404 -0.937627 2.92017 15.9375 15.9375 13.125 15.7065 1.21429
162.596 2034.42 24.5778 90.8749 67.8539 -1.24757 -1.03092 2.83794 15.9375 15.9375 13.125 15.721 1.21429
162.652 2030.39 24.4961 90.8229 67.9982 -1.14177 -1.14077 2.78187 15.9375 15.9375 13.125 15.7106 1.21429
162.708 2030.93 24.4399 90.7624 68.1469 -1.04757 -1.23751 2.72368 15.9375 15.9375 13.125 15.712 1.21429
162.764 2033.11 24.3804 90.7065 68.291 -0.954034 -1.32985 2.63047 15.9375 16.875 13.125 15.7177 1.28571
162.82 2030.61 24.3222 90.6042 68.4222 -0.842043 -1.44087 2.5767 15.9375 16.875 12.1875 15.7112 1.38462
162.876 2029.34 24.2841 90.5206 68.5238 -0.733556 -1.53925 2.52416 15.9375 16.875 12.1875 15.7079 1.38462
162.933 2029.91 24.2423 90.4377 68.6495 -0.619834 -1.61578 2.45202 15.9375 16.875 13.125 15.7094 1.28571
162.989 2025.76 24.2164 90.3387 68.779 -0.497443 -1.70812 2.41035 15.9375 16.875 13.125 15.6987 1.28571
163.045 2031.57 24.1859 90.2376 68.9018 -0.358122 -1.79748 2.32211 15.9375 15.9375 13.125 15.7137 1.21429
163.101 2032.46 24.1743 90.1517 69.0214 -0.20518 -1.88901 2.25851 16.875 15.9375 13.125 15.716 1.28571
163.157 2030.48 24.1634 90.0513 69.1316 -0.0567113 -1.95168 2.21757 16.875 15.9375 13.125 15.7109 1.28571
163.213 2028.4 24.1672 89.9445 69.2379 0.0955482 -2.00049 2.14356 16.875 15.9375 13.125 15.7055 1.28571
163.27 2023.95 24.1657 89.826 69.3356 0.257482 -2.03555 2.09862 16.875 15.9375 12.1875 15.694 1.38462
163.326 2030.11 24.181 89.7102 69.4327 0.418187 -2.07813 2.035 16.875 15.9375 12.1875 15.7099 1.38462
163.382 2027.08 24.2057 89.5968 69.5099 0.576358 -2.12335 1.97466 16.875 16.875 12.1875 15.7021 1.38462
163.438 2023.11 24.2396 89.4684 69.6137 0.755915 -2.14485 1.88534 16.875 16.875 13.125 15.6918 1.28571
163.494 2025.43 24.2839 89.3667 69.6914 0.922772 -2.1629 1.82547 15.9375 15.9375 13.125 15.6978 1.21429
163.551 2028.51 24.3346 89.2333 69.7871 1.09109 -2.18265 1.74385 15.9375 15.9375 13.125 15.7058 1.21429
163.607 2032.71 24.3992 89.1191 69.8744 1.26108 -2.20729 1.68105 15.9375 15.9375 13.125 15.7166 1.21429
163.663 2030.84 24.4664 89.0045 69.95 1.44028 -2.22749 1.63325 15.9375 15.9375 13.125 15.7118 1.21429
163.719 2035.68 24.5458 88.8946 70.0283 1.59876 -2.23047 1.56726 15.9375 15.9375 13.125 15.7243 1.21429
163.775 2027.5 24.64 88.773 70.1076 1.7724 -2.22611 1.55121 16.875 16.875 13.125 15.7032 1.28571
163.831 2023.58 24.7501 88.6446 70.1807 1.93825 -2.24011 1.50634 16.875 16.875 13.125 15.6931 1.28571
163.888 2022.8 24.8546 88.5019 70.2305 2.11443 -2.26305 1.46022 16.875 16.875 13.125 15.691 1.28571
163.944 2028.99 24.9745 88.3851 70.2956 2.28676 -2.27348 1.37606 16.875 15.9375 12.1875 15.707 1.38462
164 2034.13 25.1132 88.2611 70.3542 2.45295 -2.27039 1.31856 15.9375 15.9375 12.1875 15.7203 1.30769
164.056 2028.14 25.2422 88.1385 70.4041 2.62229 -2.25663 1.29013 15.9375 15.9375 12.1875 15.7048 1.30769
164.112 2022.93 25.3952 88.0077 70.4621 2.80429 -2.25962 1.27673 15.9375 15.9375 13.125 15.6914 1.21429
164.169 2026.09 25.5283 87.8813 70.5087 2.95414 -2.25198 1.25864 15.9375 16.875 13.125 15.6995 1.28571
164.225 2031.74 25.7143 87.7512 70.5591 3.10134 -2.23075 1.20126 16.875 16.875 13.125 15.7141 1.28571
164.281 2023.11 25.9007 87.6465 70.6155 3.26395 -2.206 1.20881 16.875 16.875 13.125 15.6918 1.28571
164.337 2025.34 26.0891 87.5081 70.6592 3.42479 -2.16692 1.1628 15.9375 15.9375 13.125 15.6976 1.21429
164.393 2033.01 26.2836 87.387 70.7103 3.56813 -2.12254 1.10313 15.9375 15.9375 13.125 15.7174 1.21429
164.449 2030.73 26.454 87.2866 70.7581 3.70781 -2.08588 1.08396 15.9375 15.9375 13.125 15.7115 1.21429
164.506 2034.62 26.6731 87.1703 70.8079 3.82892 -2.04577 1.05301 16.875 15.9375 13.125 15.7215 1.28571
164.562 2035.5 26.9078 87.0678 70.8483 3.95685 -1.9924 1.02572 16.875 15.9375 13.125 15.7238 1.28571
164.618 2034.38 27.123 86.9719 70.8901 4.07972 -1.93154 1.0024 15.9375 16.875 13.125 15.7209 1.28571
164.674 2029.32 27.3486 86.8541 70.9321 4.18686 -1.8806 0.994645 15.9375 16.875 13.125 15.7079 1.28571
164.73 2023.28 27.5757 86.7473 70.9745 4.30912 -1.84298 0.979489 16.875 16.875 13.125 15.6923 1.28571
164.787 2034 27.824 86.6384 71.0142 4.39196 -1.76745 0.903264 15.9375 16.875 13.125 15.7199 1.28571
164.843 2033.72 28.0759 86.5517 71.0445 4.49009 -1.69961 0.864987 15.9375 15.9375 13.125 15.7192 1.21429
164.899 2032.04 28.3192 86.454 71.0746 4.58144 -1.64254 0.84013 15.9375 15.9375 13.125 15.7149 1.21429
164.955 2027.31 28.5767 86.3667 71.1046 4.66249 -1.58107 0.811309 16.875 15.9375 13.125 15.7027 1.28571
165.011 2031.45 28.8457 86.275 71.1193 4.73702 -1.51314 0.772263 15.9375 15.9375 13.125 15.7134 1.21429
165.067 2031.02 29.0989 86.2044 71.1537 4.79161 -1.43949 0.737525 15.9375 15.9375 13.125 15.7123 1.21429
165.124 2026.81 29.3626 86.1361 71.1736 4.82378 -1.37634 0.739713 16.875 15.9375 13.125 15.7014 1.28571
165.18 2031.37 29.6487 86.0657 71.1994 4.87657 -1.32811 0.696079 15.9375 16.875 12.1875 15.7132 1.38462
165.236 2030.96 29.9083 85.9871 71.2189 4.89924 -1.2462 0.6628 15.9375 16.875 12.1875 15.7121 1.38462
165.292 2031.85 30.1738 85.9116 71.2367 4.91555 -1.18871 0.636849 15.9375 16.875 12.1875 15.7144 1.38462
165.348 2019.22 30.4652 85.8544 71.2514 4.95131 -1.12905 0.675247 16.875 16.875 12.1875 15.6818 1.38462
165.404 2028.84 30.7395 85.7926 71.2775 4.95873 -1.05389 0.603712 15.9375 16.875 12.1875 15.7066 1.38462
165.461 2030.72 31.0067 85.7284 71.2843 4.96311 -0.990984 0.588027 15.9375 16.875 12.1875 15.7115 1.38462
165.517 2021.98 31.2865 85.6765 71.297 4.97007 -0.941208 0.615887 16.875 16.875 12.1875 15.6889 1.38462
165.573 2031.78 31.5751 85.6359 71.3203 4.97056 -0.8653 0.560538 15.9375 16.875 13.125 15.7142 1.28571
165.629 2032.26 31.8442 85.5862 71.3357 4.96298 -0.800043 0.562881 15.9375 16.875 13.125 15.7155 1.28571
165.685 2027 32.0977 85.5427 71.3489 4.93993 -0.742298 0.588706 15.9375 16.875 13.125 15.7019 1.28571
