# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.001 2122.62 30 30 60 -0.0902 0.000375318 -0.0156261 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.019 2122.18 29.9721 30.0005 59.9926 -1.70123 -0.00427697 -0.369739 15 14.0625 14.0625 15.9439 1.06667 1 2009.46 0
160.051 2122.65 29.9172 30.0005 59.9849 -1.68622 -0.0245216 -0.0587621 15 14.0625 14.0625 15.9451 1.06667 1 2014.6 0
160.092 2122.32 29.8469 29.9984 59.9882 -1.6939 -0.0913419 0.280227 15 14.0625 14.0625 15.9442 1.06667 1 2022.12 0
160.14 2122.48 29.7672 29.9936 60.0089 -1.68643 -0.13234 0.655429 15 14.0625 14.0625 15.9447 1.06667 1 2025.27 0
160.19 2122.4 29.6822 29.9859 60.0502 -1.66939 -0.176366 1.02749 15 14.0625 14.0625 15.9444 1.06667 1 2027.2 0
160.243 2122.47 29.5942 29.9756 60.113 -1.64933 -0.219077 1.38266 15 14.0625 14.0625 15.9446 1.06667 1 2028.51 0
160.297 2122.55 29.5056 29.963 60.1963 -1.61745 -0.249704 1.7177 15 14.0625 15 15.9448 1.06667 1 2029.71 0
160.352 2122.64 29.4172 29.9487 60.2993 -1.57714 -0.274584 2.0361 15.9375 14.0625 15 15.9451 1.13333 1 2029.71 0
160.407 2122.73 29.3312 29.9336 60.4189 -1.52767 -0.279188 2.31932 15.9375 14.0625 15 15.9453 1.13333 1 2028.68 0
160.463 2122.83 29.2467 29.9182 60.5561 -1.46924 -0.269994 2.57593 15.9375 14.0625 15 15.9455 1.13333 1 2028.42 0
160.519 2122.97 29.166 29.9036 60.707 -1.39393 -0.244363 2.79868 15.9375 14.0625 15 15.9459 1.13333 1 2029.12 0
160.575 2123.2 29.0895 29.891 60.87 -1.31725 -0.20457 2.98048 15.9375 14.0625 14.0625 15.9464 1.13333 1 2024.99 0
160.631 2123.32 29.0173 29.8809 61.0436 -1.2367 -0.153617 3.14971 15.9375 15 14.0625 15.9468 1.13333 1 2024.84 0
160.687 2123.46 28.9499 29.874 61.226 -1.1484 -0.0909627 3.28944 15.9375 15 15 15.9471 1.0625 1 2030.3 0
160.743 2123.55 28.8875 29.8711 61.4158 -1.04815 -0.0169415 3.40067 15.9375 15 15 15.9473 1.0625 1 2026 0
160.798 2123.66 28.831 29.8725 61.6118 -0.946967 0.0658139 3.49925 15 15.9375 15 15.9476 1.0625 1 2030.83 0
160.854 2123.76 28.7803 29.8786 61.8127 -0.837716 0.152736 3.57805 15 15.9375 14.0625 15.9479 1.13333 1 2030.8 0
160.91 2123.84 28.7359 29.8896 62.017 -0.725908 0.239333 3.6291 15 15.9375 14.0625 15.9481 1.13333 1 2031.75 0
160.966 2123.97 28.698 29.9056 62.2238 -0.61367 0.336017 3.65036 15 15.9375 14.0625 15.9484 1.13333 1 2028.15 0
161.022 2124.1 28.6663 29.927 62.4321 -0.50084 0.430694 3.65765 15 15.9375 14.0625 15.9487 1.13333 1 2030.02 0
161.079 2124.23 28.6411 29.9537 62.6404 -0.380852 0.522327 3.64546 15 15.9375 14.0625 15.949 1.13333 1 2033.29 0
161.135 2124.36 28.6228 29.9852 62.8472 -0.259163 0.60369 3.6259 15 15.9375 14.0625 15.9494 1.13333 1 2033.91 0
161.191 2124.52 28.6114 30.0212 63.0527 -0.133849 0.682371 3.59114 15 15.9375 14.0625 15.9498 1.13333 1 2029.15 0
161.247 2124.67 28.607 30.0617 63.2566 -0.00780819 0.758223 3.55122 15 15.9375 13.125 15.9501 1.21429 1 2028.32 0
161.303 2124.81 28.6095 30.1062 63.458 0.112098 0.831324 3.49405 15 15.9375 14.0625 15.9505 1.13333 1 2031.05 0
161.36 2124.97 28.6188 30.1549 63.6558 0.233382 0.904979 3.43624 15 15.9375 14.0625 15.9509 1.13333 1 2030.84 0
161.416 2125.08 28.6354 30.2074 63.8498 0.36225 0.968163 3.37622 15 15.9375 14.0625 15.9511 1.13333 1 2028.48 0
161.472 2125.16 28.6595 30.2636 64.0406 0.504165 1.02872 3.30568 15.9375 15 14.0625 15.9514 1.13333 1 2025.03 0
161.528 2125.26 28.6916 30.3233 64.2276 0.64641 1.09478 3.23364 15.9375 15 13.125 15.9516 1.21429 1 2027.14 0
161.584 2125.39 28.732 30.3866 64.4108 0.79798 1.15969 3.16224 15.9375 15 14.0625 15.9519 1.13333 1 2031.61 0
161.64 2125.5 28.7809 30.4535 64.5895 0.947329 1.22908 3.08254 15.9375 15 14.0625 15.9522 1.13333 1 2035.56 0
161.697 2125.65 28.8387 30.5243 64.7633 1.11612 1.29554 3.00382 15.9375 15 14.0625 15.9526 1.13333 1 2036.62 0
161.753 2125.75 28.9061 30.599 64.9325 1.29618 1.3581 2.92419 15.9375 15 14.0625 15.9528 1.13333 1 2041.05 0
161.809 2125.93 28.984 30.6769 65.0976 1.47793 1.41541 2.83646 15.9375 15 13.125 15.9533 1.21429 1 2035.31 0
161.865 2126 29.0725 30.7582 65.2582 1.67559 1.47066 2.76015 15.9375 15 13.125 15.9535 1.21429 1 2036.05 0
