# t frame_uz frame_z ub_dans_repere
160.001 2.11985e-05 2.18316e-08 0.0205837
160.019 0.0113682 0.000118421 0.693369
160.051 0.0395743 0.00100968 0.988219
160.092 0.0890203 0.00383483 1.32794
160.14 0.162595 0.0100431 1.71761
160.19 0.26137 0.0211737 2.11207
160.243 0.384838 0.0387864 2.48764
160.297 0.530367 0.0641743 2.83173
160.352 0.695572 0.0986916 3.11327
160.407 0.874113 0.142741 3.33069
160.463 1.06588 0.198074 3.4823
160.519 1.26419 0.264375 3.57765
160.575 1.4664 0.341918 3.63042
160.631 1.67076 0.430857 3.66021
160.687 1.87587 0.531266 3.66849
160.743 2.08149 0.643173 3.67655
160.798 2.28752 0.766606 3.68102
160.854 2.494 0.901582 3.69601
160.91 2.70151 1.04815 3.7182
160.966 2.91086 1.20639 3.75426
161.022 3.12268 1.37668 3.79821
161.079 3.33789 1.55935 3.8507
161.135 3.55626 1.75422 3.91335
161.191 3.77784 1.96146 3.9623
161.247 4.00242 2.18126 4.01826
161.303 4.22982 2.41377 4.06757
161.36 4.46046 2.65916 4.12868
161.416 4.69426 2.91761 4.18235
161.472 4.93057 3.18929 4.21918
161.528 5.16876 3.47431 4.25259
161.584 5.40839 3.77276 4.27182
161.64 5.64819 4.08469 4.26573
161.697 5.88678 4.41005 4.23136
161.753 6.123 4.74875 4.18321
161.809 6.35581 5.1006 4.11786
161.865 6.58423 5.46539 4.0295
161.921 6.80665 5.84282 3.90643
161.978 7.02138 6.23249 3.76462
162.034 7.22798 6.63395 3.61742
162.09 7.42588 7.04673 3.45894
162.146 7.61444 7.47031 3.2887
162.202 7.79374 7.90417 3.12907
162.258 7.96425 8.34781 2.97098
162.315 8.12629 8.80074 2.82942
162.371 8.28025 9.2625 2.68378
162.427 8.42684 9.73265 2.56585
162.483 8.56685 10.2108 2.44046
162.539 8.70068 10.6966 2.34391
162.596 8.8296 11.1898 2.26412
162.652 8.95401 11.6901 2.18104
162.708 9.07383 12.1972 2.10251
162.764 9.18971 12.7109 2.03534
162.82 9.3018 13.2309 1.96728
162.876 9.41054 13.7572 1.91481
162.933 9.51622 14.2894 1.85771
162.989 9.61892 14.8275 1.80627
163.045 9.71779 15.3713 1.72559
163.101 9.8124 15.9204 1.65377
163.157 9.90259 16.4747 1.57306
