# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.2309 2032.4093 2.967045 3.160239 56.5870 53.9931 61.4058 1
166.00 2126.7156 2030.7369 2.248010 2.525856 71.3725 59.1388 66.3308 1
171.00 2132.9645 2033.4313 0.708176 1.020956 85.0119 71.9310 74.6696 1
176.00 2126.2229 2031.6828 0.116838 0.300807 61.9760 59.2948 64.2209 1
181.00 2125.8066 2032.1660 -0.979278 -0.765008 59.7976 52.9281 67.0194 1
186.00 2124.3401 2024.2415 1.052928 1.380196 63.1843 45.7413 68.4996 1
191.00 2124.9895 2030.5388 -0.762854 -0.433016 56.3609 40.6656 71.1957 1
196.00 2121.6807 2028.3758 -0.869980 -0.608210 47.6633 31.8651 69.3853 1
201.00 2115.2606 2017.2133 0.822898 1.053544 29.8900 104.8197 72.5527 1
206.00 2119.2472 2019.1860 -1.676277 -1.404624 40.6969 118.0325 74.0580 1
211.00 2118.0800 2021.6243 1.229028 1.590817 51.5464 18.5388 72.2467 1
216.00 2121.3569 2029.1315 -1.461724 -1.188518 46.5461 41.2476 69.9496 1
221.00 2116.3683 2018.9645 0.710176 1.036872 11.9658 56.3675 74.5572 1
226.00 2114.9246 2014.6535 1.474152 1.834325 117.2499 61.9988 71.8511 1
231.00 2113.5866 2014.9667 0.932051 1.261577 6.8177 54.6206 71.3248 1
236.00 2112.8793 2021.8661 -4.716413 -4.508221 105.3539 63.4707 70.9050 1
241.00 2112.4184 2017.1846 -0.979843 -0.736291 81.9052 86.3215 61.7389 1
246.00 2111.5871 2018.8845 1.619577 1.957361 67.0502 79.2002 69.0402 1
251.00 2114.2123 2016.5538 -0.168421 0.172626 49.2149 110.4703 68.9104 1
256.00 2107.5864 2013.9286 1.025385 1.180612 34.8954 99.7621 64.1109 1
261.00 2105.3543 2006.1356 1.127460 1.440365 55.9739 70.8646 75.3838 1
266.00 2102.5997 2006.9326 -0.374326 -0.088936 39.1407 73.5403 73.4525 1
271.00 2103.6607 2006.8565 -0.534820 -0.211959 45.9479 56.7820 71.7344 1
276.00 2101.8957 2013.1309 0.002224 0.239668 33.3247 74.3422 66.2447 1
281.00 2100.0519 2001.5994 2.231224 2.507740 14.4624 78.8163 72.2081 1
286.00 2101.2970 2002.5554 -2.455414 -2.197982 6.1653 86.4775 71.3046 1
291.00 2101.4202 2005.4147 -1.722956 -1.523973 15.0494 90.1088 68.6926 1
296.00 2097.7118 2003.9749 0.099498 0.427500 108.7932 84.2141 71.5720 1
301.00 2100.6460 2002.0936 2.132377 2.436700 118.3186 79.3533 72.1054 1
306.00 2100.1569 2000.0156 0.657080 0.977227 115.6051 72.1286 70.8475 1
