# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
161.00 64.4009 4.5038 -4.45141 -0.901784 -2.88116 -4.28138 -4.59524 -2.04073 -3.96061 -4.77476 -4.47576 -3.03599 -4.44752 -4.50082 -4.21903 2123.66
162.00 68.2763 2.71211 -8.29682 -7.50664 -8.11394 -8.21234 -8.50819 -7.1906 -8.41904 -8.46068 -8.31999 -7.03825 -8.36609 -8.37387 -8.06208 2124.14
163.00 69.2856 -0.641399 -9.26301 -9.10828 -9.44242 -10.0852 -10.0806 -8.92632 -8.75343 -9.32555 -9.56111 -8.47056 -8.79057 -9.4254 -9.38952 2123.66
164.00 68.4228 -0.408972 -8.39091 -7.6637 -9.2909 -9.71581 -8.99876 -7.82919 -8.52036 -8.76404 -8.45188 -8.03868 -8.21979 -8.48311 -8.46771 2123.29
165.00 68.8089 1.16161 -8.78195 -8.34971 -9.77241 -9.39019 -8.30269 -8.91738 -9.47376 -8.94427 -8.46127 -9.04133 -9.22595 -8.80692 -8.34161 2123.69
166.00 70.0254 1.1234 -9.98515 -9.83713 -10.2105 -9.35683 -9.01928 -10.8596 -10.3598 -9.52332 -9.42713 -10.3924 -10.3313 -9.78527 -9.36445 2124.24
167.00 71.1298 0.421801 -11.0645 -10.1258 -10.2237 -10.4465 -10.3444 -11.0402 -10.5808 -10.4866 -10.9727 -11.3087 -10.7881 -10.431 -10.5574 2124.8
168.00 70.2644 -1.19382 -10.1693 -10.0787 -11.1031 -10.5057 -10.4653 -9.40407 -10.3271 -10.3485 -10.161 -9.63162 -9.77551 -9.47921 -9.50716 2125.25
169.00 70.8558 0.566425 -10.781 -13.9804 -12.5327 -11.8869 -11.1826 -11.7175 -11.3733 -11.0137 -10.3199 -10.5812 -10.533 -10.2232 -9.91536 2125.54
170.00 69.5589 -1.83985 -9.43712 -11.9722 -11.3102 -10.9359 -9.85473 -11.62 -10.3649 -9.51641 -8.46883 -10.1126 -9.69397 -9.08031 -8.28325 2123.8
171.00 67.3603 -2.82492 -7.23025 -9.39539 -9.80761 -8.95993 -7.17034 -10.299 -9.03133 -7.24828 -5.93186 -9.55833 -8.32575 -6.97432 -6.04745 2122.23
172.00 64.2917 -3.15006 -4.17214 -7.6811 -6.40752 -4.54427 -3.25468 -7.44371 -5.10287 -4.20912 -3.77934 -7.14939 -4.92721 -4.31742 -3.88124 2121.24
173.00 61.695 -1.41333 -1.60337 -3.80441 -1.27283 -0.12175 -0.0238901 -3.47204 -1.97695 -1.75812 -1.64085 -3.88351 -2.52911 -2.14278 -1.74608 2118.72
174.00 61.546 1.10126 -1.49042 -1.43694 -0.134444 0.370031 0.518534 -2.61383 -1.78706 -1.47409 -1.31342 -3.33582 -2.66975 -1.93114 -1.63371 2118.36
175.00 63.2012 0.894533 -3.12875 -2.43422 -2.08094 -1.7227 -2.00852 -3.9521 -3.44004 -3.35358 -3.28214 -4.92182 -4.30477 -3.858 -3.39749 2120.04
176.00 63.5134 0.461065 -3.42717 -3.36738 -3.03822 -2.61973 -2.39491 -4.77963 -3.95444 -3.88061 -3.52922 -5.62789 -4.92616 -4.42578 -3.82767 2120.21
177.00 64.5008 1.65685 -4.42138 -4.7268 -4.0892 -3.65219 -3.02566 -5.96165 -5.01005 -4.68218 -3.98986 -6.6802 -6.17287 -5.58669 -4.81018 2121.33
178.00 66.3527 1.44906 -6.25541 -5.29098 -5.35427 -4.80434 -5.09798 -7.03476 -6.52064 -5.55695 -5.36627 -8.0011 -7.86412 -7.21599 -6.64836 2122.68
179.00 67.4377 0.454566 -7.30898 -4.44242 -5.16355 -5.94953 -6.88182 -6.67907 -6.24768 -6.20112 -6.90642 -8.19486 -8.11682 -7.96069 -7.83004 2123.21
180.00 67.135 -0.574842 -6.99035 -3.19443 -4.76463 -6.1741 -6.68499 -4.67372 -5.37398 -6.32298 -6.85542 -6.65721 -6.91734 -7.30127 -7.33793 2123.69
181.00 67.0657 0.795111 -6.93519 -3.37505 -5.45064 -6.13219 -5.69073 -4.23879 -5.66 -6.37294 -6.50707 -5.63291 -6.37945 -6.82213 -6.89869 2125.22
182.00 69.1484 2.96713 -9.03142 -6.61445 -7.02174 -7.04306 -7.4515 -7.30307 -7.51269 -8.03174 -9.03836 -7.70108 -7.84822 -8.36656 -9.20095 2126.89
183.00 71.8033 1.87942 -11.6635 -7.50141 -8.59804 -9.12882 -9.37326 -9.0785 -10.4494 -11.0748 -11.1901 -9.50489 -10.4513 -11.1704 -11.4272 2126.66
184.00 73.471 1.00184 -13.3199 -8.88113 -9.64184 -9.75619 -10.7682 -11.1332 -11.8053 -11.9084 -12.4708 -11.1982 -12.2513 -12.387 -12.714 2126.21
185.00 74.0184 0.455316 -13.8695 -10.2976 -11.3963 -11.5588 -11.9323 -12.0513 -12.833 -12.5383 -12.1852 -12.0975 -12.8077 -12.6235 -12.4877 2124.7
186.00 74.1844 -1.48881 -14.0034 -11.7997 -12.3239 -13.0216 -13.8307 -12.7219 -12.6908 -12.5714 -13.2477 -12.3978 -12.6721 -12.4202 -12.7768 2124.2
187.00 70.0237 -5.93235 -9.80857 -7.92466 -9.04651 -10.1062 -10.1444 -8.51941 -8.96636 -9.48964 -9.82813 -8.13872 -8.57228 -8.81721 -9.17462 2122.29
188.00 64.4469 -3.60941 -4.27612 -4.3606 -4.95151 -4.78776 -4.34283 -3.87179 -3.99225 -4.08533 -4.43148 -3.46911 -3.27909 -3.46354 -3.83564 2121.24
189.00 63.183 0.267388 -3.05697 -5.92287 -5.07168 -3.81551 -2.92971 -3.36152 -3.23325 -3.08859 -3.29152 -2.77776 -2.36185 -2.27723 -2.78986 2120.63
190.00 63.812 0.648703 -3.68146 -8.32641 -6.05855 -4.19473 -3.01544 -5.25706 -4.10723 -3.59037 -3.81354 -4.218 -3.36297 -3.07095 -3.48079 2120.76
