# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.001 2006.97 60 60 60 0 0 0 14.0625 14.0625 14.0625 15.65 1
160.019 2006.9 60 60 60.0004 0.00884245 0.00877859 0.150487 14.0625 14.0625 14.0625 15.6498 1
160.051 2006.85 60 60 60.0036 -0.00270443 -0.00293391 0.399046 14.0625 14.0625 14.0625 15.6497 1
160.092 2008.33 60 60 60.0187 -0.00282646 -0.00313491 0.725044 14.0625 14.0625 15 15.6535 1.06667
160.14 2014.36 60 60 60.0542 0.00195837 0.00185719 1.09239 14.0625 14.0625 15 15.6692 1.06667
160.19 2009.09 60 60 60.112 0.000403837 -4.76991e-05 1.4738 14.0625 14.0625 15 15.6555 1.06667
160.243 2020.05 60 60 60.1935 0.000498258 0.000697169 1.85485 15.9375 15.9375 15 15.6839 1.0625
160.297 2027.41 60 60 60.3141 0.000452443 0.000703549 2.24147 15.9375 15.9375 15 15.7029 1.0625
160.352 2027.26 60.0028 60.0028 60.4425 -0.00322428 -0.00276368 2.6116 15.9375 15.9375 15 15.7026 1.0625
160.407 2027.27 60 60 60.6004 -0.00183056 -0.00295622 2.99879 15.9375 15.9375 15 15.7026 1.0625
160.463 2015.25 60 60 60.7862 -0.00110242 -0.000572611 3.37964 15.9375 15.9375 15 15.6715 1.0625
160.519 2013.19 60 60 60.9458 -0.000664999 -0.00119484 3.73739 15.9375 15.9375 14.0625 15.6661 1.13333
160.575 2011.36 60 60 61.1219 -0.00095869 -7.58338e-05 4.07225 15.9375 15.9375 15 15.6614 1.0625
160.631 2023.9 60 60 61.3791 0.000431504 0.00083252 4.38904 15.9375 15.9375 15 15.6939 1.0625
160.687 2016.3 60.0011 60.0011 61.6767 2.1937e-05 0.000342676 4.69096 15.9375 15.9375 15 15.6742 1.0625
160.743 2012.96 60 60 61.8832 -0.000294669 -0.000585543 5.00318 15.9375 15.9375 14.0625 15.6655 1.13333
160.798 2027.43 60 60 62.1405 -0.000928118 -0.000582819 5.2364 15.9375 15.9375 15 15.703 1.0625
160.854 2031.22 60 60 62.4456 -0.000626409 -0.00112246 5.4837 15.9375 15.9375 15 15.7128 1.0625
160.91 2023.29 60 60 62.7565 -0.000678736 -1.23479e-05 5.75227 15.9375 15.9375 14.0625 15.6923 1.13333
160.966 2029.67 60 60 63.0687 -0.000192013 -0.000644958 5.96555 15.9375 15.9375 14.0625 15.7088 1.13333
161.022 2026.81 60 60 63.4014 -0.000796186 -0.000449031 6.19016 15.9375 15.9375 14.0625 15.7014 1.13333
161.079 2021.76 60 60 63.7343 9.1207e-05 -5.96514e-05 6.43444 15.9375 15.9375 14.0625 15.6883 1.13333
161.135 2024.72 60 60 64.0999 -0.000860909 -0.000699344 6.61782 15.9375 15.9375 14.0625 15.696 1.13333
161.191 2033.45 60 60 64.4567 -0.00102085 -0.000773848 6.78633 15.9375 15.9375 14.0625 15.7185 1.13333
161.247 2029.02 60 60 64.8254 0.000152268 -0.000410579 6.99415 15.9375 15.9375 14.0625 15.7071 1.13333
161.303 2025.96 60 60 65.2083 -7.82335e-05 -0.000310487 7.19722 15.9375 15.9375 14.0625 15.6992 1.13333
161.36 2031.36 60 60 65.6155 -0.00108185 -0.00105392 7.36825 15.9375 15.9375 14.0625 15.7131 1.13333
161.416 2034.86 60 59.9999 66.0292 -0.00109441 -0.00122158 7.53508 15.9375 15.9375 13.125 15.7221 1.21429
161.472 2031.04 60 59.9999 66.4299 -0.00134339 -0.00133983 7.72341 15.9375 15.9375 14.0625 15.7123 1.13333
161.528 2029.82 59.9999 59.9999 66.8493 -0.00238817 -0.00248963 7.8793 15.9375 15.9375 13.125 15.7092 1.21429
161.584 2031.29 59.9999 59.9999 67.2736 -0.000676672 -0.000756771 8.04136 15.9375 15.9375 14.0625 15.713 1.13333
161.64 2030.35 59.9986 59.9986 67.7354 -0.00299721 -0.00275721 8.21179 15.9375 15.9375 14.0625 15.7105 1.13333
161.697 2040.71 59.9999 59.9999 68.1758 -0.00102517 -0.00110055 8.32211 15.9375 15.9375 13.125 15.7372 1.21429
161.753 2035.83 59.9999 59.9999 68.6573 -0.00100235 -0.00106334 8.48737 15.9375 15.9375 14.0625 15.7247 1.13333
161.809 2041.67 59.9999 59.9999 69.0964 0.000125066 0.000199878 8.61972 15.9375 15.9375 13.125 15.7397 1.21429
161.865 2034.82 59.9999 59.9999 69.6011 -0.00192593 -0.00231953 8.78322 15.9375 15.9375 13.125 15.7221 1.21429
161.921 2038.78 59.9999 59.9999 70.0539 -0.000297879 -0.000583522 8.89655 15.9375 15.9375 13.125 15.7322 1.21429
161.978 2035.99 59.9999 59.9998 70.5669 -0.00174751 -0.00194931 9.03403 15.9375 15.9375 13.125 15.7251 1.21429
162.034 2027.6 59.9999 59.9999 71.0532 -0.000794636 0.000829446 9.16059 15.9375 15.9375 13.125 15.7034 1.21429
162.09 2043.75 59.9999 59.9999 71.5588 -0.00112006 0.000675404 9.244 15.9375 15.9375 13.125 15.745 1.21429
162.146 2031.48 59.9999 59.9999 72.0545 -0.00075089 0.00090158 9.35541 15.9375 15.9375 13.125 15.7134 1.21429
162.202 2041.59 59.9999 60 72.5769 -0.00133999 0.000245445 9.44062 15.9375 15.9375 13.125 15.7395 1.21429
162.258 2035.3 59.9999 60 73.0989 -0.00136258 0.000220643 9.54558 15.9375 15.9375 14.0625 15.7233 1.13333
162.315 2036.64 59.9999 60.0001 73.6208 -0.000959227 0.000651241 9.63387 15.9375 15.9375 13.125 15.7267 1.21429
162.371 2028.51 59.9983 60.0006 74.152 8.22085e-05 0.00100462 9.73499 15.9375 15.9375 13.125 15.7058 1.21429
162.427 2034.12 59.9999 60.0002 74.6863 -0.000430329 0.00189098 9.82797 15.9375 15.9375 13.125 15.7202 1.21429
162.483 2038.41 59.9999 60.0002 75.2075 -1.03595e-05 0.00170286 9.90674 15.9375 15.9375 13.125 15.7313 1.21429
162.539 2035.2 59.9999 60.0003 75.7781 -0.000555741 0.000614889 9.97661 15.9375 15.9375 13.125 15.723 1.21429
162.596 2029.85 59.9991 59.9998 76.3189 -0.00030799 0.000819203 10.0609 15.9375 15.9375 13.125 15.7092 1.21429
162.652 2041.41 60 60.0004 76.8643 0.000471988 0.000631671 10.0973 15.9375 15.9375 12.1875 15.739 1.30769
162.708 2032.5 60 60.0004 77.4182 0.000587911 0.00013477 10.2212 15.9375 15.9375 13.125 15.7161 1.21429
162.764 2029.38 60 60.0004 77.9553 0.00133864 0.00091098 10.297 15.9375 15.9375 13.125 15.708 1.21429
162.82 2030.97 60.0001 60.0004 78.5604 0.000295285 -0.000294509 10.3726 15.9375 15.9375 13.125 15.7121 1.21429
162.876 2032.39 60.0001 60.0005 79.1189 0.00181331 0.00229061 10.4232 15.9375 15.9375 13.125 15.7158 1.21429
162.933 2035.6 60.0002 60.0006 79.6793 0.00323171 0.00248482 10.4804 15.9375 15.9375 12.1875 15.7241 1.30769
162.989 2025.76 60.0025 60.0029 80.2711 0.00276173 0.00185333 10.5781 15.9375 15.9375 13.125 15.6987 1.21429
163.045 2020.74 60.0014 60.003 80.8251 0.00141434 0.00064181 10.6697 15.9375 15.9375 13.125 15.6857 1.21429
163.101 2038.8 60.0005 60.0008 81.4408 0.00404014 0.00399664 10.6774 15.9375 15.9375 13.125 15.7323 1.21429
163.157 2036.93 60.0006 60.0041 81.9784 0.00409189 0.00452755 10.7466 15.9375 15.9375 13.125 15.7275 1.21429
163.213 2035.74 60.0074 60.0077 82.5823 0.00138778 0.0018712 10.826 15.9375 15.9375 12.1875 15.7244 1.30769
163.27 2025.18 60.0008 60.0011 83.1806 0.0056871 0.00700058 10.8953 15.9375 15.9375 13.125 15.6972 1.21429
163.326 2026.04 60.0022 60.0026 83.7575 0.00585964 0.00677931 10.9164 15.9375 15.9375 13.125 15.6994 1.21429
163.382 2043.08 60.0051 60.0074 84.3794 0.00995104 0.0100405 10.932 15.9375 15.9375 12.1875 15.7433 1.30769
163.438 2022.71 60.0023 60.0027 84.9761 0.00673194 0.00770902 11.0442 15.9375 15.9375 13.125 15.6908 1.21429
163.494 2017.96 60.0014 60.0017 85.5611 0.00633593 0.00710806 11.1036 15.9375 15.9375 12.1875 15.6785 1.30769
163.551 2047.18 60.0035 60.0046 86.2017 0.00472715 0.00550678 11.0539 15.9375 15.9375 12.1875 15.7538 1.30769
163.607 2027.55 60.0018 60.0048 86.7902 0.00909387 0.00862071 11.1686 15.9375 15.9375 13.125 15.7033 1.21429
163.663 2023.21 60.0026 60.0041 87.3967 0.00745355 0.00895923 11.2012 15.9375 15.9375 12.1875 15.6921 1.30769
163.719 2042.15 60.0024 60.0031 88.0194 0.00936966 0.0103262 11.1872 15.9375 15.9375 12.1875 15.7409 1.30769
163.775 2026.34 60.0074 60.0124 88.6151 0.00756441 0.00881794 11.2754 15.9375 15.9375 13.125 15.7002 1.21429
163.831 2026.2 60.0091 60.008 89.2493 0.00782994 0.0126735 11.312 15.9375 15.9375 12.1875 15.6998 1.30769
163.888 2034.47 60.0029 60.007 89.8625 0.00617128 0.0124364 11.3147 15.9375 15.9375 12.1875 15.7211 1.30769
163.944 2030.85 60.0046 60.007 90.4773 0.00695959 0.00998143 11.3658 15.9375 15.9375 13.125 15.7118 1.21429
164 2025.56 60.0108 60.0139 91.0949 0.00193464 -5.51092e-05 11.4141 15.9375 15.9375 12.1875 15.6982 1.30769
164.056 2034.95 60.0034 60.0042 91.7324 0.00910341 0.00811734 11.41 15.9375 15.9375 12.1875 15.7224 1.30769
164.112 2033.04 60.0113 60.0132 92.3439 0.00737542 0.00626164 11.4484 15.9375 15.9375 13.125 15.7175 1.21429
164.169 2024.13 60.0119 60.015 92.976 0.00526086 0.00102632 11.5145 15.9375 15.9375 12.1875 15.6945 1.30769
164.225 2034.73 60.0041 60.0047 93.6091 0.00919982 0.00797373 11.5177 15.9375 15.9375 12.1875 15.7218 1.30769
164.281 2028.05 60.0109 60.0139 94.2173 0.0100358 0.00980647 11.5474 15.9375 15.9375 13.125 15.7046 1.21429
164.337 2026.01 60.0131 60.0185 94.8673 0.011178 0.0111932 11.5965 15.9375 15.9375 12.1875 15.6993 1.30769
164.393 2032.87 60.0103 60.0116 95.5037 0.0112542 0.0128936 11.5978 15.9375 15.9375 12.1875 15.717 1.30769
164.449 2025.04 60.0143 60.0151 96.1237 0.00710643 0.00983963 11.6296 15.9375 15.9375 13.125 15.6968 1.21429
164.506 2029.08 60.0212 60.0242 96.769 0.0153081 0.0201375 11.6707 15.9375 15.9375 12.1875 15.7073 1.30769
164.562 2031.22 60.0111 60.0121 97.4016 0.0125086 0.0164037 11.6883 15.9375 15.9375 12.1875 15.7128 1.30769
164.618 2031.77 60.0147 60.0233 98.0429 0.0157595 0.0237231 11.7108 15.9375 15.9375 13.125 15.7142 1.21429
164.674 2031.79 60.0111 60.0126 98.6792 0.0155547 0.0200711 11.7131 15.9375 15.9375 12.1875 15.7142 1.30769
164.73 2040.48 60.0171 60.0194 99.319 0.0203705 0.0251218 11.7492 15.9375 15.9375 12.1875 15.7366 1.30769
164.787 2026.97 60.0247 60.0303 99.9764 0.0083375 0.0104998 11.7713 15.9375 15.9375 13.125 15.7018 1.21429
164.843 2030 60.015 60.0165 100.604 0.0145182 0.0189871 11.8026 15.9375 15.9375 12.1875 15.7096 1.30769
164.899 2043.88 60.021 60.0228 101.248 0.016517 0.0207459 11.816 15.9375 15.9375 12.1875 15.7453 1.30769
